title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ミスド】ポンデリング全種類食べる！,/watch?v=AxgaJk4a8bc,453,ゆーちゃんねる,684,3週間前,696,65
【ミスド】もちクリームドーナツ全種類たべる！,/watch?v=U7_4KXyWZAs,607,ゆーちゃんねる,684,1か月前,696,87
【コンビニスイーツ】ローソンのウチカフェシリーズを食べ尽くす回,/watch?v=OWeFLOuKro0,1647,ゆーちゃんねる,684,1か月前,696,237
【至福】コンビニのスイーツをただ食べる動画 和スイーツ,/watch?v=XRAGnhbguxE,1038,ゆーちゃんねる,684,1か月前,696,149
【ASMR】ドライフルーツを食べる音,/watch?v=0SS3lOqpVfo,269,ゆーちゃんねる,684,1か月前,696,39
【ASMR】うまい棒を食べる咀嚼音 withラムネ,/watch?v=KP4aP-Cy-Zg,307,ゆーちゃんねる,684,1か月前,696,44
【至福】コンビニのドーナツをただ食べる動画,/watch?v=PKNy5oju5xk,1409,ゆーちゃんねる,684,1か月前,696,202
【ASMR】鯖寿司を１本丸ごと食べる咀嚼音,/watch?v=jj-kezHQKQ8,401,ゆーちゃんねる,684,1か月前,696,58
【背脂】 最愛ラーメン店 超ド級背脂のこってりラーメンを爆食！！,/watch?v=TFTuYfzmWeI,385,ゆーちゃんねる,684,1か月前,696,55
【ASMR】和菓子を食べる咀嚼音 Japanese cake,/watch?v=OEgiTk7ovhw,537,ゆーちゃんねる,684,2か月前,696,77
【ASMR】 板チョコアイスを食べる音,/watch?v=g6vudNaiUI0,572,ゆーちゃんねる,684,2か月前,696,82
[高級生食パン] ２斤爆食い！乃が美の生食パン,/watch?v=J8ruenLJpLQ,1420,ゆーちゃんねる,684,2か月前,696,204
[コンビニ]変なメロンパンを食べてみた,/watch?v=Cpku89GMn4I,462,ゆーちゃんねる,684,2か月前,696,66
ASMRっぽいpino？チョコミントのアイスを色々食べてみた,/watch?v=TVAI4sQ0UmE,329,ゆーちゃんねる,684,2か月前,696,47
ファミマが桃で溢れてます。新作が本気出してる,/watch?v=g1i57-WrZh0,338,ゆーちゃんねる,684,2か月前,696,49
メニュー数日本一！？爆量で激安のクレープ屋さんのクレープを爆食い！,/watch?v=K5sA1U_SEro,662,ゆーちゃんねる,684,2か月前,696,95
[ASMR] じゃがりこをたくさん食べる音 Calbee Jagariko,/watch?v=s50r48bdoVQ,269,ゆーちゃんねる,684,2か月前,696,39
[ASMR]お団子をたくさん食べる咀嚼音。~ dumpling asmr ~,/watch?v=QQDWEpigrQA,484,ゆーちゃんねる,684,2か月前,696,70
攻めすぎてるみたらし団子を発見したからたくさん食べる。いや、でかすぎ！！,/watch?v=ufNRn-vVzKQ,906,ゆーちゃんねる,684,2か月前,696,130
[ASMR]コンビニスイーツを食べる音 sweets 囁き脱力レビュー,/watch?v=cMbnQBytmTo,450,ゆーちゃんねる,684,2か月前,696,65
[ASMR]きゅうりをたべる咀嚼音 cucumber asmr ｰお米ともろきゅうとぬか漬けｰ,/watch?v=RMVLLHHZ3D4,466,ゆーちゃんねる,684,2か月前,696,67
【ASMR】韓国の激辛えのきを食べる咀嚼音 spicy enoki mashroom えのきなら無限に食べれる説,/watch?v=wwk3Gena9vA,1852,ゆーちゃんねる,684,2か月前,696,266
【ASMR】コンビニスイーツ食べて癒されたい！ゆる~く囁きレビューで寝落ち､してく?,/watch?v=LBE6G8w42yI,360,ゆーちゃんねる,684,2か月前,696,52
【ペヤング】過去最大の油とカロリー！豚油MAXを胸焼け覚悟で食べてみた,/watch?v=ur1_YuffrXI,717,ゆーちゃんねる,684,2か月前,696,103
嵐にしやがれ登場！滋賀県ご当地ラーメン近江ちゃんぽんを野菜マシマシで爆食！,/watch?v=YuuMe7J5-aI,323,ゆーちゃんねる,684,2か月前,696,46
ファミマ種類が多いです。メロンパンを食べる,/watch?v=-xoOyExt-tc,389,ゆーちゃんねる,684,2か月前,696,56
１週間 激辛の料理を食べ続ける生活！後編,/watch?v=nlDiHdxFez8,271,ゆーちゃんねる,684,2か月前,696,39
激辛料理を食べ続けたら体重と身体に異変！？女子が激辛１週間生活やってみた,/watch?v=2epY1M1w-KM,380,ゆーちゃんねる,684,3か月前,696,55
【ちゃんぽん亭総本家】 ラーメン以外も食べてみる！早速お取り寄せ~滋賀県民ご用達 近江ちゃんぽん~,/watch?v=-gNamaPZP_E,389,ゆーちゃんねる,684,3か月前,696,56
【検証】 女子の限界は？ハンバーガー限界食いにチャレンジ！！,/watch?v=spbIxjz1F4o,1067,ゆーちゃんねる,684,3か月前,696,153
8人前のアップルパイを爆食いしよう！  雑談~これ､ディズニーの味する。！？~,/watch?v=GG7YQ4NjqkA,591,ゆーちゃんねる,684,3か月前,696,85
【カリンバ】１週間で弾けるようになる？~人気上昇中！？癒しの音色 カリンバをゆるく楽しむ動画~,/watch?v=090TAK3nNSk,1028,ゆーちゃんねる,684,3か月前,696,148
【 価格破壊 】爆盛りオードブルを爆食い！高カロリーで背徳感MAX~ガストのお持ち帰りが激安提供中~,/watch?v=YVcE7Zmm9uM,790,ゆーちゃんねる,684,3か月前,696,114
100円均のものだけ！【セリア】これって実際使えるの？おうちキャンプ~ひとり暮らしのstay homeなゴールデンウィーク ルーティーン~,/watch?v=etHt3MouVW8,274,ゆーちゃんねる,684,3か月前,696,39
【おやゆび楽器】カリンバって何？外出自粛を充実させるおもしろい楽器を発見した！,/watch?v=envzsC2Ki2w,5333,ゆーちゃんねる,684,3か月前,696,766
【鬼滅の刃】鬼殺隊の好きな食べ物だけで素敵な定食,/watch?v=meRmSfNJhCc,297,ゆーちゃんねる,684,3か月前,696,43
【超ズボラスキンケア】を公開します！,/watch?v=xwqdpzep0B8,170,ゆーちゃんねる,684,3か月前,696,24
ファミマにバナナが溢れている！気になったバナナ商品を食べてみたよ！,/watch?v=xlHde8vmftc,412,ゆーちゃんねる,684,4か月前,696,59
【ちゃんぽん亭総本家】全商品がお持ち帰り可能に！？早速食べてみた！~滋賀県民のソウルフード近江ちゃんぽん~,/watch?v=oIAtobQYdfc,2925,ゆーちゃんねる,684,4か月前,696,420
外出制限中だから知育菓子であそんでみた！,/watch?v=Q_1C3xmc3nE,322,ゆーちゃんねる,684,5か月前,696,46
パン×お酒！？【パン呑み】推奨のLAWSONさんに乗っかってみた！！雑談しながら晩酌しよう！,/watch?v=XNNxUl6KroM,464,ゆーちゃんねる,684,5か月前,696,67
人生初！宇宙食を食べる,/watch?v=bLgs7CeTZWs,232,ゆーちゃんねる,684,5か月前,696,33
