title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ASMR】【同棲カップルの食事】１人朝ごはん,/watch?v=3BgJfn8Llc4,126,るかのんチャンネル,427,1か月前,322,39
【ASMR】ストーンチョコ Stone chocolate 咀嚼音【Eating Sounds】,/watch?v=Kv3CL7ojArE,162,るかのんチャンネル,427,2か月前,322,50
【ASMR】栗の木テラスのモンブラン Mont Blanc 咀嚼音【Eating Sounds】,/watch?v=2XMYqobWBUw,109,るかのんチャンネル,427,2か月前,322,34
【ASMR】琥珀糖 kohakutou 咀嚼音【Eating Sounds】,/watch?v=lnfk5uwxHgc,337,るかのんチャンネル,427,2か月前,322,105
【ASMR】いちご大福　Strawberry daifuku 咀嚼音【Eating Sounds】,/watch?v=ut_XdndT-yU,200,るかのんチャンネル,427,2か月前,322,62
【ASMR】ヨーグルトボウル  Yogurt bowl 咀嚼音【Eating Sounds】,/watch?v=DTFYLy0u1ns,268,るかのんチャンネル,427,3か月前,322,83
【ASMR】ハンバーグとオムライス | Hamburger and Daisies 咀嚼音【Eating Sounds】,/watch?v=7H9UxDaLJT8,401,るかのんチャンネル,427,3か月前,322,125
【ASMR】パンケーキ | Pancake 咀嚼音【Eating Sounds】,/watch?v=TVI4I1AnICA,320,るかのんチャンネル,427,3か月前,322,99
【ASMR】Chateraise シャトレーゼ 咀嚼音【Eating Sounds】,/watch?v=FgrTZ2ALXVU,215,るかのんチャンネル,427,4か月前,322,67
【ASMR】バターチキンカレー | Butter Chicken Curry and Nan 咀嚼音【Eating Sounds】,/watch?v=XuK0RGzKItU,242,るかのんチャンネル,427,4か月前,322,75
【ASMR】海苔菓子 風雅巻き | Rice crackers 咀嚼音【Eating Sounds】,/watch?v=R-W77LzWLtQ,150,るかのんチャンネル,427,4か月前,322,47
【ASMR】ゴマ団子 |mischievous word の咀嚼音【Eating Sounds】,/watch?v=HgSlPkEDTuo,170,るかのんチャンネル,427,4か月前,322,53
【ASMR】コロッケ | croquet の咀嚼音【Eating Sounds】,/watch?v=cSB-IfJxOaw,174,るかのんチャンネル,427,5か月前,322,54
【ASMR】寿司 | Sushi 咀嚼音【Eating Sounds】,/watch?v=LyhrZqLzXL4,195,るかのんチャンネル,427,5か月前,322,61
【ASMR】ナポリタンの咀嚼音【Eating Sounds】,/watch?v=BpBQrRNL-7o,104,るかのんチャンネル,427,5か月前,322,32
【ASMR】冒険のホットストロベリーパイ | Hot strawberry pie 咀嚼音【Eating Sounds】,/watch?v=OeBOLFw1Ilw,157,るかのんチャンネル,427,5か月前,322,49
【ASMR】チョコレートチップス | Chocolate chips 咀嚼音【Eating Sounds】,/watch?v=FpIWk1XT4nw,347,るかのんチャンネル,427,5か月前,322,108
【ASMR】海老クリームパスタ | Shrimp cream pasta【Eating Sounds】,/watch?v=TRm0CKG-4FQ,189,るかのんチャンネル,427,5か月前,322,59
【ASMR】チーズボール | Cheese ball【Eating Sounds】,/watch?v=rEaW_qQwGV4,236,るかのんチャンネル,427,5か月前,322,73
【ASMR】新発売ピザポテト【Eating Sounds】,/watch?v=bcl0-b4HU7k,146,るかのんチャンネル,427,5か月前,322,45
【ASMR】チーズケーキとガトーショコラ Cheese cake & chocolat 咀嚼音【Eating Sounds】,/watch?v=_m1RCHQD--Q,377,るかのんチャンネル,427,6か月前,322,117
【ASMR】期間限定アルフォート | Alfort 咀嚼音【Eating Sounds】,/watch?v=GZPwNv1AQjg,310,るかのんチャンネル,427,6か月前,322,96
【ASMR】ヤンニョムチキン | Yan'nyomu chicken 咀嚼音【Eating Sounds】,/watch?v=sfr2IPYj8Bk,247,るかのんチャンネル,427,6か月前,322,77
【ASMR】恵方巻き | Ehomaki 咀嚼音【Eating Sounds】,/watch?v=c6M8-wHuXyo,266,るかのんチャンネル,427,6か月前,322,83
【ASMR】ミスタードーナツ | Mister Donut 咀嚼音【Eating Sounds】,/watch?v=4Tek38d-ZDw,300,るかのんチャンネル,427,6か月前,322,93
【ASMR】チーズハンバーグ | Cheese hamburger 咀嚼音【EatingSounds】,/watch?v=OoM0j0e_VEM,237,るかのんチャンネル,427,6か月前,322,74
【ASMR】チーズハットグ | Cheese hat 咀嚼音【Eating Sounds】,/watch?v=_o4rap64DDU,457,るかのんチャンネル,427,6か月前,322,142
【ASMR】新商品マクドナルド | McDonald's 咀嚼音【Eating Sounds】,/watch?v=jzauEbCtOaM,286,るかのんチャンネル,427,6か月前,322,89
【ASMR】ミートソース | meat sauce 咀嚼音【Eating Sounds】,/watch?v=PnaTYWDPQxI,278,るかのんチャンネル,427,6か月前,322,86
【ASMR】チーズがとろけるホットサンド | Hot sand 咀嚼音【Eating Sounds】,/watch?v=wXslO5aOx6s,169,るかのんチャンネル,427,6か月前,322,52
【ASMR】新発売 | 板チョコアイスのザクザクホワイト 咀嚼音【Eating Sounds】,/watch?v=2TvAc7d1IS8,1330,るかのんチャンネル,427,6か月前,322,413
【ASMR】たらこパスタ | Tarako pasta 咀嚼音【Eating Sounds】,/watch?v=CIjb8ZjY34c,671,るかのんチャンネル,427,7か月前,322,208
【ASMR】エビフライ｜Fried Shrimp 咀嚼音【Eating Sounds】,/watch?v=oD_030NIrXo,189,るかのんチャンネル,427,7か月前,322,59
【ASMR】森の音とわり氷(Ice cream)の咀嚼音【EatingSounds】,/watch?v=J08eBb4_ssw,354,るかのんチャンネル,427,7か月前,322,110
【ASMR】チーズトンカツの咀嚼音【EatingSounds】,/watch?v=Zxgg4AKR_Qo,324,るかのんチャンネル,427,7か月前,322,101
【ASMR】チュロス(Churro)の咀嚼音【EatingSounds】,/watch?v=GrFukdQ5Hp8,288,るかのんチャンネル,427,7か月前,322,89
【ASMR】瓦そばの咀嚼音【EatingSounds】,/watch?v=McE1abywjDs,174,るかのんチャンネル,427,7か月前,322,54
【ASMR】バーガーキングの咀嚼音【EatingSounds】,/watch?v=XhGZBXfoZI0,174,るかのんチャンネル,427,7か月前,322,54
【ASMR】紙ふうせんの咀嚼音【EatingSounds】,/watch?v=HBy1EWjs_gw,2262,るかのんチャンネル,427,7か月前,322,702
【ASMR】芋けんぴと干し芋の咀嚼音【Eating Sounds】,/watch?v=jOusIp9miZ0,372,るかのんチャンネル,427,7か月前,322,116
【ASMR】漬物の咀嚼音【Eating Sounds】,/watch?v=qfMakon0lMI,254,るかのんチャンネル,427,7か月前,322,79
【ASMR】２kgステーキの咀嚼音【Eating Sounds】,/watch?v=R6fR6GRQ_QU,326,るかのんチャンネル,427,7か月前,322,101
【ASMR】駄菓子の咀嚼音【Eating Sounds】,/watch?v=7WXVbgkC5yE,187,るかのんチャンネル,427,7か月前,322,58
【ASMR】チーズタッカルビの咀嚼音【Eating Sounds】,/watch?v=kWcPwDDbDkE,218,るかのんチャンネル,427,7か月前,322,68
