title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【咀嚼音】麻婆豆腐・ビール・白ごはん！Eating Sounds・ASMR,/watch?v=EkH0tNpswBI,190,アラフォーの放課後,29,1年前,169,112
【咀嚼音】チーズインハンバーグ食べたよ【ASMR】cheese in hamburg Eating sounds,/watch?v=vg1h1Nfw_v4,170,アラフォーの放課後,29,1年前,169,101
【ズボラ飯】アラフォーが食べるだけ！,/watch?v=Wki76trxbbU,200,アラフォーの放課後,29,1年前,169,118
【ASMR】Delicious！「冷やしぶっかけたぬきそば」とビールで一人晩酌【咀嚼音】,/watch?v=IDMeiRl4CLE,110,アラフォーの放課後,29,1年前,169,65
【ASMR】生姜焼き・味噌汁・ごはん・焼酎ハイボールで宅飲み【咀嚼音】,/watch?v=fdvt-q0UkVg,81,アラフォーの放課後,29,1年前,169,48
【ASMR】大盛りオムライス・ビールで宅飲み【咀嚼音】,/watch?v=rkHAeeYpDz8,145,アラフォーの放課後,29,1年前,169,86
【ASMR】すき家の牛丼大盛り・キムチ・キュウリ・レモンサワーで宅飲み【咀嚼音】,/watch?v=hbxyXcNoPWA,160,アラフォーの放課後,29,1年前,169,95
【ASMR】カルボナーラ・コーラゼロで一人パスタごはん【咀嚼音】,/watch?v=C9KXfUHP0O8,311,アラフォーの放課後,29,1年前,169,184
【咀嚼音】釜揚げしらす・味噌汁・ごはん・すだちサワーで宅飲み【ASMR】,/watch?v=UUlLyKGV-b8,136,アラフォーの放課後,29,1年前,169,80
【ASMR】つけ麺・焼売・ごはん・レモンサワーで宅飲み【咀嚼音】,/watch?v=mewlztk2piQ,127,アラフォーの放課後,29,1年前,169,75
【咀嚼音】ネギたっぷり激安うどん・スーパーのアボカドコロッケ・巻き寿司・ストロング【Eating ASMR】,/watch?v=m8a0U2ctv0w,131,アラフォーの放課後,29,1年前,169,78
【ASMR】カツカレー、焼き玉葱、男梅サワーで宅飲み【咀嚼音】,/watch?v=GLzPptDMj0A,193,アラフォーの放課後,29,1年前,169,114
【ASMR】大盛りごはん・天ぷらどん兵衛・冷凍餃子・ネギ入り卵焼き・ストロングで一人晩酌【咀嚼音】,/watch?v=JC140j_pA3g,264,アラフォーの放課後,29,1年前,169,156
【ASMR】大盛りそうめんと唐揚げとビール【咀嚼音】,/watch?v=HElCquyDPkY,249,アラフォーの放課後,29,1年前,169,147
【宅飲み】カツオのたたきとストロングと白ごはん！【ASMR】,/watch?v=8-8LKpCYQJc,63,アラフォーの放課後,29,1年前,169,37
