title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
シャキシャキ！ ぶどうの音 咀嚼音,/watch?v=u5G-EpA7EuM,48,カエルたん,11,1年前,159,30
音フェチ 咀嚼音あり サクサクシュワシュワ (*´ч`*),/watch?v=9Sm5IL5aKhM,37,カエルたん,11,2年前,159,23
大根ときゅうりの梅カツオ和え 音フェチ 咀嚼音,/watch?v=B2tN5Xqr-4E,51,カエルたん,11,2年前,159,32
ジュースを開ける音とチョコの音  咀嚼音あり 音フェチ,/watch?v=FWqCTAzS6fc,28,カエルたん,11,2年前,159,18
蛙🐸と卵🐤とパンのスクイーズ 音フェチ,/watch?v=qEmB0OP-PEY,23,カエルたん,11,2年前,159,14
ものを机に叩きつける動画 音フェチ？,/watch?v=tZ-i8esJn8Y,92,カエルたん,11,2年前,159,58
もち吉 煎餅 咀嚼音 (*´ч ` *)おいしかったです♪,/watch?v=2Pqa71UVWkQ,24,カエルたん,11,2年前,159,15
00：09 イヤホン注意⚠ ウインナーとチーズのさくさく咀嚼音  音フェチ,/watch?v=kA14yRF02T8,112,カエルたん,11,2年前,159,70
海ぶどうを食べる音 音フェチ  咀嚼音,/watch?v=V-rS_tfo_qM,1416,カエルたん,11,2年前,159,891
音フェチ キュウリの漬物 咀嚼音 結構いい音です,/watch?v=6V9lY077mhU,330,カエルたん,11,2年前,159,208
音フェチ キュウリの漬物 開封＆咀嚼音,/watch?v=FEyWV_cR-eE,43,カエルたん,11,2年前,159,27
音フェチ カボチャの種の音,/watch?v=9uE-Wwf4sKQ,25,カエルたん,11,2年前,159,16
ウサギのブラッシング音 音フェチ イヤホン推奨,/watch?v=uQs4ijD7v-4,17,カエルたん,11,2年前,159,11
ウサギの遊ぶ、歩く音  音フェチ,/watch?v=pTk5g_1d9SQ,30,カエルたん,11,2年前,159,19
ミニチュアフード？の紹介  Part1,/watch?v=pUlqkAFuU-I,114,カエルたん,11,2年前,159,72
