title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ゲームセンターでワニワニパニックみたいなゲームやってみた！,/watch?v=KxMq1rWmrmc,2434,コッキーChannel,270,3年前,3571,68
UFOキャッチャーでハンドスピナーに挑戦してみた！,/watch?v=XQ-FaYtEZyw,1604,コッキーChannel,270,3年前,3571,45
UFOキャッチャーでブラックサンダー取り放題に挑戦してみた！,/watch?v=ueLMArPviik,901,コッキーChannel,270,3年前,3571,25
スイートランドでお菓子タワーに挑戦してみたけど結果ダメダメでした。。。,/watch?v=b8RAguTiTbI,2606,コッキーChannel,270,3年前,3571,73
UFOキャッチャー　ぬいぐるみ、フィギュア、お菓子ゲット１０連発動画パート２,/watch?v=DPXRnRXmC0k,213,コッキーChannel,270,3年前,3571,6
UFOキャッチャー　ぬいぐるみやフィギュアゲット１０連発動画！！！,/watch?v=z5OFnPUIo1o,293,コッキーChannel,270,3年前,3571,8
バスケゲームに再チャレンジ！片手でシュートｗ,/watch?v=pawvvfZIgC8,156,コッキーChannel,270,3年前,3571,4
UFOキャッチャーでひよこのぬいぐるみを何回で取れるかやってみた！,/watch?v=zFIJw0Zc1Tc,669,コッキーChannel,270,3年前,3571,19
UFOキャッチャーでヤングドーナツに再チャレンジ！動画の最後に故障台ありますｗ,/watch?v=sv5HPDet7JM,861,コッキーChannel,270,3年前,3571,24
スイートランドで確実に落ちそうなお菓子！UFOキャッチャーで一個だけアメをゲットｗ,/watch?v=19NdD5Lp9zI,3004,コッキーChannel,270,3年前,3571,84
UFOキャッチャーの確率機で小さい３本爪に挑戦！５００円使ってみた結果！,/watch?v=BD9gKM6L5j0,1434,コッキーChannel,270,3年前,3571,40
スイートランドでお菓子どれだけ取れるかにチャレンジしてみたけど結果ｗ,/watch?v=SReCmb7KqkI,1549,コッキーChannel,270,3年前,3571,43
UFOキャッチャーで２つぬいぐるみ取るまでチャレンジしてみた！,/watch?v=4ohsc2mhgzc,936,コッキーChannel,270,3年前,3571,26
バスケゲーム ゲームセンターでやったら最後に奇跡のハプニングがｗ,/watch?v=degXyopQKCA,1571,コッキーChannel,270,3年前,3571,44
キックマシーンで右足と左足の威力を比べてみた！,/watch?v=KOj1hST0wjE,372,コッキーChannel,270,3年前,3571,10
UFOキャッチャーでAAAの可愛いぬいぐるみを２回でゲット！※放尿まとめ映像ありｗ,/watch?v=J0C7-1biUec,1062,コッキーChannel,270,3年前,3571,30
マリオカート ゲームセンターで久々にやってみた！,/watch?v=RKIf3H4rY5Y,142,コッキーChannel,270,3年前,3571,4
エアホッケー ゲームセンターでやってみたら量がハンパなかったｗ,/watch?v=aGI2DXhboeo,228,コッキーChannel,270,3年前,3571,6
クレーンゲームでお菓子１００円で２回どれだけ取れるか？放尿シリーズ最後ですｗ,/watch?v=YQQcQSNMDpM,610,コッキーChannel,270,3年前,3571,17
クレーンゲームで飴玉に挑戦してみた！最後に放尿ゲームにリベンジしてますｗ,/watch?v=LfM0vJz9c7Q,10972,コッキーChannel,270,3年前,3571,307
スイートランドのメダル型チョコのお菓子３０秒間取り放題５００円使ってどれだけ取れるか試してみた！,/watch?v=JVI-D5cR2Do,72862,コッキーChannel,270,3年前,3571,2040
UFOキャッチャーでヤングドーナツのお菓子に挑戦してみた！,/watch?v=mSdE_x3aLh4,7867,コッキーChannel,270,3年前,3571,220
スイートランドで１００円２回にチャレンジしてみたけど今回酷い結果でした。。。,/watch?v=GyvYl85ovaw,494,コッキーChannel,270,3年前,3571,14
スイートランドの３０秒間カルパス取り放題でいくつ取れるか挑戦してみた！,/watch?v=kZVWQQ3yD3E,19846,コッキーChannel,270,3年前,3571,556
UFOキャッチャー ３００円使ってキャベツ太郎どれだけ取れるかやってみた！,/watch?v=tKH1mUVMk2Q,4403,コッキーChannel,270,3年前,3571,123
UFOキャッチャーで艦これ スーパープレミアムフィギュア 照月に挑戦してみた結果。。。！？,/watch?v=geQwHjbkyCg,238,コッキーChannel,270,3年前,3571,7
バスケゲーム嫁とやってみたら点差がｗ,/watch?v=HYYGUVqxpRo,60,コッキーChannel,270,3年前,3571,2
キックマシーンに初めて嫁とチャレンジしてみましたｗ,/watch?v=Ohl7eAKaIPU,5331,コッキーChannel,270,3年前,3571,149
スイートランドの３０秒間お菓子取り放題に挑戦してみた結果！,/watch?v=Qbhqf1egChw,46969,コッキーChannel,270,3年前,3571,1315
スイートランドで１０００円以上使ってみたけど少ししか取れず。。。,/watch?v=Ru4sm9FRQno,884,コッキーChannel,270,3年前,3571,25
スイートランドにお金入れたら機械の調子が悪すぎた！かなり古いですｗ,/watch?v=d4skvA8Rc_Y,2291,コッキーChannel,270,3年前,3571,64
アイルーメダルゲームのジャックポットに挑戦してみた結果。。。！,/watch?v=igEHYE-W86U,643,コッキーChannel,270,3年前,3571,18
前回失敗した新台にリベンジしてうまい棒ゲットなるか！※第一弾プレゼント企画あります！,/watch?v=ccp-VMV8vrQ,433,コッキーChannel,270,3年前,3571,12
UFOキャッチャーでタンブラーに挑戦してみた！,/watch?v=3v5d7m8OA-o,444,コッキーChannel,270,3年前,3571,12
メダルゲームで遊んでみたら最後に大どんでん返しがｗ,/watch?v=oO28VP5RHWQ,17751,コッキーChannel,270,3年前,3571,497
メダルゲームでジャックポット出ませんでしたが少しだけ当たりがｗ,/watch?v=CowQ8p69eQU,619,コッキーChannel,270,3年前,3571,17
スイートランドにお金入れた瞬間に景品がｗ,/watch?v=PUhKwe5kYBc,21396,コッキーChannel,270,3年前,3571,599
UFOキャッチャーではないですが懐かしかったのでやってみました。,/watch?v=L1HSjg5FDU0,249,コッキーChannel,270,3年前,3571,7
UFOキャッチャーで初期のスイートランドやってみた！お菓子どれだけ取れるか！？,/watch?v=bY8il0dklrE,11435,コッキーChannel,270,3年前,3571,320
UFOキャッチャーでお菓子に挑戦してみましたが。。。,/watch?v=yPWUzQs99MY,1260,コッキーChannel,270,3年前,3571,35
UFOキャッチャーでフィギュアの天津風取ろうとしたら撮影NGでお菓子にチャレンジｗ,/watch?v=l6IafAR1Udk,1510,コッキーChannel,270,3年前,3571,42
パンチングマシン嫁とやってみました　お遊び動画ですｗ,/watch?v=ArjRL87SEYM,498,コッキーChannel,270,3年前,3571,14
UFOキャッチャーではじめしゃちょーのパペットぬいぐるみ○○○○円でゲット！,/watch?v=oOSAo2B4eJo,1195,コッキーChannel,270,3年前,3571,33
UFOキャッチャーで箱のフィギュアを取る！確率機並みに地味に難しいですｗ,/watch?v=7P1_rIF8VVI,1369,コッキーChannel,270,3年前,3571,38
UFOキャッチャーでぬいぐるみいくつ取れるかに挑戦した結果。。。！！,/watch?v=lNaySOKF0eQ,792,コッキーChannel,270,3年前,3571,22
UFOキャッチャーでぬいぐるみに1000円使って挑戦した結果。。。,/watch?v=deyXqdI9Wck,2745,コッキーChannel,270,3年前,3571,77
