title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【体重経過】槇尾山リベンジダイエット,/watch?v=A_zt-f1Gczw,9,ズボラーマンYOU,69,18時間前,42,21
【実話オカルト】消えた山田くん,/watch?v=HjQx_eLL0QE,15,ズボラーマンYOU,69,1週間前,42,36
緊急緊急🚨体重測定‼️最近の体型写真,/watch?v=I8zVtTIb5G8,61,ズボラーマンYOU,69,2週間前,42,145
【憑かれた？】高野山と久しぶりの体重測定【概要欄で不思議な体験談】,/watch?v=tQyeU0kCYrw,68,ズボラーマンYOU,69,2か月前,42,162
火事 柏原市 高井田駅付近 お気をつけ下さい,/watch?v=0a3WGniVT3U,352,ズボラーマンYOU,69,2か月前,42,838
【体重報告】お久しぶりです(〃⌒ー⌒〃)ゞ,/watch?v=HeoygE3b4Is,100,ズボラーマンYOU,69,3か月前,42,238
数日、動画投稿出来ていない事に対する理由とお詫び,/watch?v=y0XF5fVHCnI,61,ズボラーマンYOU,69,3か月前,42,145
ゆるダイエット生活 428日目 体重測定&ご飯,/watch?v=5hxGrDdJdys,52,ズボラーマンYOU,69,3か月前,42,124
ゆるダイエット生活 427日目 体重測定&ご飯,/watch?v=cZOa35wZ4C8,26,ズボラーマンYOU,69,4か月前,42,62
ゆるダイエット生活 426日目 体重測定&ご飯,/watch?v=Jc0gkj3Jqkk,24,ズボラーマンYOU,69,4か月前,42,57
ゆるダイエット生活 425日目 体重測定&ご飯,/watch?v=cIAXOiz-1aE,23,ズボラーマンYOU,69,4か月前,42,55
ゆるダイエット生活 423日目 体重測定&ご飯,/watch?v=tqQ1zPuQBJ8,32,ズボラーマンYOU,69,4か月前,42,76
ゆるダイエット生活 423日目 体重測定&ご飯/LAWSON 低糖質シリーズ アーモンドケーキ いちごレビュー,/watch?v=sxTzjfCpUiE,46,ズボラーマンYOU,69,4か月前,42,110
ゆるダイエット生活 422日目 体重測定&ご飯,/watch?v=rST-syz7ULk,25,ズボラーマンYOU,69,4か月前,42,60
ゆるダイエット生活 421日目 体重測定&ご飯,/watch?v=lty6h8o71mk,31,ズボラーマンYOU,69,4か月前,42,74
ゆるダイエット生活 420日目 体重測定&ご飯/ボッチ民が今おすすめする漫画,/watch?v=4qpVyR1bw5s,25,ズボラーマンYOU,69,4か月前,42,60
ゆるダイエット生活 419日目 体重測定&ご飯/概要欄日記,/watch?v=CXNKujCFZF4,31,ズボラーマンYOU,69,4か月前,42,74
ゆるダイエット生活 418日目 体重測定&ご飯,/watch?v=Ojk15Lp4xU0,23,ズボラーマンYOU,69,4か月前,42,55
ゆるダイエット生活 417日目 体重測定&ご飯/LAWSON大麦の抹茶ホイップパンレビュー,/watch?v=sRaF9m11JUM,28,ズボラーマンYOU,69,4か月前,42,67
ゆるダイエット生活 416日目 体重測定のみですｍ(｡≧Д≦｡)ｍ,/watch?v=uR9VS3XihlQ,32,ズボラーマンYOU,69,4か月前,42,76
ゆるダイエット生活 415日目 体重測定&ご飯,/watch?v=97COAYW8S7c,34,ズボラーマンYOU,69,4か月前,42,81
ゆるダイエット生活 414日目 体重測定&ご飯/緊急事態宣言発令だけど散歩,/watch?v=R7kovj5dcLk,30,ズボラーマンYOU,69,4か月前,42,71
ゆるダイエット生活 413日目 体重測定&スシロー/糖類ゼロのバターコーヒー/概要欄日記,/watch?v=rmEKFUFVick,31,ズボラーマンYOU,69,4か月前,42,74
ゆるダイエット生活 412日目 体重測定&ご飯/概要欄で独り言,/watch?v=H9yM1YoFlYg,27,ズボラーマンYOU,69,4か月前,42,64
