title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【あすかなトーク#64】お願い！あすか君②,/watch?v=lo5cS7LJTRw,15058,バーチャルジャニーズプロジェクト公式【あすかな・ASCANA】,15200,6日前,147787,10
【あすかなトーク#63】なぞなぞをするあすかな④,/watch?v=-QtFi2bM4fo,17240,バーチャルジャニーズプロジェクト公式【あすかな・ASCANA】,15200,1週間前,147787,12
【あすかなトーク#62】お願い！あすか君～甘いセリフ編～,/watch?v=9sAHJJ8QvCo,18124,バーチャルジャニーズプロジェクト公式【あすかな・ASCANA】,15200,2週間前,147787,12
【あすかなトーク#61】お願い！いちごちゃん～甘いセリフ編～,/watch?v=Uo5Cj6cRI_c,20315,バーチャルジャニーズプロジェクト公式【あすかな・ASCANA】,15200,3週間前,147787,14
【あすかなトーク#60】あすかなの日常～献立編②～,/watch?v=dA2tuizsfsY,21601,バーチャルジャニーズプロジェクト公式【あすかな・ASCANA】,15200,1か月前,147787,15
【あすかなトーク#59】お久しぶりです！,/watch?v=gg9-ceHZAgk,27831,バーチャルジャニーズプロジェクト公式【あすかな・ASCANA】,15200,1か月前,147787,19
苺谷星空【Happy Birthday 2020】 🎉🎁🎂,/watch?v=ucdCQ4kfalI,52921,バーチャルジャニーズプロジェクト公式【あすかな・ASCANA】,15200,3か月前,147787,36
【あすかなトーク#58】あすかなの日常～献立編～,/watch?v=5ky6J4ViBro,48322,バーチャルジャニーズプロジェクト公式【あすかな・ASCANA】,15200,4か月前,147787,33
【あすかなトーク#57】なぞなぞをするあすかな③,/watch?v=n1riE51U-hY,28991,バーチャルジャニーズプロジェクト公式【あすかな・ASCANA】,15200,4か月前,147787,20
【あすかなトーク#56】新コーナー誕生？,/watch?v=6z4wb73uzQc,29209,バーチャルジャニーズプロジェクト公式【あすかな・ASCANA】,15200,4か月前,147787,20
【あすかなトーク#55】なぞなぞをするあすかな②,/watch?v=wx-QwcN4ktg,27127,バーチャルジャニーズプロジェクト公式【あすかな・ASCANA】,15200,4か月前,147787,18
【あすかなトーク#54】苺ちゃんの心理テスト②　  ２回目となる苺ちゃんの心理テスト！,/watch?v=GjBUrHry6ps,24955,バーチャルジャニーズプロジェクト公式【あすかな・ASCANA】,15200,5か月前,147787,17
【あすかなトーク#53】苺谷星空のいちご果汁1%のお部屋,/watch?v=RIcePLyAqFg,29488,バーチャルジャニーズプロジェクト公式【あすかな・ASCANA】,15200,5か月前,147787,20
【あすかなトーク#52】なぞなぞをするあすかな,/watch?v=1VB9WZDFFGk,28184,バーチャルジャニーズプロジェクト公式【あすかな・ASCANA】,15200,5か月前,147787,19
【あすかなトーク#51】あすかなトーク50回突破ありがとう！,/watch?v=2Kj61d39DwU,28877,バーチャルジャニーズプロジェクト公式【あすかな・ASCANA】,15200,5か月前,147787,20
【あすかなまとめ#25】１周年まとめ🎉🎊,/watch?v=yev-xXy3dZY,32472,バーチャルジャニーズプロジェクト公式【あすかな・ASCANA】,15200,5か月前,147787,22
【あすかなトーク#50】苺谷星空のいちご果汁1%のお部屋④,/watch?v=ImfqRH4TSdI,30770,バーチャルジャニーズプロジェクト公式【あすかな・ASCANA】,15200,5か月前,147787,21
あすかなから１周年のメッセージ㊗️,/watch?v=KDU5u6ViVJg,30496,バーチャルジャニーズプロジェクト公式【あすかな・ASCANA】,15200,6か月前,147787,21
【あすかなまとめ#24】あすかな爆らぶ？まとめ,/watch?v=L_T5pJ5bBuI,50021,バーチャルジャニーズプロジェクト公式【あすかな・ASCANA】,15200,6か月前,147787,34
【あすかなトーク#49】バレンタイン翌日のあすかな,/watch?v=4nip5ANTlKU,24621,バーチャルジャニーズプロジェクト公式【あすかな・ASCANA】,15200,6か月前,147787,17
【あすかなトーク#48】冬のあすかな,/watch?v=9AjOtYsiKZc,26391,バーチャルジャニーズプロジェクト公式【あすかな・ASCANA】,15200,6か月前,147787,18
【あすかなトーク#47】あすかなの日常〜あすかなホムパ編その③〜,/watch?v=5wMpjQg7nmE,27272,バーチャルジャニーズプロジェクト公式【あすかな・ASCANA】,15200,6か月前,147787,18
