title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
おうちでプール開き【2020】,/watch?v=XFVqXmBjfpY,2219,マリリーナ MARIRINA24,22800,6日前,6762,33
【報告＆開封動画】ついにわたしの手元に来た！！！！,/watch?v=Yqp0pwz3pbo,2599,マリリーナ MARIRINA24,22800,1週間前,6762,38
大学のオンライン授業が続く今の状況で休学する人が増えている話。,/watch?v=RpOfQHQL0eg,4994,マリリーナ MARIRINA24,22800,2週間前,6762,74
【受験生必見】現役大学生が教える「本当に自分に合った大学の探し方」,/watch?v=MfVuF_i84VE,2251,マリリーナ MARIRINA24,22800,3週間前,6762,33
撮影前の私はこんな感じで準備します。メイクと着替え【GRWM】,/watch?v=utuChzpbwZQ,2075,マリリーナ MARIRINA24,22800,3週間前,6762,31
１週間スマホから離れた大学生が思うSNSの怖さ【Fear Of Missing Out】,/watch?v=8Cy1XsMyNs8,5585,マリリーナ MARIRINA24,22800,3週間前,6762,83
【兄弟コラボ】お兄ちゃんにメイク動画をアフレコしてもらってみた結果・・・,/watch?v=5UtZ56Oe1fI,4118,マリリーナ MARIRINA24,22800,4週間前,6762,61
【日本の高校を辞めて留学した本当の理由】３１のスーパービッグカップアイスを食べながら雑談,/watch?v=WxAfWcikqLM,5594,マリリーナ MARIRINA24,22800,1か月前,6762,83
【大学生のナイトルーティン】時間がある日の本気のスペシャルスキンケア💤ハリツヤ重視💕,/watch?v=R0Ip3XYgaa4,2666,マリリーナ MARIRINA24,22800,1か月前,6762,39
女子大生がオンラインゲームでボイスチャットオンにしたらこうなった、、【CODモバイル】,/watch?v=CI6W-19xA7Q,2614,マリリーナ MARIRINA24,22800,1か月前,6762,39
【GRWM】友達とお出かけの日の準備を一緒にしよう〜！【メイク、ヘア、コーデ】,/watch?v=2z5yPeZpiY4,2970,マリリーナ MARIRINA24,22800,1か月前,6762,44
【2020年夏に向けて】持っている水着を全部紹介！おすすめブランドも！,/watch?v=50Nz0ZsCMvI,4513,マリリーナ MARIRINA24,22800,1か月前,6762,67
毎日６本綾鷹を飲み続けてもわからないこと・・・,/watch?v=dp8-CyJRpiM,3842,マリリーナ MARIRINA24,22800,1か月前,6762,57
【病院行きました】人間に噛まれてギプスつける生活送っています,/watch?v=JfSzKADN6y8,7276,マリリーナ MARIRINA24,22800,1か月前,6762,108
【大学生】オンライン授業の中間テストってどんな感じ？実際にテスト受けてみます。,/watch?v=1fM9T7_RZJY,7446,マリリーナ MARIRINA24,22800,2か月前,6762,110
オンライン授業もう疲れたから英語のラップ覚えてみることにした。,/watch?v=FL9teHnIxCI,6557,マリリーナ MARIRINA24,22800,2か月前,6762,97
【Vlog】オール明けのゲーマー大学生のオンライン授業のリアルな１日はこんな感じ。,/watch?v=qNT70nFmaLo,12382,マリリーナ MARIRINA24,22800,2か月前,6762,183
【コンプレックスのお話】人生初のカラコンをつけてフルメイクしてみた結果、視界が・・・,/watch?v=yEIQvT-_v8Y,6483,マリリーナ MARIRINA24,22800,2か月前,6762,96
【今まで話したことのないこと】毎日ハッピーな人なんてきっと一人もいない,/watch?v=t6Q0K2lSERs,14174,マリリーナ MARIRINA24,22800,3か月前,6762,210
【ルームツアー🌹】実家住み大学生の部屋！おすすめLEDライト全て紹介！,/watch?v=S2Rj8K1iDok,6359,マリリーナ MARIRINA24,22800,3か月前,6762,94
【通販購入】私と一緒にオンラインショッピングしよう〜物欲爆発ver.〜,/watch?v=mCwVr9DG-AA,6133,マリリーナ MARIRINA24,22800,3か月前,6762,91
オンライン授業の大学生の２４時間はこんな感じ。自分の部屋でモチベを上げる方法も話す！⤴️,/watch?v=OB9T5D4FXRc,24165,マリリーナ MARIRINA24,22800,3か月前,6762,357
TikTokでバズった【パンケーキシリアル】を夜食として作ってみた,/watch?v=fE3UrU8mV_I,7619,マリリーナ MARIRINA24,22800,3か月前,6762,113
携帯中毒な大学生が２４時間携帯使用禁止チャレンジに挑戦してみた・・・,/watch?v=cx76kmFWEgM,6170,マリリーナ MARIRINA24,22800,3か月前,6762,91
【タイプ音ASMR】Study With Me (音楽無し): 一緒に１時間勉強しよう！大学オンライン授業ver.,/watch?v=aam95NYa-nw,6784,マリリーナ MARIRINA24,22800,3か月前,6762,100
【大学生】１日のオンライン授業の様子。初日からやらかしました。この先が心配😇,/watch?v=7iKtc4Dhr7I,52787,マリリーナ MARIRINA24,22800,3か月前,6762,781
