title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
今日のおつまみ　セブンイレブン　サクサクコーン,/watch?v=B5YHJQhB6EY,333,メンチch,51,3年前,131,254
今日のおつまみ　わくわくマジックハッピーターン,/watch?v=KKRVXIxjnfA,178,メンチch,51,3年前,131,136
今日のおつまみ　パクチースナック,/watch?v=FJhoxQQmusM,107,メンチch,51,3年前,131,82
今日のおつまみ　コイケヤ　スコーン　期間限定　わさびマヨ味,/watch?v=hHJILyYV56Y,506,メンチch,51,4年前,131,386
今日のおつまみ　ハウス　オーザック　香ばし揚げ　牡蠣フライ味,/watch?v=6Of60WCcZjM,355,メンチch,51,4年前,131,271
今日のおつまみ　カルビー　ポテトチップス　Ｗガーリック味,/watch?v=UPnkcL21bas,273,メンチch,51,4年前,131,208
今日のおつまみ　ヤマヨシ　ポテトチップス　北海道コクチーズ味,/watch?v=Z1dQeVrMCLo,165,メンチch,51,4年前,131,126
今日のおつまみ　コイケヤ　ポテトスティック　俺の豚玉味,/watch?v=PWNJdIa-plQ,238,メンチch,51,4年前,131,182
今日のおつまみ　カルビー　堅あげポテト　匠味　極旨　海老のアヒージョ味,/watch?v=ncsZAKN-zg0,314,メンチch,51,4年前,131,240
今日のおつまみ　コイケヤ　ポテトチップス　黒胡椒＆サラミ味,/watch?v=ddxLgdQNtn8,380,メンチch,51,4年前,131,290
今日のおつまみ　コイケヤ　エキゾチップス　マンゴーカレー味,/watch?v=LO2BvYq-S0c,92,メンチch,51,4年前,131,70
今日のおつまみ　カルビー　かっぱえびせん　洋風の味　ハーブソルト味,/watch?v=d27K7gm8l1g,148,メンチch,51,4年前,131,113
今日のおつまみ　コイケヤ　ポテトチップス　期間限定　新じゃが　肉じゃが味,/watch?v=hmV-xy-ahk0,119,メンチch,51,4年前,131,91
今日のおつまみ　ヤマヨシ　かねふく　明太マヨビーフ,/watch?v=v203T92GGHA,191,メンチch,51,4年前,131,146
今日のおつまみ　ハウス　オーザック　塩レモンチキン味,/watch?v=-qmtHKGzdr0,154,メンチch,51,4年前,131,118
今日のおつまみ　コイケヤ　じっくり揚げた硬めのスティック　カラムーチョ　ホットチリ味,/watch?v=L0tkp7CPg0A,420,メンチch,51,4年前,131,321
今日のおつまみ　カルビー　ポテトチップス　ホタテ醤油バター味,/watch?v=v_eRgLHeJo4,248,メンチch,51,4年前,131,189
今日のおつまみ　カルビー　ポテトチップス　期間限定　濃い味　てりたまマヨ味,/watch?v=-mhmpoAq3E8,226,メンチch,51,4年前,131,173
今日のおつまみ　カルビー　ポテトチップス　期間限定　ギザギザじゃがベーコン味,/watch?v=FUCYOw9lfFg,520,メンチch,51,4年前,131,397
今日のおつまみ　カルビー　ポテトチップス　トムとジェリーのチーズ味,/watch?v=bKEkE-lYbkQ,224,メンチch,51,4年前,131,171
今日のおつまみ　明治　期間限定　旬じゃが　ポテトチップス　バター味,/watch?v=FLf5vzR0stA,146,メンチch,51,4年前,131,111
今日のおつまみ　ナビスコ　エアリアル　Ｗバーベキュー味,/watch?v=WUeVYq7ZqOg,92,メンチch,51,4年前,131,70
今日のおつまみ　カルビー　ピザポテト　スパイシーチキン味,/watch?v=l9ZGfVaPa1I,282,メンチch,51,4年前,131,215
今日のおつまみ　カルビー堅あげポテト　匠味　和牛炙り焼き味,/watch?v=LOmCXCvGUmI,76,メンチch,51,4年前,131,58
今日のおつまみ　東鳩　暴君ハバネロ　めんたい味,/watch?v=jmW76pBP4XU,68,メンチch,51,4年前,131,52
今日のおつまみ　カルビー　ポテトチップス　ロッテリア　絶品チーズバーガー味,/watch?v=uFHb0-Q8-sI,137,メンチch,51,4年前,131,105
今日のおつまみ　森永　ポテロング　らあめん花月嵐　嵐げんこつらあめんＢＬＡＣＫ味,/watch?v=pr37pnYecA4,95,メンチch,51,4年前,131,73
今日もおつまみ　カルビー　堅あげポテト　はちみつバター味,/watch?v=Li2MzcmwUCw,123,メンチch,51,4年前,131,94
今日のおつまみ　カルビー　ポテトチップス　関西風すきやき味,/watch?v=XeyDbfT2d2M,54,メンチch,51,4年前,131,41
今日のおつまみ　大阪たこやき　ポテトチップス　マヨネーズ風味,/watch?v=ANxvf-5VlzM,55,メンチch,51,4年前,131,42
