title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【縛り実況】英語で行くデトロイトビカムヒューマン【#19】,/watch?v=la1aLlh-9-s,4,内藤めある-MearuN,1260,,279,1
【縛り実況】英語で行くデトロイトビカムヒューマン【#18】,/watch?v=SqI1U-SveCo,20,内藤めある-MearuN,1260,,279,7
【Vtuber】新しいVRが届きました！【VALVE index】,/watch?v=Ro-S8dGAiu0,82,内藤めある-MearuN,1260,,279,29
【縛り実況】英語で行くデトロイトビカムヒューマン【#17】,/watch?v=w4nxfNSy6B8,20,内藤めある-MearuN,1260,,279,7
【Vtuber】めある、お盆の思い出【クソ動画】,/watch?v=LAR3kLTra3k,87,内藤めある-MearuN,1260,,279,31
【Vtuber】もう二度と夏バテになりたくないというケツイ【リングフィットアドベンチャー】,/watch?v=eeFJK41pJ6E,66,内藤めある-MearuN,1260,,279,24
【Vtuber】おしゃべりコウペンちゃんに応援されながらホラゲー【PIEN】,/watch?v=HjxBvJEgOBY,107,内藤めある-MearuN,1260,,279,38
【縛り実況】英語で行くデトロイトビカムヒューマン【#16】,/watch?v=Y6rzPoucuiw,37,内藤めある-MearuN,1260,,279,13
【縛り実況】英語で行くデトロイトビカムヒューマン【#15】,/watch?v=OvjzzBThdDQ,43,内藤めある-MearuN,1260,,279,15
【縛り実況】英語で行くデトロイトビカムヒューマン【#14】,/watch?v=LwQWiTckdQw,42,内藤めある-MearuN,1260,,279,15
【雑談】コウペンちゃんと絆を深める,/watch?v=mVYhoMZjMac,129,内藤めある-MearuN,1260,,279,46
【ガチャ配信】てぇトレさんのウェブポンちょっとだけする,/watch?v=5Vfu3cmRNIM,204,内藤めある-MearuN,1260,,279,73
【縛り実況】英語で行くデトロイトビカムヒューマン【#13】,/watch?v=IBRVVTOHoU0,40,内藤めある-MearuN,1260,,279,14
【縛り実況】英語で行くデトロイトビカムヒューマン【#12】,/watch?v=W1Zcy3Oozac,40,内藤めある-MearuN,1260,,279,14
【縛り実況】英語で行くデトロイトビカムヒューマン【#11】,/watch?v=EBmyeK8qvBE,41,内藤めある-MearuN,1260,,279,15
【縛り実況】英語で行くデトロイトビカムヒューマン【#10】,/watch?v=RUY5NnFrxO8,30,内藤めある-MearuN,1260,,279,11
【縛り実況】英語で行くデトロイトビカムヒューマン【#09】,/watch?v=rDncEHkIB4Q,37,内藤めある-MearuN,1260,,279,13
【縛り実況】英語で行くデトロイトビカムヒューマン【#08】,/watch?v=IwIrJBdff80,42,内藤めある-MearuN,1260,,279,15
【Vtuber】たぶんプランク多い神回【リングフィットアドベンチャー】,/watch?v=22bCGK8VnPo,187,内藤めある-MearuN,1260,,279,67
【縛り実況】英語で行くデトロイトビカムヒューマン【#07】,/watch?v=gVGVShQeiZI,53,内藤めある-MearuN,1260,,279,19
【縛り実況】英語で行くデトロイトビカムヒューマン【#06】,/watch?v=bh1tqL2Jvcw,37,内藤めある-MearuN,1260,,279,13
【縛り実況】英語で行くデトロイトビカムヒューマン【#05】,/watch?v=EmdapzJmy5U,43,内藤めある-MearuN,1260,,279,15
【縛り実況】英語で行くデトロイトビカムヒューマン【#04】,/watch?v=ekAVaplUebk,46,内藤めある-MearuN,1260,,279,16
【縛り実況】英語で行くデトロイトビカムヒューマン【#03】,/watch?v=qBnXiY1QfdA,56,内藤めある-MearuN,1260,,279,20
【縛り実況】英語で行くデトロイトビカムヒューマン【#02】,/watch?v=UeXNebuI6PI,59,内藤めある-MearuN,1260,,279,21
【縛り実況】英語で行くデトロイトビカムヒューマン【#01】,/watch?v=bgDminCVze4,79,内藤めある-MearuN,1260,,279,28
【Vtuber】おい、ジャンプしてみろよ【ジャンプロープチャレンジ】,/watch?v=ySAA1qFQ-KE,155,内藤めある-MearuN,1260,,279,56
【Vtuber】2日連続は初じゃないですか？【リングフィットアドベンチャー】,/watch?v=yHnMlkA1WhE,157,内藤めある-MearuN,1260,,279,56
【Vtuber】内藤めあるのCM【活動編】,/watch?v=L402jXcs7PQ,267,内藤めある-MearuN,1260,,279,96
【Vtuber】筋トレの快感に目覚めつつある【リングフィットアドベンチャー】,/watch?v=LoqSfvN8rfQ,148,内藤めある-MearuN,1260,,279,53
【Vtuber】マダム内藤の寝相占い【クソ動画】,/watch?v=uAjTZ10PakU,135,内藤めある-MearuN,1260,,279,48
【あつ森】7月になったので釣りを楽しむ【Vtuber】,/watch?v=oMK3oKoycD4,146,内藤めある-MearuN,1260,,279,52
【Vtuber】ニチアサホラー劇場【事故物件】,/watch?v=LmkmfS_ZDqg,203,内藤めある-MearuN,1260,,279,73
【Vtuber】運動負荷低いよ！なにやってんの！！【リングフィットアドベンチャー】,/watch?v=U6C1bmHC-t8,198,内藤めある-MearuN,1260,,279,71
【歌ってみた】言って。/ヨルシカ【cover】,/watch?v=P9mR-PfoxEE,358,内藤めある-MearuN,1260,,279,128
【Vtuber】内藤めあるのCM【嘆き編】,/watch?v=znKCWexDG-Y,4740,内藤めある-MearuN,1260,,279,1699
【視聴者参加型】テトリストのみんな、待たせたな！【テトリス99/Vtuber】,/watch?v=ZbUMhVpc1U4,302,内藤めある-MearuN,1260,,279,108
【Vtuber】大きなスムージーをください【リングフィットアドベンチャー】,/watch?v=zQuahyGaJaY,136,内藤めある-MearuN,1260,,279,49
【食レポ】味噌ラーメンのアイスがあるって！？【Vtuber】,/watch?v=V-FK0E1Houk,282,内藤めある-MearuN,1260,,279,101
