title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【モデルアップデート✨】水着ないけど海に来た！！【#千草はな3D】,/watch?v=msPyrtdsm0g,3140,千草はな / Chigusa H,2800,,1920,164
【 無限夜行#001】夏の夜のおはなし。-サウンドノベルゲーム/朗読多め/睡眠導入【千草はな/Vtuber】,/watch?v=Jfaf_M4ecNI,365,千草はな / Chigusa H,2800,,1920,19
【Fall Guys】 道をあけな！！はな様のお通りじゃい！【千草はな/Vtuber】,/watch?v=RRPslHujGfo,2202,千草はな / Chigusa H,2800,,1920,115
【協力ホラーゲーム”PACIFY”】やだやだやだやだｙだ【千草はな視点】,/watch?v=_W_vljtpT6I,1077,千草はな / Chigusa H,2800,,1920,56
【千草はなxLeia】　『ビバハピ』　【歌って踊ってみた！】,/watch?v=mv93OAeOKQM,1474,千草はな / Chigusa H,2800,,1920,77
【#真夏の雪山人狼】暑いし避暑にきた💗【千草はな視点】,/watch?v=RS4FhjbnJ3I,1382,千草はな / Chigusa H,2800,,1920,72
✿ 最後の花弁(The meaning of love)-EGOIST/Coverd by 千草はな,/watch?v=62DwJW7rJzc,6054,千草はな / Chigusa H,2800,,1920,315
【歌枠】変化の術を使ってかっこよいおうたうたうよ【Vtuber/千草はな】,/watch?v=XX--glVq2VA,2444,千草はな / Chigusa H,2800,,1920,127
【Getting Over It】登りきるまで…【Vtuber/ #千草はな】,/watch?v=ZKnllMzwdYA,2455,千草はな / Chigusa H,2800,,1920,128
【アカペラ】ゆったりリラックスできるお歌を歌うよ【Vtuber/ #千草はな】,/watch?v=BPZP7Ihw-ds,1701,千草はな / Chigusa H,2800,,1920,89
【2周年記念】感謝を全身で伝える配信【Vtuber/ #千草はな】,/watch?v=st6wjv_DAQQ,2490,千草はな / Chigusa H,2800,,1920,130
✿。花に亡霊-ヨルシカ / Coverd by 千草はな 【2周年記念歌ってみた】,/watch?v=zNt92nWV6Vg,3577,千草はな / Chigusa H,2800,,1920,186
【Apex】山田、猫にキャリーされるってよ【Vtuber/千草はな】,/watch?v=sVQq6uRR6Pk,1860,千草はな / Chigusa H,2800,,1920,97
【視聴者参加型】ハンドガン縛りApex【Vtuber/千草はな】,/watch?v=PCDhXk03mSM,1141,千草はな / Chigusa H,2800,,1920,59
おうたたいむ　【Vtuber/千草はな】,/watch?v=4_ayzEiqLf4,2958,千草はな / Chigusa H,2800,,1920,154
ApexLegends　最下層から始まるランク　【Vtuber/千草はな】,/watch?v=YbPnQ25aOJM,575,千草はな / Chigusa H,2800,,1920,30
壺おじ　【Vtuber/千草はな】,/watch?v=ZGo0HzsG6SQ,939,千草はな / Chigusa H,2800,,1920,49
げりらうたわく！！！【Vtuber/千草はな】,/watch?v=WDah4OXGbVo,2012,千草はな / Chigusa H,2800,,1920,105
APEX復帰！取り戻せAIM【Vtuber/千草はな】,/watch?v=iTFP1r6n36Q,1497,千草はな / Chigusa H,2800,,1920,78
🔔本日23時歌コラボ動画UP🔔　なぜか壺おじしてます…,/watch?v=l2r2izV-waY,2142,千草はな / Chigusa H,2800,,1920,112
ゲリラ！おうたわく,/watch?v=RDFsE82-oPg,2433,千草はな / Chigusa H,2800,,1920,127
30分間　歌いたい歌を歌う配信,/watch?v=Q5vVp5ajaOM,1539,千草はな / Chigusa H,2800,,1920,80
はなが垂れてきたら終了　ちょぴっとやるよ！,/watch?v=xCET7HdiPh0,1931,千草はな / Chigusa H,2800,,1920,101
【VirtualLive感想会】本当にたくさんありがとう！【Vtuber/ #千草はな3D】,/watch?v=DmkZlZGfdkU,1230,千草はな / Chigusa H,2800,,1920,64
【VirtualLive】歌って踊る、はなの想い…届け！【Vtuber/ #千草はな3D】,/watch?v=ps3narC_Y2w,5042,千草はな / Chigusa H,2800,,1920,263
お話しましょう！！！！！,/watch?v=8jVtUOzmJIA,1676,千草はな / Chigusa H,2800,,1920,87
【VirtualLive事前配信】ライブをもっともっと楽しむために【Vtuber/ #千草はな3D】,/watch?v=2uGY3wu0M-I,474,千草はな / Chigusa H,2800,,1920,25
Vカク新メニュー3つ追加っ！✨オーナーAiRi様と対談🌟【Vカク/千草はな】,/watch?v=AVMHyrEw--E,1177,千草はな / Chigusa H,2800,,1920,61
【死印】ホラゲのおばけだってバ美肉したいっ💕vs花彦編【Vtuber/千草はな】,/watch?v=ZUC-w3MX1a8,1240,千草はな / Chigusa H,2800,,1920,65
【リクエスト◯】お歌のリハビリ&声出し！【Vtuber/千草はな】,/watch?v=2mT1PeMTFkM,1736,千草はな / Chigusa H,2800,,1920,90
げりらおうた【千草はな/Vtuber】,/watch?v=6PUunDcciXk,2336,千草はな / Chigusa H,2800,,1920,122
ペヤング獄激辛とブルダック2.5倍食べ比べ💕美味しそ～！【Vtuber/千草はな】,/watch?v=hjbFW0Nzp_g,2387,千草はな / Chigusa H,2800,,1920,124
【歌】うたああああああああああああああう【Vtuber/千草はな】,/watch?v=Q0F9_ROiGX0,2168,千草はな / Chigusa H,2800,,1920,113
【機動戦隊アイアンサーガ】バレンタイン企画ダイヤ抽選発表！！【Vtuber/千草はな】,/watch?v=ONVJYOeVTkA,822,千草はな / Chigusa H,2800,,1920,43
【死印】どう考えてもノベルゲーにあるまじき怖さです。vs花彦編【千草はな/Vtuber】,/watch?v=N9TGPrp13B0,1236,千草はな / Chigusa H,2800,,1920,64
【祝わくV出演決定】わくVってなんぞ！？何ができるの！？教えちゃいます【Vtuber/千草はな】,/watch?v=c-WYxI8e6F4,1175,千草はな / Chigusa H,2800,,1920,61
【新曲UP記念】曲についてのお話やVカクについてなど【Vtuber/千草はな】,/watch?v=MxASf3Ma-D4,771,千草はな / Chigusa H,2800,,1920,40
