title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【卒業！！】みんなのことを永遠に愛してやるからな！！覚悟しろ！！【本当にありがとう！！】,/watch?v=mkFd7bkd3XQ,2793,天ノ川リサ[勇者ズム!],3130,,728,384
【ズムコラボ】まったり振り返りトーク【えもえも】,/watch?v=LLP1smkb6CE,1187,天ノ川リサ[勇者ズム!],3130,,728,163
最初で最後の酔いどれ配信,/watch?v=urPoKDS-5lc,582,天ノ川リサ[勇者ズム!],3130,,728,80
【替え歌】天ノ川さんは「天才魔術師」ですから！！！！！！！【即興】,/watch?v=noRB27LliSc,250,天ノ川リサ[勇者ズム!],3130,,728,34
お絵かきしながらしゃべるだけ♡,/watch?v=xRk1MNxEef4,416,天ノ川リサ[勇者ズム!],3130,,728,57
【1周年+1ヶ月記念】初期のぼくをみんなで見てみよう！！【ありがとう】,/watch?v=MoEmo9aglDw,566,天ノ川リサ[勇者ズム!],3130,,728,78
【Minecraft】PCが重い女のマインクラフト【初心者】,/watch?v=0jAxo0nhLTQ,395,天ノ川リサ[勇者ズム!],3130,,728,54
歌が歌いたい気持ち,/watch?v=8XDQ9N7B4RA,402,天ノ川リサ[勇者ズム!],3130,,728,55
ぷかぷか雑談,/watch?v=GvWaciofWEI,365,天ノ川リサ[勇者ズム!],3130,,728,50
【リサくま】リサくまは永遠にラブラブだかんな！！【human fall flat】,/watch?v=y8kBphjqPMA,441,天ノ川リサ[勇者ズム!],3130,,728,61
【リサくま】リサくまは永遠にラブラブだかんな！！【human fall flat】,/watch?v=N55gxZXIiaw,634,天ノ川リサ[勇者ズム!],3130,,728,87
また歌う,/watch?v=Pv4p8tJBwR0,485,天ノ川リサ[勇者ズム!],3130,,728,67
【作業】木材などの調達【Minecraft】,/watch?v=x3bGmgUcykg,332,天ノ川リサ[勇者ズム!],3130,,728,46
ただいま。うたうね。,/watch?v=sVOX3bxiGPY,440,天ノ川リサ[勇者ズム!],3130,,728,60
【雑談】雑談など【新人Vtuber】,/watch?v=uIDroiqQ4Hg,808,天ノ川リサ[勇者ズム!],3130,,728,111
【ズムこらぼ】3人で遊びます！！,/watch?v=vxzxclNV6og,947,天ノ川リサ[勇者ズム!],3130,,728,130
ちとテストさせておくれ,/watch?v=b8i7JzWu1zQ,466,天ノ川リサ[勇者ズム!],3130,,728,64
【SlimeRancher】かわいいスライムちゃんたちを捕まえちゃいたい♡【新人Vtuber】,/watch?v=TBdQmJ3pXSg,533,天ノ川リサ[勇者ズム!],3130,,728,73
【Minecraft】あま☆くらリベンジ！！今度こそお家を！！【初心者】,/watch?v=s6dUdcN3z4k,529,天ノ川リサ[勇者ズム!],3130,,728,73
みんなに相談したいことがあります。,/watch?v=Jcul3vt4lBo,1156,天ノ川リサ[勇者ズム!],3130,,728,159
【音痴克服！？】ド音痴が歌で操作するゲームやってみた【one hand clapping】,/watch?v=QGK70OVFCjY,448,天ノ川リサ[勇者ズム!],3130,,728,62
【HUMAN fall flat】夫婦でなかよくポンコツプレイ！！✨✨【リサくま】,/watch?v=2iHTzZYzJic,636,天ノ川リサ[勇者ズム!],3130,,728,87
【歌枠】かわいい声(自称)で10曲歌うまで終われま10！！【萌え声】,/watch?v=YbRywAbJbvo,1803,天ノ川リサ[勇者ズム!],3130,,728,248
【ASMR】いろんなお菓子を食べる咀嚼音ASMR【初心者】,/watch?v=vC2Q3Cqx6NI,1631,天ノ川リサ[勇者ズム!],3130,,728,224
【ASMR】朗読と雑談と咀嚼音【初心者】,/watch?v=acdXGZ2cl5s,735,天ノ川リサ[勇者ズム!],3130,,728,101
【ASMR】こしょこしょおはなしするよ♡【初心者】,/watch?v=DBok-09ZG4w,1409,天ノ川リサ[勇者ズム!],3130,,728,194
【ウタホノタタリ】ホラゲ苦手なのにホラゲやっちゃうのよね【椿木めいちゃんコラボ】,/watch?v=66ENjC4yvJM,383,天ノ川リサ[勇者ズム!],3130,,728,53
【HUMAN Fall Flat】リサくま夫婦でポンコツプレイ！！【真白くまちゃんコラボ】,/watch?v=RgtGtfS2p20,814,天ノ川リサ[勇者ズム!],3130,,728,112
【Minecraft】おうちをつくりたい編パート2【あま☆くら】,/watch?v=xQjIhDTOkNU,497,天ノ川リサ[勇者ズム!],3130,,728,68
【ASMR】初心者ASMR♡【音量注意】,/watch?v=G0RsnSyI-FE,2693,天ノ川リサ[勇者ズム!],3130,,728,370
【初ASMR】はじめてやってみるよ♡【音量注意】,/watch?v=wtwblMSQIDM,2056,天ノ川リサ[勇者ズム!],3130,,728,282
【Minecraft】初マイクラ！！おうちがつくりたい！！【あまのがわ☆くらふと】,/watch?v=BePcnw7vpBE,698,天ノ川リサ[勇者ズム!],3130,,728,96
【リベンジ】ガキ使で話題！！ごはん替え歌ゲームに8か月越しにリベンジしてみた【勇者ズム！】,/watch?v=a6BDlwPiIlg,499,天ノ川リサ[勇者ズム!],3130,,728,69
【誕生日】Happy Birthday to me【ありがとう】,/watch?v=yW1HMS11QwE,637,天ノ川リサ[勇者ズム!],3130,,728,88
【誕生日カウントダウン】お...お誕生日...お...お...お誕生日...楽しみ...んへ...んへへ...【勇者ズム！】,/watch?v=h8GxQ_f0SPM,800,天ノ川リサ[勇者ズム!],3130,,728,110
【新人Vtuber】からかい上手の高木さんED　気まぐれロマンティック　cover天ノ川リサ　【歌ってみた】,/watch?v=O3J00bmJbqw,1393,天ノ川リサ[勇者ズム!],3130,,728,191
【こんなフリーキックはいやだ】サッカー分からないけどクリアできるかな？【勇者ズム！】,/watch?v=wqiIeZK007I,448,天ノ川リサ[勇者ズム!],3130,,728,62
【男性曲縛り】初めまして、天ノ川リサ(♂)です。【歌ってみた】,/watch?v=Ofkdh1Q7FLE,669,天ノ川リサ[勇者ズム!],3130,,728,92
【くまのレストラン】多分、普通に泣くよ？【勇者ズム！】,/watch?v=xVWhhuQMymk,442,天ノ川リサ[勇者ズム!],3130,,728,61
【ラブライブ縛り】好きな作品の曲なら音痴でもある程度ちゃんと歌える説【歌枠】,/watch?v=ZfRcOJCOycQ,667,天ノ川リサ[勇者ズム!],3130,,728,92
【新人Vtuber】ECHO　cover天ノ川リサ【ワンコーラス歌ってみた】,/watch?v=Iyl_8xm5WN4,2074,天ノ川リサ[勇者ズム!],3130,,728,285
【新人Vtuber】心做し　cover天ノ川リサ【歌ってみた】,/watch?v=kn8gyAG2H6Q,3603,天ノ川リサ[勇者ズム!],3130,,728,495
【くまのレストラン】めちゃめちゃ泣けると噂のゲームを泣かずにクリアできるか！？【勇者ズム！】,/watch?v=OaTZub-3HqE,414,天ノ川リサ[勇者ズム!],3130,,728,57
【シャニマス】運命の出会いガシャ！推しが出るまで終われないぜ！！【勇者ズム！】,/watch?v=DDV4SsZoFFM,971,天ノ川リサ[勇者ズム!],3130,,728,133
【椿木めいちゃん】推しVtuberとホラゲしてみた第２回【ウタホノタタリ】,/watch?v=n8Cnt4nfUus,488,天ノ川リサ[勇者ズム!],3130,,728,67
【箱内コラボ】シビルとなんでも質問コーナー！！【勇者ズム！】,/watch?v=NBntRqmzczc,910,天ノ川リサ[勇者ズム!],3130,,728,125
【真白くまちゃん】おえかきの森できなかった！！助けて！！【サムネ違うごめん！】,/watch?v=QZMSQvbjlL4,812,天ノ川リサ[勇者ズム!],3130,,728,112
【お絵かき】朝ゲリラでまったりお絵かき【勇者ズム！】,/watch?v=b37nvy_9F4o,795,天ノ川リサ[勇者ズム!],3130,,728,109
【ママにゲーム隠された】おショタ大好きおじさん頑張っちゃう！！【勇者ズム！】,/watch?v=xSd75cLgDpg,506,天ノ川リサ[勇者ズム!],3130,,728,70
【シャニマス】気になってたゲームを初見プレイしてみる【勇者ズム！】,/watch?v=0zzqc1zyQok,873,天ノ川リサ[勇者ズム!],3130,,728,120
【おはよう】朝なので絵でも描こうと思うんだ【お絵かき枠】,/watch?v=UuKlTXI7jA0,481,天ノ川リサ[勇者ズム!],3130,,728,66
