title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【大食い】【食べ放題】ミスタードーナツ！幸せ堪能！,/watch?v=_0zdJZM6sz4,27224,正司優子YukoShoj,51900,,20415,133
【大食い】【新商品】コストコの大型スイーツ夏のタルト編,/watch?v=x2xTj0AC8BQ,10830,正司優子YukoShoj,51900,,20415,53
【大食い】食品ロス削減！大量消費進行中！,/watch?v=z_hNl403dRM,25167,正司優子YukoShoj,51900,,20415,123
【大食い】【コストコ】サーモン多め握り寿司！,/watch?v=d5U09a8oqLs,13100,正司優子YukoShoj,51900,,20415,64
【大食い】【タルト】大人気のアイスをタルトにしました,/watch?v=Ivv0ytBbPpk,18302,正司優子YukoShoj,51900,,20415,90
ASMR フライドチキン　【メイプル超合金安藤なつさん】真似して食べたら幸せ過ぎた！,/watch?v=J0jl88IdXaE,7925,正司優子YukoShoj,51900,,20415,39
【大食い】【ASMR】板チョコアイスを食べる【閲覧注意】,/watch?v=wetNo7yLODU,13782,正司優子YukoShoj,51900,,20415,68
【大食い】【食品ロス】半額のりんごのケーキを大量に食べたら美味すぎた！,/watch?v=FMp8Mhd65sY,23101,正司優子YukoShoj,51900,,20415,113
【大食い】【業務用】激うま‼️ホールケーキタルト食べてみた‼️,/watch?v=LnJhsEoNhxo,15854,正司優子YukoShoj,51900,,20415,78
【大食い】【スイーツ】オレオのスイーツを集めてみました！,/watch?v=KswyBY92Kl0,17820,正司優子YukoShoj,51900,,20415,87
【大食い】【スイーツ】業務用の色とりどりのモンブラン,/watch?v=zMhoDjZ-EfM,22840,正司優子YukoShoj,51900,,20415,112
【大食い】【スイーツ】丸飲みしたくなる夏の冷たい和菓子です！,/watch?v=ZEKgLB3n4Yk,10923,正司優子YukoShoj,51900,,20415,54
【大食い】【タルト】フルーツたっぷり真夏のタルト！,/watch?v=7RTO2p8CLfc,15664,正司優子YukoShoj,51900,,20415,77
【大食い】【スイーツ】これぷりんです！,/watch?v=YWoc8vbsR14,19572,正司優子YukoShoj,51900,,20415,96
【大食い】【スイーツ】おすすめのスイーツおすすめします！,/watch?v=rdppVlLd9U0,19186,正司優子YukoShoj,51900,,20415,94
【大食い】【スイーツ】なげ〜スイーツ取り寄せてみた‼️,/watch?v=qTxQynav27M,20910,正司優子YukoShoj,51900,,20415,102
【大食い】【コストコ】にあるドッツのドーナツが可愛い過ぎる！【再アップ動画】,/watch?v=9e3fPkjXVh0,9685,正司優子YukoShoj,51900,,20415,47
【ライブ】【シャトレーゼももフェア】,/watch?v=e-JSLI0leIY,10954,正司優子YukoShoj,51900,,20415,54
【大食い】【新商品】夏にしか会えないあれとの出会い【季節限定】,/watch?v=dJrliOvM2LM,12437,正司優子YukoShoj,51900,,20415,61
【大食い】【検証】自動販売機のパン取り寄せできたんだぁ〜,/watch?v=V0Xu3VvEh0M,17235,正司優子YukoShoj,51900,,20415,84
【大食い】【コストコ】新商品のクレープがやばい！,/watch?v=1BJW-2GlpU4,25246,正司優子YukoShoj,51900,,20415,124
【大食い】【スイーツ】モンブランだけで大食いしたら幸せ過ぎる？【検証】,/watch?v=CHIxzZ2EELs,21465,正司優子YukoShoj,51900,,20415,105
【大食い】丸亀製麺さんのテイクアウトでひっちゃかめっちゃか！,/watch?v=iNfIT0jwnTs,14472,正司優子YukoShoj,51900,,20415,71
【大食い】【ライブ】先に謝ります,/watch?v=DXcPGXS9-kY,14471,正司優子YukoShoj,51900,,20415,71
【大食い】沢山の種類のあれを【検証】,/watch?v=duuL5TVqNJE,19962,正司優子YukoShoj,51900,,20415,98
【大食い】まじめに大食いしました。,/watch?v=ZinYxKEBbKY,18266,正司優子YukoShoj,51900,,20415,89
【大食い】【スイーツ】新食感スイーツ！何これ⁉︎,/watch?v=evZt5du9dj4,20718,正司優子YukoShoj,51900,,20415,101
【大食い】【スイーツ】昭和の懐かしいスイーツ食べます,/watch?v=KOppdg6ZfBg,12087,正司優子YukoShoj,51900,,20415,59
【大食い】【スイーツ】ケーキです！おにぎりだけどケーキです！,/watch?v=MiY1N7ZWBtA,22692,正司優子YukoShoj,51900,,20415,111
【大食い】【スイーツ】タルト！ほんまに幸せになるかはあなた次第！,/watch?v=NAOp2HcufJM,16904,正司優子YukoShoj,51900,,20415,83
【大食い】【スイーツ】コストコの甘すぎるケーキ！食べてみた！,/watch?v=VkgFX75NU_0,18877,正司優子YukoShoj,51900,,20415,92
【大食い】【スイーツ】シャトレーゼのデコレーションケーキと高級佐藤錦のコラボレーション！,/watch?v=3RfCs34XLuk,14165,正司優子YukoShoj,51900,,20415,69
【大食い】【スイーツ】シャトレーゼさんの今だけの季節限定ケーキを食べます！,/watch?v=QV66p_86UB8,30170,正司優子YukoShoj,51900,,20415,148
【大食い】倒れるほど旨い！ガストバーガー乱れ喰い！,/watch?v=wzcD_TjdvGE,13462,正司優子YukoShoj,51900,,20415,66
【大食い】【検証】ミスタードーナツさんの商品とモスバーガーさんの商品を組み合わせを勝手に検証！,/watch?v=ZpzAt3_2sA4,13175,正司優子YukoShoj,51900,,20415,65
【大食い】【スイーツ】検証‼️お取り寄せスイーツをアレンジして食べてみた！,/watch?v=3ppkB5daV6M,20222,正司優子YukoShoj,51900,,20415,99
【大食い】【スイーツ】コストコの期間限定チョコココタルトで暴走です！,/watch?v=jRksWVq-Unc,27955,正司優子YukoShoj,51900,,20415,137
【大食い】【和菓子】映え過ぎる葛餅！ある意味神回！,/watch?v=_uRmkx-oTGI,21686,正司優子YukoShoj,51900,,20415,106
【大食い】【スイーツ】北海道産のプチシュークリームとプチエクレア何個いける？,/watch?v=YIVXVu_w5wY,19389,正司優子YukoShoj,51900,,20415,95
【大食い】【スイーツ】セブンイレブンさんのエクレアを刺し過ぎました,/watch?v=gYP_a0f2gvE,21197,正司優子YukoShoj,51900,,20415,104
【大食い】【新商品】のびすぎるミスタードーナツの新商品！,/watch?v=gDgOsfYG3bA,37645,正司優子YukoShoj,51900,,20415,184
【大食い】【スイーツ】恐るべしロールちゃん！,/watch?v=kYHBHBuvqHs,29253,正司優子YukoShoj,51900,,20415,143
【大食い】【スイーツ】ベイクドチーズタルトの重ね食い,/watch?v=F6CK1NhJwDs,33651,正司優子YukoShoj,51900,,20415,165
【大食い】【スイーツ】コスパ最高バウムクーヘンをアレンジして食べます！,/watch?v=ZGvRW3OE3i4,28383,正司優子YukoShoj,51900,,20415,139
【大食い】【スイーツ】ついつい食べ過ぎてしまう絶品スイーツ！,/watch?v=wrkez7O9o8o,19575,正司優子YukoShoj,51900,,20415,96
【大食い】マクドナルド【新商品】でライブ！,/watch?v=P7wrkF7mk5o,13387,正司優子YukoShoj,51900,,20415,66
【大食い】【スイーツ】パケ買い放題したら幸せすぎた‼️,/watch?v=FRq_rc_Ed3Q,32065,正司優子YukoShoj,51900,,20415,157
【大食い】【スイーツ】業務用スイーツ！バイキング⁉︎,/watch?v=W-DPiOFdgwk,27464,正司優子YukoShoj,51900,,20415,135
【大食い】【スイーツ】業務用スーパー！長過ぎるお手頃ケーキ！,/watch?v=ZjuXkylGjo0,27845,正司優子YukoShoj,51900,,20415,136
【大食い】【スイーツ】お取り寄せ限定！堂島プリンスロール！,/watch?v=ZuxLNC3csZk,9945,正司優子YukoShoj,51900,,20415,49
【大食い】【スイーツ】お取り寄せ限定！堂島ピスタチオロール！,/watch?v=Yg7gVgVPtnE,9995,正司優子YukoShoj,51900,,20415,49
【大食い】【スイーツ】お取り寄せ限定！堂島レモンヨーグルトロールデコレーション！,/watch?v=4TgyXMOYXxE,7904,正司優子YukoShoj,51900,,20415,39
【大食い】【スイーツ】お取り寄せ限定！堂島サワーピーチロール,/watch?v=-GwVv0NDOtY,11921,正司優子YukoShoj,51900,,20415,58
【大食い】【スイーツ】堂島の日‼️丸ごといただきます‼️,/watch?v=chepzarZHQM,14339,正司優子YukoShoj,51900,,20415,70
【大食い】【スイーツ】お取り寄せ限定　堂島ロール　抹茶！をいただきます,/watch?v=md19uXTbpxo,12881,正司優子YukoShoj,51900,,20415,63
【大食い】【スイーツ】だんご50個食べたら幸せ過ぎた‼️,/watch?v=mHRFZd2PfUQ,29122,正司優子YukoShoj,51900,,20415,143
【大食い】コンビニスイーツライブ,/watch?v=2oEh2sgaifw,17119,正司優子YukoShoj,51900,,20415,84
【大食い】【スイーツ】コストコの商品コラボさせました！,/watch?v=WqUK9CV1f58,18017,正司優子YukoShoj,51900,,20415,88
【大食い】【スイーツ】コストコのチョコレート過ぎるブラウニー！,/watch?v=w16yt3Ft43g,17849,正司優子YukoShoj,51900,,20415,87
【大食い】【スイーツ】コストコの長〜すぎるチュロス食べます,/watch?v=p6VD0Z1xLtc,24148,正司優子YukoShoj,51900,,20415,118
【大食い】【スイーツ】コストコの危険すぎるティラミス！,/watch?v=a98LR_PRVLA,17508,正司優子YukoShoj,51900,,20415,86
【大食い】【スイーツ】重ね過ぎるチョコレートケーキ！,/watch?v=xEWFzztm5kg,28235,正司優子YukoShoj,51900,,20415,138
【大食い】【スイーツ】YouTube  3周年ライブ,/watch?v=_tRmGAOlyIk,18592,正司優子YukoShoj,51900,,20415,91
【大食い】【スイーツ】コストコのヤバ過ぎるザッハトルテ！,/watch?v=8ZhfEgW8xNc,45788,正司優子YukoShoj,51900,,20415,224
【大食い】【スイーツ】コストコの積み過ぎるお菓子！,/watch?v=LTFt70MJnfw,18237,正司優子YukoShoj,51900,,20415,89
【大食い】【スイーツ】コストコの新商品！食べ過ぎました！,/watch?v=C4SzBSMM6ME,29348,正司優子YukoShoj,51900,,20415,144
【大食い】デカっ！過ぎる！コストコの新商品〜,/watch?v=MglZOwt_iMs,22227,正司優子YukoShoj,51900,,20415,109
【大食い】新商品‼️ボリュームあり過ぎるコメダ！,/watch?v=Hz_7Rksb-e8,33134,正司優子YukoShoj,51900,,20415,162
【大食い】過ぎるライブ！,/watch?v=10EaSeHfAmo,16846,正司優子YukoShoj,51900,,20415,83
【大食い】新商品‼️食べ過ぎる動画です‼️,/watch?v=2jIIBDb6dHc,29550,正司優子YukoShoj,51900,,20415,145
【大食い】【食べ比べ】ガストさんの500円以下（税抜）のテイクアウトメニューを食べ比べ！,/watch?v=_zxA-QAcy6c,12785,正司優子YukoShoj,51900,,20415,63
【大食い】【食べ比べ】ジョリーパスタさんのテイクアウト限定パスタ全品食べ比べ！,/watch?v=PSSv6K1kOXI,18323,正司優子YukoShoj,51900,,20415,90
【大食い】セブンイレブンの好きなもの！,/watch?v=1rp2Nohk0-Q,17328,正司優子YukoShoj,51900,,20415,85
【大食い】【ドトール】お家でドトール三昧です！,/watch?v=dvSl7gv5pzM,13250,正司優子YukoShoj,51900,,20415,65
【大食い】【スイーツ】お家でドトールsweets編,/watch?v=GfGoverS0T8,25375,正司優子YukoShoj,51900,,20415,124
【大食い】【ライブ】新商品を食べます,/watch?v=xJ34xlwh5RA,15708,正司優子YukoShoj,51900,,20415,77
【大食い】【食べ比べ】お家でスターバックス‼️à la carte‼️,/watch?v=kRD94G1Tp1Q,24765,正司優子YukoShoj,51900,,20415,121
【大食い】【スイーツ】お家でスタバのケーキ三昧！,/watch?v=UzDlChUhxlU,26629,正司優子YukoShoj,51900,,20415,130
【大食い】【ミスタードーナツ】新商品‼️抹茶づくし‼️,/watch?v=5dyKh1CQFfE,41174,正司優子YukoShoj,51900,,20415,202
【大食い】【和菓子】シャトレーゼさんの和菓子食べます！,/watch?v=wjC0ct5s7-E,41089,正司優子YukoShoj,51900,,20415,201
【大食い】【スイーツ】シャトレーゼさんの300円以下のケーキ食べます,/watch?v=5-daZQ1umt8,43705,正司優子YukoShoj,51900,,20415,214
【大食い】マクドナルド新商品【ライブ】,/watch?v=H--n-ZDbe6g,16687,正司優子YukoShoj,51900,,20415,82
【大食い】【コストコ】にしかないミートボール‼︎,/watch?v=pcqNlkotjqU,9288,正司優子YukoShoj,51900,,20415,45
【大食い】【コストコ】コーンブレットローフ＋チーズタッカルビ‼️,/watch?v=GsHF69Q8Iv8,13177,正司優子YukoShoj,51900,,20415,65
【大食い】【コストコ】激うま‼️台湾風混ぜそばキットをご紹介‼️,/watch?v=fGgz36gofjM,9576,正司優子YukoShoj,51900,,20415,47
【大食い】【検証】【コストコ】のフードコートのあれを再現‼️,/watch?v=4WExvCLdsOQ,13317,正司優子YukoShoj,51900,,20415,65
