title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ASMR EATING SOUND 咀嚼音】KFC(新発売 ブラックホットチキン＋ブラックホットサンド＋オリジナルチキン＋コールスロー＋ポテト)No Taking,/watch?v=5h7bl6HHGrk,1603,毎日愉快,2760,6か月前,9384,17
【ASMR EATING SOUND 咀嚼音】McDonald's(新発売 チーてりやき＆チーダブチ＆ポテト＆ナゲット)No Taking,/watch?v=mcVJQAUeaLs,1255,毎日愉快,2760,7か月前,9384,13
【ASMR EATING SOUND 咀嚼音】Fruits&Candy 果物とキャンディ No Taking,/watch?v=csRkP_PzO3c,479,毎日愉快,2760,7か月前,9384,5
【ASMR EATING SOUND】フライドチキンと野菜(Fried chicken＋Vegetables)No Taking,/watch?v=igPXQvs5W90,592,毎日愉快,2760,7か月前,9384,6
【ASMR EATING SOUND】マシュマロとグミ Peeps Marshmallow＋Gummy Candy,/watch?v=BBa1LevK01M,1123,毎日愉快,2760,7か月前,9384,12
【ASMR EATING SOUND】シャウエッセン/魚肉ソーセージ/きゅうり/ゆで卵(sausage/Fish sausage/Cucumber/Boiled egg) No Taking,/watch?v=7bz-wcoM6xE,1038,毎日愉快,2760,8か月前,9384,11
【咀嚼音】セブンイレブンのサンドイッチ＆野菜スティック(ASMR EATING SOUND),/watch?v=kTCfN7HbjPE,2014,毎日愉快,2760,1年前,9384,21
【咀嚼音】ピザトースト(サラミとコーン) ブロッコリー(ASMR EATING SOUND),/watch?v=-4egL4KPs2Y,1998,毎日愉快,2760,1年前,9384,21
【咀嚼音】ソーセージスクランブルエッグ 焼き鮭 味噌汁 お漬物(ASMR EATING SOUND),/watch?v=1ToHLbewp78,4715,毎日愉快,2760,1年前,9384,50
【咀嚼音】うまかっちゃんのラーメン(焼き肉野菜トッピング)とチャーハン(ASMR EATING SOUND),/watch?v=DfjmBHn31n4,2800,毎日愉快,2760,1年前,9384,30
【咀嚼音】もも ハラミ 砂ずり 鳥皮 の唐揚げ(ASMR EATING SOUND),/watch?v=CgpJpVG4fYc,1791,毎日愉快,2760,1年前,9384,19
【咀嚼音】お昼ごはん 卵焼き ウィンナー 大根の漬物 しじみの味噌汁(ASMR EATING SOUND),/watch?v=9GqW3zB6Hh4,2937,毎日愉快,2760,1年前,9384,31
【咀嚼音】きゅうり、にんじん、ミニトマト、らっきょう、ゆで卵、チキンを食べる音(ASMR EATING SOUND),/watch?v=RwgyM0VCzgI,1076,毎日愉快,2760,1年前,9384,11
【 咀嚼音】サーモン＆タコ刺 シーチキン巻 らっきょう(ASMR EATING SOUND),/watch?v=BLvwjsHYfX8,2919,毎日愉快,2760,1年前,9384,31
【咀嚼音】資さんのおでんとのり巻き（ASMR Eating Sound）,/watch?v=vja6nB-xSw8,7641,毎日愉快,2760,2年前,9384,81
【咀嚼音】手作りシーフードパスタとガーリックトーストとサラダ（ASMR Eating Sound）,/watch?v=De5HkznkHCk,21234,毎日愉快,2760,2年前,9384,226
【咀嚼音】ピザーラの明太シーフードピザとローステッドポテト（ASMR Eating Sound）,/watch?v=X2cn1snRRjA,15495,毎日愉快,2760,3年前,9384,165
【咀嚼音】スタミナ満点！ビビンバ＆ニラのチヂミ＆中華コーンスープ（ASMR Eating Sound）,/watch?v=TZ4r4gOmGAI,14605,毎日愉快,2760,3年前,9384,156
【咀嚼音】お寿司（ASMR Eating Sound）,/watch?v=Kzq-YvubUlY,24867,毎日愉快,2760,3年前,9384,265
【咀嚼音】薬味たっぷり！そうめん 玉子焼きとシャウエッセンも一緒に♪（ASMR Eating Sound）,/watch?v=7huQB2krDH4,96939,毎日愉快,2760,3年前,9384,1033
【咀嚼音】手作りのサクサク春巻き・豆もやしと豆苗の豚しゃぶサラダ・たまごスープ（ASMR Eating Sound）,/watch?v=vHhVoSlmp6s,25136,毎日愉快,2760,3年前,9384,268
【咀嚼音】みたらし団子（ASMR Eating Sound）,/watch?v=y2tt0xatylU,5336,毎日愉快,2760,3年前,9384,57
【咀嚼音】手作りチーズ豚巻き天ぷら きゅうり 大根 ニンジン タケノコのお漬け物（ASMR Eating Sound）,/watch?v=gMsvgosgquE,8821,毎日愉快,2760,3年前,9384,94
【咀嚼音】唐揚げ定食 もも せせり なんこつ 砂肝（ASMR Eating Sound）,/watch?v=8joBcOCQuEE,36869,毎日愉快,2760,3年前,9384,393
【咀嚼音】KFC ケンタッキー Wレッドホットパック（ASMR Eating Sound）,/watch?v=9fqzzW_45dY,15869,毎日愉快,2760,3年前,9384,169
【咀嚼音】モスバーガー スパイシーチリドッグ ポテト オニオンフライ モスチキン チリディップソース（ASMR Eating Sound）,/watch?v=R0UFxoxpC5s,10025,毎日愉快,2760,3年前,9384,107
【咀嚼音】生姜たっぷり！厚切り豚ロースのしょうが焼き サラダ 味噌汁 お漬物（ASMR Eating Sound）,/watch?v=ClkICB3JSew,4007,毎日愉快,2760,3年前,9384,43
【咀嚼音】手作り高菜チャーハン  手羽先の唐揚げ  ナスの味噌炒め  キムチ（ASMR Eating Sound）,/watch?v=0ZXocJzUzc0,3547,毎日愉快,2760,3年前,9384,38
【咀嚼音】お昼ご飯 地元名物がおかず（ASMR Eating Sound）,/watch?v=y-NNrgwDvNE,16416,毎日愉快,2760,3年前,9384,175
【咀嚼音】マクドナルド  （ASMR Eating Sound）,/watch?v=lr4pZt8NvRM,3332,毎日愉快,2760,3年前,9384,36
【咀嚼音】ラーメン うまかっちゃん キャベツとウィンナートッピング（ASMR Eating Sound）,/watch?v=F3hAjHOqwbQ,3668,毎日愉快,2760,3年前,9384,39
【咀嚼音】エビのバター焼き（ASMR Eating Sound）Part2,/watch?v=ROupQCZ1FCI,3971,毎日愉快,2760,3年前,9384,42
【咀嚼音】ステーキ エビとポテト ブロッコリー ピーマンと一緒に（ASMR Eating Sound）Part1,/watch?v=CYL8YwTcZCY,5146,毎日愉快,2760,3年前,9384,55
【咀嚼音】KFC ケンタッキーフライドチキン ツイスターのペッパーマヨ カーネルクリスピー ポテト（ASMR Eating Sound）,/watch?v=IcHWRToHoBI,2326,毎日愉快,2760,3年前,9384,25
【咀嚼音】ラスク ガーリックシュリンプ味（ASMR Eating Sound Garlic shrimp flovered rusks）,/watch?v=dcgsZotavW0,418,毎日愉快,2760,3年前,9384,4
