title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
寝れない夜に。,/watch?v=yFUVWL4bC48,8,熊本のくにみん,7,2日前,46,17
【夏】ひぐらし。,/watch?v=cb9xC-Gr4Bw,12,熊本のくにみん,7,2週間前,46,26
【咀嚼音】おいしさまるごとナチュラルポテト。,/watch?v=ZJcg3oojVjA,24,熊本のくにみん,7,2か月前,46,52
吠える犬とおもちゃで遊ぶ音。,/watch?v=8LKOCvd0c74,30,熊本のくにみん,7,3か月前,46,65
鳥の鳴き声と歩く音【山】,/watch?v=6wTXpp6_M0M,36,熊本のくにみん,7,3か月前,46,78
朝の人吉市【癒し】,/watch?v=r1BDafbFbFY,85,熊本のくにみん,7,3か月前,46,185
ワラビ狩りをする母の観察。,/watch?v=HYI9m8L4Fgk,30,熊本のくにみん,7,3か月前,46,65
【咀嚼音】いちご飴。,/watch?v=6EkdMD8X9es,73,熊本のくにみん,7,4か月前,46,159
メダカの観察【母の趣味】,/watch?v=fdYEr5GzzwU,22,熊本のくにみん,7,4か月前,46,48
犬の散歩と桜並木,/watch?v=jGobpqnPV7M,20,熊本のくにみん,7,4か月前,46,43
【咀嚼音】海ぶどう。,/watch?v=a0_vlEl4Pvs,137,熊本のくにみん,7,4か月前,46,298
歩道橋の上から【タイムラプス】,/watch?v=wcoBIhlSvgY,15,熊本のくにみん,7,5か月前,46,33
川のせせらぎ,/watch?v=GtFpwVs4GBk,17,熊本のくにみん,7,5か月前,46,37
今日の空【タイムラプス】,/watch?v=ZcRPqMk3gkk,11,熊本のくにみん,7,6か月前,46,24
愛犬の寝顔と車の音。,/watch?v=rn2zGl9JNTc,26,熊本のくにみん,7,7か月前,46,57
【綺麗】ひとりでイルミネーション見てきた。,/watch?v=SYNjjx6d8ho,19,熊本のくにみん,7,7か月前,46,41
【散歩】人吉城跡(2019.11.17),/watch?v=CupnCwGWfww,44,熊本のくにみん,7,9か月前,46,96
【SL人吉】一勝地駅から出発の様子,/watch?v=psVLXKElBPs,52,熊本のくにみん,7,10か月前,46,113
【猫さんぽ】野性的な猫ちゃん。,/watch?v=nLZB3vz1t1I,42,熊本のくにみん,7,1年前,46,91
【龍生園】桜のトンネル歩いたよ。,/watch?v=DCPz48UKHaU,40,熊本のくにみん,7,1年前,46,87
【ASMR】砂利の上を歩くよ,/watch?v=gGS2j_tK95o,196,熊本のくにみん,7,1年前,46,426
人吉梅園,/watch?v=x7uYF821XD0,54,熊本のくにみん,7,1年前,46,117
やつしろ全国花火競技大会2018,/watch?v=fYNW10XYovU,86,熊本のくにみん,7,1年前,46,187
【short】フォトムービー,/watch?v=fyhuu_RhP_w,24,熊本のくにみん,7,2年前,46,52
【short】人吉 梅園 青井阿蘇神社,/watch?v=WEyqBp29S9A,52,熊本のくにみん,7,2年前,46,113
