title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
《ASMR》涼しい音～水・炭酸・貝がら 囁き Whisper Pouring~Water Carbonated water《Japanese》,/watch?v=WgsRn2RBgkA,17813,珊瑚-Sango ASMR,26500,11か月前,76034,23
《ASMR》ヴァンパイアの友達に吸われるロールプレイ Vampire Friend Role Play《Japanese》,/watch?v=7vXJk3uP8G4,47036,珊瑚-Sango ASMR,26500,11か月前,76034,62
《ASMR》1000~0カウントダウン＆９種の音【再ＵＰ】(囁き声 Whisper) Countdown＆9 types of Sound《Japanese》,/watch?v=uGYZ0E8kkGA,19548,珊瑚-Sango ASMR,26500,1年前,76034,26
《ASMR》ゾンビ研究家に検査&研究されるロールプレイ 地声 Examination by Zombie Researcher Role Play《Japanese》,/watch?v=Gl82LPiXHr8,170494,珊瑚-Sango ASMR,26500,1年前,76034,224
"《ASMR》囁き 心理テスト 朗読と雨音 Reading Psychological Test Whisper, Rain Sounds《Japanese》",/watch?v=v1ho4Jy-xtE,26332,珊瑚-Sango ASMR,26500,1年前,76034,35
"《ASMR》カメラブラッシングと雨音 囁き Camera Brushing, Rain Sounds, Whisper《Japanese》",/watch?v=GhuIQxQXFHw,18176,珊瑚-Sango ASMR,26500,1年前,76034,24
《ASMR》添い寝 雑談＆羊を数える 囁き Falling asleep together＆Counting sheep Whisper《Japanese》,/watch?v=cwTkC7jcybU,22091,珊瑚-Sango ASMR,26500,1年前,76034,29
《ASMR》あなたの耳を触る・ふさぐ・タッピング(囁き声 Whisper) Ear Touching Tapping《Japanese》,/watch?v=nv4ljBkKZOo,51847,珊瑚-Sango ASMR,26500,1年前,76034,68
《ASMR》アニメのセリフを囁く（エヴァ・ネタバレ有り！）Anime EVANGELION words Whispering《Japanese》,/watch?v=jzmOyaXgOGk,20785,珊瑚-Sango ASMR,26500,1年前,76034,27
《ASMR》タメ口で耳かき・ちょっと雑談～綿棒・指耳かき(囁き声 Whisper) 2 types of Ear cleaning《Japanese》,/watch?v=DtQOfYUYeCc,50118,珊瑚-Sango ASMR,26500,1年前,76034,66
ノイズ有《ASMR》タメ口で耳かき～耳かき棒・綿棒・指耳かき(囁き声 Whisper) Three types of Ear cleaning《Japanese》,/watch?v=cNoRjpgfo_I,15672,珊瑚-Sango ASMR,26500,1年前,76034,21
《ASMR》コメント返信 Part3 質問・声真似 (囁き Whisper) Respond to Comments《Japanese》,/watch?v=7EczKfozxoA,17408,珊瑚-Sango ASMR,26500,1年前,76034,23
《ASMR》マッサージ サロン・ロールプレイ-ノイズ少なめ Massage RolePlay Sounds《Japanese》,/watch?v=vb_xJLHB5C0,66059,珊瑚-Sango ASMR,26500,1年前,76034,87
《ASMR》マッサージ サロン・ロールプレイ-ノイズ多め Massage RolePlay Sounds《Japanese》,/watch?v=hqtZ_jt0rk4,46975,珊瑚-Sango ASMR,26500,1年前,76034,62
《ASMR》コメント返信 Part2 質問・声真似 (囁き Whisper) Respond to Comments《Japanese》,/watch?v=vFjUzKUpSmc,18790,珊瑚-Sango ASMR,26500,1年前,76034,25
《ASMR》質問・コメント返信 Part1 (囁き Whisper) Respond to Comments《Japanese》,/watch?v=JwISSpSydsg,19252,珊瑚-Sango ASMR,26500,1年前,76034,25
《ASMR》メイクブラシ開封・タッピング・ブラッシング（囁き whisper）Makeup Brushes Unboxing・Tapping・brushing《Japanese》,/watch?v=bvN08SxXO9g,16015,珊瑚-Sango ASMR,26500,1年前,76034,21
《ASMR》囁き＆少し地声の歌 Whisper&Natural voice Singing Songs《Japanese》,/watch?v=qenZGkN1MDk,16104,珊瑚-Sango ASMR,26500,1年前,76034,21
《ASMR》なでなで・よしよし・リラックス（囁き whisper）Pat your head《Japanese》,/watch?v=u0GTQFMZCOw,43840,珊瑚-Sango ASMR,26500,1年前,76034,58
"(コメント募集終了しました)《お知らせ》２万人突破ありがとうございます！！Thank you 20,000 subscribe!!",/watch?v=eCiubY4qvlc,13521,珊瑚-Sango ASMR,26500,1年前,76034,18
《ASMR》擬音語と耳を触る音（囁き whisper）Japanese Trigger Words,/watch?v=GDu6scp9c5M,64797,珊瑚-Sango ASMR,26500,1年前,76034,85
《ASMR》耳を触る・耳かき・ブラッシング(囁き声 Whisper) Ear Touching・Cleaning・Brushing《Japanese》,/watch?v=qrudXYf6ER0,174512,珊瑚-Sango ASMR,26500,2年前,76034,230
《ASMR》ラ・パ・タ行＆擬音語 / 左右反転Ver.（囁き 地声）Japanese Trigger Words / Mirror-Reversed Ver.,/watch?v=lHiYncyMqTA,70171,珊瑚-Sango ASMR,26500,2年前,76034,92
《ASMR》質問…声真似…囁き小声でコメント返信 Respond to Comments Whisper《Japanese》,/watch?v=uS8lsGyhdeg,1300609,珊瑚-Sango ASMR,26500,2年前,76034,1711
《ホラー？注意》ゾンビに食べられるロールプレイ Zombie Eat You RolePlay Sounds《Horror Trigger》,/watch?v=G4iopgkFA9k,65601,珊瑚-Sango ASMR,26500,2年前,76034,86
《ASMR》心理テスト 朗読＆答える（小声 地声）Reading Psychological Test《Japanese》,/watch?v=ZzUxL_6NFfc,82753,珊瑚-Sango ASMR,26500,2年前,76034,109
《ASMR》ラ・パ・タ行＆擬音語（囁き 地声）Japanese Trigger Words,/watch?v=yUxrJrMrIuY,560329,珊瑚-Sango ASMR,26500,2年前,76034,737
《ASMR》二重の咀嚼音 フライドチキン - 串団子（声なし No Talking）Double Eating Sounds Fried chicken - Rice cake,/watch?v=11PffMEZya0,16140,珊瑚-Sango ASMR,26500,2年前,76034,21
《ASMR》シャンプー ロールプレイ (Soft Spoken) Shampoo RolePlay Water Bubble Sounds《Japanese》,/watch?v=_AcKObaCtNE,41765,珊瑚-Sango ASMR,26500,2年前,76034,55
