title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
松屋の牛めし久しぶりに食ったらたまげた！【モッパン】,/watch?v=v9P8KfPMTTU,11,甘糖/ぁまとぅ,,1日前,170,6
漢の自炊飯夏でも食欲そそる豚キムチ作って食べた【モッパン】,/watch?v=EiN0po38vBc,8,甘糖/ぁまとぅ,,3日前,170,5
プロテインバーうまいのははたしてどれなのか食べ比べ選手権,/watch?v=pqiqkp2PCbQ,16,甘糖/ぁまとぅ,,6日前,170,9
【セブンスイーツ】練乳シリーズそれぞれ持ち味が違うアイス【モッパン】,/watch?v=mdbwwoWNjYs,17,甘糖/ぁまとぅ,,1週間前,170,10
【モッパン】夜の炭水化物たこ焼きパーティー最高！【たこぱ】,/watch?v=u_N9YhT_TKQ,19,甘糖/ぁまとぅ,,1週間前,170,11
【ASMR】ザクザクゴロゴロブラックサンダーアイスの咀嚼音【音フェチ】,/watch?v=2mp445rI8UA,36,甘糖/ぁまとぅ,,1週間前,170,21
【ASMR】サクサク気持ちいいキャラメルコーンの咀嚼音【音フェチ】※イヤホン推奨,/watch?v=nExZR0NiZ_c,33,甘糖/ぁまとぅ,,2週間前,170,19
【ASMR】砂糖が輝くシュガーバターラスクの咀嚼音【音フェチ】,/watch?v=JpcrSKhH-p4,26,甘糖/ぁまとぅ,,2週間前,170,15
【ASMR】赤いキットカットの咀嚼音【音フェチ】KITKAT Nestle,/watch?v=TH3cejMNbwU,47,甘糖/ぁまとぅ,,2週間前,170,28
【ASMR】55ココナッツサブレの咀嚼音【音フェチ】55周年！,/watch?v=9VeyiUmmUBA,51,甘糖/ぁまとぅ,,3週間前,170,30
【ASMR】黒糖香るかりんとうの咀嚼音【音フェチ】,/watch?v=YQehmc99c_4,45,甘糖/ぁまとぅ,,4週間前,170,26
【睡眠導入】眠れない時に見てほしい深呼吸の音【ASMR】【音フェチ】,/watch?v=BC897tuF9LY,38,甘糖/ぁまとぅ,,4週間前,170,22
【ASMR】HERSHEY'Sシリアルの咀嚼音【音フェチ】,/watch?v=9pc2_-H1xy4,54,甘糖/ぁまとぅ,,1か月前,170,32
【ASMR】お土産コーナーで買ったチョコケーキの咀嚼音【音フェチ】,/watch?v=dqFVAQQYnUA,66,甘糖/ぁまとぅ,,1か月前,170,39
【ASMR】みたらし団子の咀嚼音【和菓子】,/watch?v=I0h2MHbbFuA,62,甘糖/ぁまとぅ,,1か月前,170,36
【iHerb購入品】筋トレメインのリピート品＆おすすめ紹介！,/watch?v=aGj5G9LIHgg,34,甘糖/ぁまとぅ,,1か月前,170,20
【ASMR】すぐに寝れる耳かき【睡眠用】※イヤホン推奨,/watch?v=XrJuC32PGAc,86,甘糖/ぁまとぅ,,1か月前,170,51
【駄菓子】思い出をありがとう！【咀嚼音】【らあめんババア】,/watch?v=MZ3HR4tXRvk,43,甘糖/ぁまとぅ,,1か月前,170,25
【ASMR】チョコチップクッキーの咀嚼音【ささやき】【音フェチ】,/watch?v=ia1INa1Pa5g,64,甘糖/ぁまとぅ,,1か月前,170,38
超簡単！鶏むね肉を美味しくパサつかずに調理する方法！『ダイエット』,/watch?v=fIPlLBoY_2s,16,甘糖/ぁまとぅ,,2か月前,170,9
【居心地抜群】ゲーミングチェア買っちまったｗ　GTRACING,/watch?v=gN5onmIxzLw,130,甘糖/ぁまとぅ,,4か月前,170,76
【コスパ最強】ゲーミングヘッドセット開封動画【オーディオ機器】,/watch?v=U7cMl1eMUd4,56,甘糖/ぁまとぅ,,4か月前,170,33
【ASMR】ワンピースのキャラ名と悪魔の実【囁き】【音フェチ】,/watch?v=Vxd2EPAX218,208,甘糖/ぁまとぅ,,5か月前,170,122
