title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【お金2.0】アナタは大丈夫！？「お金」のやってはいけない５つのこと！,/watch?v=fNcD3emJUk0,16,田舎のシティボーイ /ミスタ ,228,,972,2
ライトニングケーブルの格安代替品と低価格修理の効果は！？ − Lightning cable Repair by 100yen【mista】,/watch?v=Ep08DU1g9p0,27,田舎のシティボーイ /ミスタ ,228,,972,3
【超総括】年間240万円決済した結果！！特典とdカードゴールドの感想まとめ！！【mista】,/watch?v=jMLTKu2Mugs,77,田舎のシティボーイ /ミスタ ,228,,972,8
Elgato HD60s − How to Set Up Nintendo Switch − MacBookに最適のキャプチャーボードHD60sで任天堂Switchを録画すると・・・【mista】,/watch?v=WZQnDKej8cU,31,田舎のシティボーイ /ミスタ ,228,,972,3
【今日のトレンド#11】ウポポイ？タアンペ ヘマンタ アン？【mista】,/watch?v=sXvvRPACi9M,8,田舎のシティボーイ /ミスタ ,228,,972,1
【今日のトレンド#10】史上最速で配信停止！？『ファイナルソード』とは？？？【mista】,/watch?v=o5AdCs9BiDM,38,田舎のシティボーイ /ミスタ ,228,,972,4
【今日のトレンド#9】ミラノ風ドリア299円→300円の本当の狙い。。。【mista】,/watch?v=qWQEqbBskS8,14,田舎のシティボーイ /ミスタ ,228,,972,1
【今日のトレンド#8】歓喜！ディズニーリゾートが遂に復活！【mista】,/watch?v=qRTjysOjaSo,9,田舎のシティボーイ /ミスタ ,228,,972,1
Amazon fire TV Stick 4Kを田舎で買ってみた！田舎こそ必要な理由！【mistakes】,/watch?v=O1WXe7SYb18,30,田舎のシティボーイ /ミスタ ,228,,972,3
【今日のトレンド#7】トランプラリーとは？コロナウィルスとの意外な接点。【mista】,/watch?v=tZEy7waIqW8,19,田舎のシティボーイ /ミスタ ,228,,972,2
【今日のトレンド#6】遂に発売！エコで超快適なユニクロエアリズムマスク！！【mista】,/watch?v=d6WhBiDs1jk,37,田舎のシティボーイ /ミスタ ,228,,972,4
【今日のトレンド#5】日本国内で外国人男性が狂犬病を発症した件。【mista】,/watch?v=zSjG_8BRk68,13,田舎のシティボーイ /ミスタ ,228,,972,1
【今日のトレンド#4】どうぶつの森のキャラクターたちがRMTで取引されているという話。。。【mista】,/watch?v=lH0GKJSMuUw,39,田舎のシティボーイ /ミスタ ,228,,972,4
【今日のトレンド#3】遂にPS5が公式発表！発売日は？コンテンツは？【mista】,/watch?v=-9AcfEJ4URI,17,田舎のシティボーイ /ミスタ ,228,,972,2
【今日のトレンド#2】阿部寛VSオダギリジョー！新古畑任三郎役の候補が最終選考！？【mista】,/watch?v=sLy-pUp7dVg,364,田舎のシティボーイ /ミスタ ,228,,972,37
【今日のトレンド#1】くら寿司×鬼滅の刃コラボが2020年6月12日から開始！！【mista】,/watch?v=MZ3hC0TarfU,161,田舎のシティボーイ /ミスタ ,228,,972,17
