title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【モンスト】雑談配信　初見さん大歓迎✨✨　ライブ配信　毎日配信　生配信　LIVE,/watch?v=i4Fxf5on-cg,117,白髪のライト/ ,1270,,379,31
【モンスト】雑談配信　初見さん大歓迎✨✨　ライブ配信　毎日配信　生配信　LIVE,/watch?v=hq_BXnK8RRs,197,白髪のライト/ ,1270,,379,52
【モンスト】雑談配信　初見さん大歓迎✨✨　ライブ配信　毎日配信　生配信　LIVE,/watch?v=_NdUdIjq8WQ,170,白髪のライト/ ,1270,,379,45
【デュエプレ】マスター帯ランクマ　雑談　LIVE,/watch?v=NzAXnLetd_s,61,白髪のライト/ ,1270,,379,16
【モンスト】雑談配信　初見さん大歓迎✨✨　ライブ配信　毎日配信　生配信　LIVE,/watch?v=RPBeA2XHH_4,136,白髪のライト/ ,1270,,379,36
【モンスト　アゲインガチャ】止まらない！？　神運営からの贈り物で神引きをねらう！！,/watch?v=mfhbgYBVcbw,236,白髪のライト/ ,1270,,379,62
【モンストSAO第2弾コラボ】《アンダーワールドの希望キリト》獣神化キリトのSSが強すぎるｗｗｗｗ,/watch?v=B6_4z9RiDVo,266,白髪のライト/ ,1270,,379,70
【モンストSAO弟2弾コラボガチャ】100連！！　神引きが止まらないｗｗｗ　(ソードアートオンライン)　獣神化　キリト,/watch?v=SY8Ou1yVJS4,115,白髪のライト/ ,1270,,379,30
【モンスト】獣神化改真田幸村が欲しい！！！！！,/watch?v=zk1sAfxvEUc,171,白髪のライト/ ,1270,,379,45
【咀嚼音】１万円使ってASMRしてみた✨✨　(eating sounds),/watch?v=OoiwRq50S50,435,白髪のライト/ ,1270,,379,115
【ASMR】初めてのヤンニョムチキンがうますぎたぁぁ✨✨【咀嚼音】　　大食い　韓国　(coco chiken korea),/watch?v=tElfvzJReSM,322,白髪のライト/ ,1270,,379,85
【ASMR】ポテトチップス＆じゃがりこ　大食いしたら最後に、、、【咀嚼音】(Eating sounds) Potato chips  睡眠用　韓国,/watch?v=Cp4Uh4goHUQ,1031,白髪のライト/ ,1270,,379,272
【歌詞付き】白日 /  King Gnu　歌ってみた(cover by Lone Wolf),/watch?v=X5XOY-XzVXs,1665,白髪のライト/ ,1270,,379,439
