title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【男性向け/ASMR】敵国のドS軍師に堕とされる【3dio/シチュエーションボイス】Anime Roleplay,/watch?v=uvFCu7Ja2fg,9732,綺羅魔ヤミ,8770,1日前,11323,86
🔴【ASMR】囁きながらもぐもぐ咀嚼音【3DIO/イヤホン推奨】 EATING SOUND / Binaural,/watch?v=x_LHkxXg35k,1486,綺羅魔ヤミ,8770,3日前,11323,13
【ASMR】飴を食べる🍭【3DIO/イヤホン推奨】CANDY EATING SOUND / Binaural recording,/watch?v=sdepwwqwRK4,1819,綺羅魔ヤミ,8770,4日前,11323,16
【男性向け】ツンデレ幼なじみに嫉妬されて告白される【甘々/シチュエーションボイス】Anime Roleplay,/watch?v=NNrDie7rVC4,6474,綺羅魔ヤミ,8770,4日前,11323,57
🔴【ASMR雑談】3DIOテストしながら配信【バイノーラル】,/watch?v=mljk7UmzqYI,1368,綺羅魔ヤミ,8770,4日前,11323,12
【男性向け/ASMR】ヤンデレくのいちちゃんにムリヤリ恋人にされちゃう♡「あなたは、わたしのもの……」【シチュエーションボイス】Yandere Anime Roleplay,/watch?v=A8fivWyxHjM,12518,綺羅魔ヤミ,8770,5日前,11323,111
【男性向け/ASMR】ヤンデレ王女様のペットにされる♡【調教/シチュエーションボイス】Yandere Anime Roleplay,/watch?v=V4sJ8Z6j654,7163,綺羅魔ヤミ,8770,6日前,11323,63
【男性向け/ASMR】男性が少ない世界でヤンデレなお姉さんに監禁される【シチュエーションボイス】※過激な表現あり Yandere Anime Roleplay,/watch?v=IqEuuha0QFg,12988,綺羅魔ヤミ,8770,1週間前,11323,115
【配信切り抜き】ヤミちゃん の あばれる ！【ボイスとのギャップをお楽しみください】,/watch?v=LFkejIuTFX8,1376,綺羅魔ヤミ,8770,1週間前,11323,12
【男性向け/ASMR】湯上り年上彼女と甘々添い寝♡【シチュエーションボイス】Anime Roleplay,/watch?v=PcxXs0hQNRg,5274,綺羅魔ヤミ,8770,1週間前,11323,47
【男性向け/ASMR】ドSな彼女に罵倒されながらたくさん踏まれちゃう♡【シチュエーションボイス】 Anime Roleplay,/watch?v=nbtxBzPkhOU,5765,綺羅魔ヤミ,8770,1週間前,11323,51
【男性向け/ASMR】ヤンデレ吸血鬼義姉に厳しく管理される♡【シチュエーションボイス】Yandere Anime Roleplay,/watch?v=nOXS35zxcf4,10627,綺羅魔ヤミ,8770,1週間前,11323,94
【男性向け/ASMR】あなたを洗脳して女性不信にしたいヤンデレ先輩【シチュエーションボイス】Yandere Anime Roleplay,/watch?v=lUqNhfbcYo8,12674,綺羅魔ヤミ,8770,1週間前,11323,112
🔴【雑談】がんばってるのでほめにきてね,/watch?v=MjegBwqanEE,1345,綺羅魔ヤミ,8770,1週間前,11323,12
【男性向け/ASMR】ヤンデレお姉ちゃんに洗脳されて所有物にされる【シチュエーションボイス】,/watch?v=F_pAbBkp8as,8017,綺羅魔ヤミ,8770,1週間前,11323,71
【男性向け/ASMR】ヤンデレ魔王様が勇者にお仕置き♡【監禁/シチュエーションボイス】,/watch?v=wBSm95pPyWc,9152,綺羅魔ヤミ,8770,1週間前,11323,81
【男性向け/ASMR】嫉妬して暴力をふるってしまうヤンデレ年上彼女【シチュエーションボイス】▼再投稿作品,/watch?v=FL3T04fFtgM,12888,綺羅魔ヤミ,8770,2週間前,11323,114
【男性向け/ASMR】落ち込んだ年上彼女を思いっきり甘やかしてみた♡【甘々/シチュエーションボイス】,/watch?v=Dr5tY38XPz4,5645,綺羅魔ヤミ,8770,2週間前,11323,50
【男性向け】お母さんにガミガミ叱られる【シチュエーションボイス】,/watch?v=J0W0w0XEOsA,2527,綺羅魔ヤミ,8770,2週間前,11323,22
【男性向け/ASMR】ヤンデレ美人社長と強制結婚【シチュエーションボイス】,/watch?v=SpTEHaD6ASg,14275,綺羅魔ヤミ,8770,2週間前,11323,126
【男性向け/ASMR】ヤンデレ彼女×監禁×首絞め【シチュエーションボイス】,/watch?v=EWzxLYmONwE,12127,綺羅魔ヤミ,8770,3週間前,11323,107
【男性向け/ASMR】ヤンデレ蜘蛛娘の毒に侵されて…【アラクネ/シチュエーションボイス】,/watch?v=Tv4_cfvdFQQ,6192,綺羅魔ヤミ,8770,3週間前,11323,55
BGMなし【男性向け/ASMR】首を絞めてという君に。【ヤンデレ/シチュエーションボイス】,/watch?v=J1DzzHGaDH4,6922,綺羅魔ヤミ,8770,3週間前,11323,61
🔴ホラゲー苦手な悪魔、幽霊列車をプレイする【綺羅魔ヤミ/十二杖巳紅/赤城イサム】,/watch?v=4sqAk9ULzP8,1359,綺羅魔ヤミ,8770,3週間前,11323,12
BGMなし【男性向け】ヤンデレの親友に投薬されて監禁される【シチュエーションボイス】,/watch?v=PFtfs3cV2jo,8919,綺羅魔ヤミ,8770,4週間前,11323,79
BGMあり【男性向け/ASMR】嫉妬して暴力をふるってしまうヤンデレ年上彼女【シチュエーションボイス】,/watch?v=a_-kfi1MGGA,22937,綺羅魔ヤミ,8770,4週間前,11323,203
【男性向け/ASMR】お屋敷のお狐様①～いちゃいちゃしながらげぇむする～【甘々/シチュエーションボイス】,/watch?v=IesyDbZyzOo,6787,綺羅魔ヤミ,8770,4週間前,11323,60
【男性向け/ASMR】彼女にたっぷり甘やかされておやすみなさい♡【甘々/シチュエーションボイス】,/watch?v=rk0k37XA-Lo,8250,綺羅魔ヤミ,8770,1か月前,11323,73
【男性向け/ASMR】ヤンデレ女軍人に軟禁される【シチュエーションボイス】,/watch?v=Ogq_hAjcGJI,33437,綺羅魔ヤミ,8770,1か月前,11323,295
BGMなし【男性向け】ヤンデレ美人教師は君のストーカー【シチュエーションボイス】,/watch?v=_FmvV4O7Ho0,13066,綺羅魔ヤミ,8770,1か月前,11323,115
