title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
タッパー×ヨーグルトって最強のasmrになるんじゃね！？,/watch?v=yoanqINPTq8,1,青春モテモテ王国,,21時間前,6,17
【第五人格】【ランクマ】【最強ハスター卍】【負けたら鼻毛】,/watch?v=d4LNvVT-neU,6,青春モテモテ王国,,3か月前,6,100
うちにある機材で精一杯のasmr ネイルタッピングをやりたかった男性の末路,/watch?v=778EENQ-fX0,35,青春モテモテ王国,,3か月前,6,583
don’t look back ドントルックバック　2,/watch?v=JW8lhSG8pdU,0,青春モテモテ王国,,3か月前,6,0
Don’t look back ドントルックバック実況,/watch?v=ZdS-fx5HnEs,3,青春モテモテ王国,,3か月前,6,50
ソニッケアー を使ったらモテるのか確かめていく,/watch?v=MY0k7GO90ss,8,青春モテモテ王国,,3か月前,6,133
わらび餅　asmr,/watch?v=lV0a0BBOqQ8,6,青春モテモテ王国,,3か月前,6,100
マシュマロ　asmr Mashumaro,/watch?v=2h3Vx3ocFfI,4,青春モテモテ王国,,3か月前,6,67
asmr 海ぶどう,/watch?v=FYD7UteLM7k,28,青春モテモテ王国,,4か月前,6,467
かんてん　asmr jelly,/watch?v=JGldxNxktHI,6,青春モテモテ王国,,4か月前,6,100
知育菓子 asmr,/watch?v=FWYSkU6hmWE,4,青春モテモテ王国,,4か月前,6,67
coating juice asmr,/watch?v=VMaoZDjhJQw,13,青春モテモテ王国,,4か月前,6,217
(第五人格identityv) 一番綺麗な勝ちパターン(サバイバー目線),/watch?v=ksxdWXBAmVw,1,青春モテモテ王国,,6か月前,6,17
(第五人格identityv)地下室に気をつけろ,/watch?v=OBOZQwrmcy4,2,青春モテモテ王国,,7か月前,6,33
(第五人格identityv)不機嫌なると無口になるタイプ？,/watch?v=Tja1jntHAbI,2,青春モテモテ王国,,7か月前,6,33
(第五人格identityv)自分の活躍しか出さないビデオ,/watch?v=_LiuXGiVzcQ,3,青春モテモテ王国,,7か月前,6,50
魂を刈り取れ,/watch?v=eG6ARPRbupI,1,青春モテモテ王国,,8か月前,6,17
負け確を覆す力,/watch?v=4U-dyfaQReI,1,青春モテモテ王国,,8か月前,6,17
ゲーム音が入ってねえ,/watch?v=Bjvl6X7xkDw,0,青春モテモテ王国,,8か月前,6,0
フラライを目指して,/watch?v=4rr7UoEUpwc,2,青春モテモテ王国,,8か月前,6,33
