title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ASMR】餃子定食が最高に美味しかったです！【咀嚼音】,/watch?v=0NiGpL7pAYo,470,食卓ShowT,118,,166,283
【ASMR】簡単自炊！サクサク唐揚げ作って食べてみた【咀嚼音】,/watch?v=JYh2F_saaQo,297,食卓ShowT,118,,166,179
【ASMR】明けましておめでとうございます！年明けうどん&天丼【咀嚼音】,/watch?v=tcfVEDxS4wk,384,食卓ShowT,118,,166,231
【ASMR】簡単自炊！ポークチャッププレート【咀嚼音】,/watch?v=PRAuRCutauY,143,食卓ShowT,118,,166,86
【ASMR】メリークリスマス！オードブルを1人で食べました！【咀嚼音】,/watch?v=r6JSRgm6ApM,108,食卓ShowT,118,,166,65
【ASMR】簡単自炊！ネギの豚肉巻きが美味い！【咀嚼音】,/watch?v=rkl115reFU8,143,食卓ShowT,118,,166,86
【ASMR】簡単自炊！豚肉のニラ玉炒め！【咀嚼音】,/watch?v=krGmPVK4shc,117,食卓ShowT,118,,166,70
【ASMR】安心の美味さ！卵納豆かけごはん&サッポロ一番塩らーめん【咀嚼音】,/watch?v=wtS7XvGliwY,894,食卓ShowT,118,,166,539
【ASMR】充実の朝！モーニングプレート【咀嚼音】,/watch?v=_m44ApP6pGo,373,食卓ShowT,118,,166,225
【ASMR】簡単自炊！豚肉とインゲンのレモン醤油炒め【咀嚼音】,/watch?v=8NBru-uY57M,130,食卓ShowT,118,,166,78
【ASMR】簡単自炊！鳥胸とホウレン草のヘルシー炒め&味噌汁【咀嚼音】,/watch?v=IhLPrq0xWLc,72,食卓ShowT,118,,166,43
【ASMR】高カロリーでもやめられない！牛丼&カップ焼きそば【咀嚼音】,/watch?v=0_0yQsVSs9Q,1634,食卓ShowT,118,,166,984
【ASMR】簡単自炊！豚肉の生姜焼きが美味すぎる！【咀嚼音】,/watch?v=tdrECp64aLI,222,食卓ShowT,118,,166,134
【ASMR】簡単自炊！焼鳥定食作って食べました！【咀嚼音】,/watch?v=jW6ao0BV2Yw,137,食卓ShowT,118,,166,83
【ASMR】マクドナルドはやっぱり美味い！ベーコンマックポーク&チキンクリスプ【咀嚼音】,/watch?v=tHkC9wEdvxA,187,食卓ShowT,118,,166,113
【ASMR】鶏肉とインゲンのガーリック焼き&目玉焼き【咀嚼音】,/watch?v=sBlvELUoXMM,84,食卓ShowT,118,,166,51
【ASMR】簡単自炊！激ウマ豚キムチ！【咀嚼音】,/watch?v=BjO7r6g5E5A,219,食卓ShowT,118,,166,132
