title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ASMR】【咀嚼音】菓匠  清閑院の和菓子をいただきます♡,/watch?v=r-peRnLocJY,228,KOTOHA ASMR,133,2週間前,251,91
【ASMR】【咀嚼音】ごぼうのから揚げ・チキンナゲット・ミニアメリカンドッグをいただきます♡,/watch?v=6rvJyNh7pRE,181,KOTOHA ASMR,133,2週間前,251,72
【ASMR】【咀嚼音】アイスクリームタイム♡3種類のアイスクリームをいただきます♡,/watch?v=I84Uq0fJ1uo,207,KOTOHA ASMR,133,2週間前,251,82
【ASMR】【咀嚼音】C3(シーキューブ)の焼き菓子をいただきます♡,/watch?v=7kBqFuFi334,221,KOTOHA ASMR,133,3週間前,251,88
【ASMR】【咀嚼音】サクサクチキンのチーズフォンデュをいただきます♡,/watch?v=Pcl86DxJGFU,267,KOTOHA ASMR,133,4週間前,251,106
【ASMR】【咀嚼音】やわもちフルーツアイスをいただきます♡,/watch?v=CiAXqWnt54g,147,KOTOHA ASMR,133,1か月前,251,59
【ASMR】【咀嚼音】やわらか♡牛カットステーキをいただきます♡,/watch?v=P9aG0tM6iz8,178,KOTOHA ASMR,133,1か月前,251,71
【ASMR】【咀嚼音】もっちり♡チヂミをいただきます♡,/watch?v=qxAvkWNc-RU,176,KOTOHA ASMR,133,1か月前,251,70
【ASMR】【咀嚼音】韓国風旨辛炒め麺＆チーズハットグをいただきます♡,/watch?v=dJ4OUjzRuvA,289,KOTOHA ASMR,133,1か月前,251,115
【ASMR】【咀嚼音】ナンチョリソーをいただきます♡,/watch?v=ujKkI81T9OY,255,KOTOHA ASMR,133,1か月前,251,102
【ASMR】【咀嚼音】ジューシー♡みかん大福をいただきます♡,/watch?v=_hXtFgQXJu4,287,KOTOHA ASMR,133,1か月前,251,114
【ASMR】【咀嚼音】カラッと♡塩から揚げをいただきます♡,/watch?v=FNYC2VuB1hI,236,KOTOHA ASMR,133,1か月前,251,94
【ASMR】【咀嚼音】カリッ♡じゅわ♡大学いもをいただきます♡,/watch?v=Bp8nVdpVpt8,319,KOTOHA ASMR,133,1か月前,251,127
【ASMR】【咀嚼音】アップルパイ＆雪見だいふく＆黒糖タピオカミルクティーをいただきます♡,/watch?v=1fHKCwD9Pig,247,KOTOHA ASMR,133,1か月前,251,98
【ASMR】【咀嚼音】ショコラサンド＆グラノーラサンドをいただきます♡,/watch?v=aY9gPNwVh4g,355,KOTOHA ASMR,133,1か月前,251,141
【ASMR】【咀嚼音】サクッ♡ぷりっ♡エビフライをいただきます♡,/watch?v=yZcNwhzSWxI,233,KOTOHA ASMR,133,1か月前,251,93
【ASMR】【咀嚼音】さっくりサクサクなチュロスをいただきます♡,/watch?v=bDOe_mnb5gI,348,KOTOHA ASMR,133,1か月前,251,139
【ASMR】【咀嚼音】いぶりがっこ・姫大根の塩漬け・きゅうりのしょうゆ漬けをいただきます♡,/watch?v=CSLtZdFAEKU,203,KOTOHA ASMR,133,1か月前,251,81
【ASMR】【咀嚼音】サクサク♡イカマヨ丼をいただきます♡,/watch?v=d7J2GWqIJZE,279,KOTOHA ASMR,133,1か月前,251,111
【ASMR】【咀嚼音】具だくさん♡カニ玉丼をいただきます♡,/watch?v=BTxYkqnGWis,227,KOTOHA ASMR,133,2か月前,251,90
【ASMR】【咀嚼音】ふわ♡もこ♡とろ〜り♡スモアをいただきます♡,/watch?v=w6WeKD4XkR4,243,KOTOHA ASMR,133,2か月前,251,97
【ASMR】【咀嚼音】朝食プレートをいただきます♡,/watch?v=Dx0vFbPl59o,275,KOTOHA ASMR,133,2か月前,251,110
【ASMR】【咀嚼音】モルティーザーズチョコレートをいただきます♡,/watch?v=d7Y_1mHHjH4,367,KOTOHA ASMR,133,2か月前,251,146
【ASMR】【咀嚼音】ぷりぷり♡エビマヨをいただきます♡,/watch?v=qPgkfFwu29k,369,KOTOHA ASMR,133,2か月前,251,147
【ASMR】【咀嚼音】チョコレートタイム♡チョコレートのパン・お菓子・アイスをいただきます♡,/watch?v=Pq1l9HxpUIk,324,KOTOHA ASMR,133,2か月前,251,129
【ASMR】【咀嚼音】パリパリなタコスをいただきます♡,/watch?v=K3qK5WDf0ms,263,KOTOHA ASMR,133,2か月前,251,105
【ASMR】【咀嚼音】ベーコンポテサラフランス＆ホイップ金時パンをいただきます♡,/watch?v=WlYQKzxIfE0,269,KOTOHA ASMR,133,2か月前,251,107
【ASMR】【咀嚼音】もちもちソトクソトクをいただきます♡,/watch?v=OIvKYH_Ygj8,296,KOTOHA ASMR,133,2か月前,251,118
【ASMR】【咀嚼音】フルーツ飴＆マシュマロ飴をいただきます♡,/watch?v=A58jiSlzobE,190,KOTOHA ASMR,133,2か月前,251,76
【ASMR】【咀嚼音】さくふわマカロンをいただきます♡,/watch?v=ZFPhw6C8l94,240,KOTOHA ASMR,133,2か月前,251,96
【ASMR】【咀嚼音】納豆ごはんと煮物をいただきます♡,/watch?v=iIsTRMVirgQ,229,KOTOHA ASMR,133,2か月前,251,91
【ASMR】【咀嚼音】ナーズロープキャンディ＆いろいろなグミをいただきます♡,/watch?v=QNe5TpyhN9M,234,KOTOHA ASMR,133,2か月前,251,93
【ASMR】【咀嚼音】パリパリ皿うどんをいただきます♡,/watch?v=OVwQsoUiDhw,172,KOTOHA ASMR,133,2か月前,251,69
【ASMR】【咀嚼音】ピザトースト＆じゃこマヨトーストをいただきます♡,/watch?v=AxK5coch2OQ,231,KOTOHA ASMR,133,2か月前,251,92
【ASMR】【咀嚼音】ちまきと春巻きをいただきます♡,/watch?v=MB5syQCRO_g,181,KOTOHA ASMR,133,2か月前,251,72
【ASMR】【咀嚼音】ホイップクロワッサンをいただきます♡,/watch?v=pDTax45TUzY,217,KOTOHA ASMR,133,2か月前,251,86
【ASMR】【咀嚼音】朝食プレートをいただきます♡,/watch?v=VJ9ndvS6wNg,286,KOTOHA ASMR,133,2か月前,251,114
【ASMR】【咀嚼音】カフェ風 ロコモコをいただきます♡,/watch?v=lYx7vJ9MX-s,164,KOTOHA ASMR,133,3か月前,251,65
【ASMR】【咀嚼音】パリパリフライドチキンとカリカリハッシュドポテトをいただきます♡,/watch?v=TPNSFmS2Faw,253,KOTOHA ASMR,133,3か月前,251,101
【ASMR】【咀嚼音】いちご飴＆ぶどう飴をいただきます♡,/watch?v=Shh7SNUnXFg,216,KOTOHA ASMR,133,3か月前,251,86
【ASMR】【咀嚼音】生八つ橋 抹茶フォンデュをいただきます♡,/watch?v=naVZk2d1QuA,166,KOTOHA ASMR,133,3か月前,251,66
【ASMR】【咀嚼音】こがしマヨたまトースト＆ごぼうサラダトーストをいただきます♡,/watch?v=m8cRLmOr0GY,224,KOTOHA ASMR,133,3か月前,251,89
【ASMR】【咀嚼音】たくあん・赤かぶら漬け・きゅうりの浅漬けをいただきます♡,/watch?v=iDh3W48lRL4,218,KOTOHA ASMR,133,3か月前,251,87
【ASMR】【咀嚼音】クッキー＆クリームケーキをいただきます♡,/watch?v=JCD6MjGdBpg,261,KOTOHA ASMR,133,3か月前,251,104
【ASMR】【咀嚼音】ピザポテトチーズスティック＆オニオンリングをいただきます♡,/watch?v=9jE2s3XI674,284,KOTOHA ASMR,133,3か月前,251,113
【ASMR】【咀嚼音】いちご大福をいただきます♡,/watch?v=sOGxlkZGm9Q,263,KOTOHA ASMR,133,3か月前,251,105
【ASMR】【咀嚼音】肉巻きおにぎり棒をいただきます♡,/watch?v=kT997zSYDW4,189,KOTOHA ASMR,133,3か月前,251,75
【ASMR】【咀嚼音】サラダ巻き＆野菜のかき揚げ＆カレーコロッケをいただきます♡,/watch?v=vrpQnIgZJCk,260,KOTOHA ASMR,133,3か月前,251,104
【ASMR】【咀嚼音】チーズハットグをいただきます♡,/watch?v=v30qze6kNfo,336,KOTOHA ASMR,133,3か月前,251,134
【ASMR】【咀嚼音】オレオ  抹茶クリスピー＆ホワイトチョコレートクッキーをいただきます♡,/watch?v=h_KC7G1Xi1o,221,KOTOHA ASMR,133,3か月前,251,88
【ASMR】【咀嚼音】かりふわ揚げドーナツをいただきます♡,/watch?v=3cZIwZWYA10,278,KOTOHA ASMR,133,3か月前,251,111
【ASMR】【咀嚼音】ふわふわクリームのとろけるチーズケーキをいただきます♡,/watch?v=iuAvnqGX5b4,332,KOTOHA ASMR,133,3か月前,251,132
【ASMR】【咀嚼音】プレスバターサンドをいただきます♡,/watch?v=OT5akLtAsH0,395,KOTOHA ASMR,133,3か月前,251,157
