title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【咀嚼音】BTSボラボラアイス、ダンキンのオールドファッションドーナツ、アイス餅、コンビニマカロン、チョコレート、フルーツゼリー,/watch?v=6z4nsRvgIKI,45039,Mellawnie ASMR 멜라우니,51900,1日前,317652,14
"【咀嚼音】ケーキ、チーズマカロン、アイス、クッキー、うまい棒、みかんゼリー、わがし【ASMR】CAKE, MACARON, JELLY, WAGASHI eating sounds MUKBANG먹방",/watch?v=5AkFTTiIsus,55054,Mellawnie ASMR 멜라우니,51900,3日前,317652,17
"【咀嚼音】プルダックポックンミョンとBBQジャマイカチキンを食べる【ASMR】FIRE NOODLES, SPICY CHICKENS eating sounds MUKBANG먹방",/watch?v=i7r2oAjREEU,68570,Mellawnie ASMR 멜라우니,51900,4日前,317652,22
"【咀嚼音】ティラミスムースケーキ、マグナムアイス、モルティージャスチョコレートボール【ASMR】TIRAMISU, MALTESERS, MAGNUM, CHOCOLATE ICE CREAM먹방",/watch?v=sge3YyXK_iE,139909,Mellawnie ASMR 멜라우니,51900,6日前,317652,44
【咀嚼音】メロナ、アイスマカロン、アイスもち等々いろいろアイス【ASMR】 RAINBOW ASSORTED ICE CREAM먹방,/watch?v=rBYkPHILeyg,109798,Mellawnie ASMR 멜라우니,51900,1週間前,317652,35
【咀嚼音】いろいろなチーズボールを食べる【ASMR】 ASSORTED CHEESE BALLS eating sounds MUKBANG먹방,/watch?v=1pfMWoYyCo0,220975,Mellawnie ASMR 멜라우니,51900,1週間前,317652,70
【咀嚼音】コンビニスイーツ、アインシュペナーティラミス、ケーキ、マカロン、もち、エクレア、アイス【ASMR】CONVENIENCE STORE DESSERT eating sound MUKBANG,/watch?v=ZMmQdqc8cnM,207671,Mellawnie ASMR 멜라우니,51900,1週間前,317652,65
"【咀嚼音】カカオフレンズ虹ケーキ、綿菓子、アイス【ASMR】 RAINBOW CAKES, COTTON CANDY, ICE CREAM eating sounds MUKBANG먹방",/watch?v=pWt6ZTgYtw4,84678,Mellawnie ASMR 멜라우니,51900,1週間前,317652,27
【咀嚼音】いろいろピンクアイス、マグナム、ディッピンドッツアイス、アイスマカロン、アイスもち等々【ASMR】 PINK ICE CREAM eating sounds MUKBANG먹방,/watch?v=V0h4foANmis,211526,Mellawnie ASMR 멜라우니,51900,2週間前,317652,67
【咀嚼音】インジョルミのかき氷、マカロン、餅ケーキ、アイスもち、ロールケーキ、菓子、串インジョルミ【ASMR】 INJEOLMI DESSERTS eating sounds MUKBANG 먹방,/watch?v=ktxOL7iAzQI,138762,Mellawnie ASMR 멜라우니,51900,2週間前,317652,44
"【咀嚼音】チーズホットドッグ、チーズボール、プルダックソトクソトク【ASMR】CHEESY CORN DOG, CHEESE BALL, SOTTEOK eating sounds MUKBANG먹방",/watch?v=e3v4YSsvkoc,330565,Mellawnie ASMR 멜라우니,51900,2週間前,317652,104
【咀嚼音】イチゴミルフィーユパイ、ティラミスマカロン、アイスカステラ、もち、マシュマロ、菓子、アイス【ASMR】STRAWBERRY DESSERTS eating sounds MUKBANG 먹방,/watch?v=-cpXuqnkcKw,85159,Mellawnie ASMR 멜라우니,51900,3週間前,317652,27
【咀嚼音】キャラメルチーズタルト、ダルゴナ&チョコマカロン、クリスピークリームドーナツ、アイス【ASMR】CARAMEL&DALGONA DESSERT eating sounds MUKBANG먹방,/watch?v=jjUvWfgc7NQ,129514,Mellawnie ASMR 멜라우니,51900,3週間前,317652,41
"【咀嚼音】メロンロールケーキ、メロンパン、アイス、マカロン【ASMR】MELON ROLL CAKES, ICE CREAM, MACARONS eating sounds MUKBANG멜론 먹방",/watch?v=blCCaH3ZGJA,143559,Mellawnie ASMR 멜라우니,51900,3週間前,317652,45
"【咀嚼音】チーズボール、スフレチーズケーキを食べる【ASMR】 CHEESE BALLS, CHEESE CAKES eating sounds MUKBANG먹방",/watch?v=2kxcrui1QPI,302130,Mellawnie ASMR 멜라우니,51900,3週間前,317652,95
【咀嚼音】クッキー&クリームアイス、クリームチーズタルト、ロールケーキ、アイスマカロン、餅、菓子【ASMR】COOKIE&CREAM DESSERTS eating sounds MUKBANG 먹방,/watch?v=A1n9tvGl6WI,105173,Mellawnie ASMR 멜라우니,51900,3週間前,317652,33
"【咀嚼音】チーズをたっぷり入れたカルボプルダックポックンミョン、キルバサソーセージ、手作りチーズソース【ASMR】CHEESY CARBO FIRE NOODLES,KIELBASA MUKBANG",/watch?v=W4Pz6q4NZG0,385974,Mellawnie ASMR 멜라우니,51900,4週間前,317652,122
【咀嚼音】ピンクデザート、ケーキ、綿菓子、マカロン、アイス、マグナム、ゼリー、もち【ASMR】PINK FOOD eating sounds MUKBANG 먹방,/watch?v=sHtES6SbEqM,214309,Mellawnie ASMR 멜라우니,51900,4週間前,317652,67
【咀嚼音】マンゴーケーキ、アイス、マカロン、クリームパンゼリー、もち【ASMR】MANGO DESSERTS eating sounds MUKBANG먹방,/watch?v=ljOc9mGmfXs,138218,Mellawnie ASMR 멜라우니,51900,1か月前,317652,44
"【咀嚼音】マックのチーズバーガー、フライドポテト、マックナゲット、マックウイング、手作りのチーズソース【ASMR】Mc.BURGER, CHICKEN, NUGGET, CHEESE SAUCE 먹방",/watch?v=QHzMesd1LoM,129398,Mellawnie ASMR 멜라우니,51900,1か月前,317652,41
"【咀嚼音】あんこ餅、薬果(ヤックァ)、もちブラウニー【ASMR】 MOCHI, YAKGWA, GLUTINOUS RICE CAKE BROWNIE eating sounds MUKBANG먹방",/watch?v=_jqoleXB_X4,105407,Mellawnie ASMR 멜라우니,51900,1か月前,317652,33
