title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【収納】掃除して断捨離して新しい食器紹介✨,/watch?v=84Td0YkD3Jg,51984,Nami Channel,30600,2日前,141491,37
"【 業務スーパー#9】おすすめ、リピート❗️4人家族の購入品！65点15,000円お買い得！",/watch?v=M7S3aG_8Mh4,94892,Nami Channel,30600,6日前,141491,67
最近のスキンケア✨【使い切りコスメ#16】20個紹介！,/watch?v=Ou7KwPWC13Y,56670,Nami Channel,30600,1週間前,141491,40
一緒に飲もう🍻【ASMR#13】エノキタケ咀嚼音❗️韓国の辛そうなえのきを作って食べる❗️ビール解禁❗️,/watch?v=MfYKLZilsDs,58830,Nami Channel,30600,1週間前,141491,42
【朝ごはん】夫に撮影してもらった、ゆるーい休日の朝🌞【モーニング】,/watch?v=wTm-AKtR9i4,118647,Nami Channel,30600,2週間前,141491,84
【Vlog#49】植物、100均の物でテラス遊び、掃除、模様替え【生後７ヶ月】腰座り、離乳食,/watch?v=i4gAD9rZOFk,114470,Nami Channel,30600,2週間前,141491,81
【バッグの中身】二児の母マザーズバッグの中身紹介！,/watch?v=AuiL7CN5h30,83108,Nami Channel,30600,3週間前,141491,59
【とある１日の食事#10】アサイーボール、親子丼、夏野菜を美味しく頂く！【WHAT I EAT IN A DAY】,/watch?v=QldMeAs307s,130584,Nami Channel,30600,3週間前,141491,92
【ドラッグストア購入品#9】欲しかったコスメ ！日用品！久しぶりでいっぱい買ってしまった〜(6月),/watch?v=cHb_V7B1obY,118367,Nami Channel,30600,4週間前,141491,84
【週末のお掃除ルーティン】家中拭き掃除！〈Clean with me〉〜経産省が発表した新型コロナウイルス対策〜,/watch?v=_MT4XvZO9ac,75388,Nami Channel,30600,1か月前,141491,53
アラサー最後の健康診断の結果が…。乳房検査、婦人科検査について。,/watch?v=2Po9e0bXbf4,65681,Nami Channel,30600,1か月前,141491,46
【母初登場】大阪の実家のお好み焼き【料理Vlog風】ゆるめw,/watch?v=U3Mtd3qAObQ,60107,Nami Channel,30600,1か月前,141491,42
インテリア雑貨購入品【H&Mホーム】SALE❗️安くておしゃれ🎵子供服も！,/watch?v=JSsyF8KylN0,74259,Nami Channel,30600,1か月前,141491,52
コストコ冷凍保存【帰宅後ルーティン#4】おすすめ購入品を下処理していく！,/watch?v=wEfhLOS5o3I,175868,Nami Channel,30600,1か月前,141491,124
