title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【咀嚼音】チーズハットグとシーフードピザを食べる音【音フェチ】声なしモッパン Eating Sounds｜Onitsuka ASMR,/watch?v=sL9W5umTWTY,1795,Onitsuka ASMR,1290,作成者:8か月前,3660,49
【咀嚼音】マヘソのチュロスを食べる音【音フェチ】モッパン Eating Sounds｜Onitsuka ASMR,/watch?v=vx8n9hNULfE,1394,Onitsuka ASMR,1290,作成者:8か月前,3660,38
蜂の巣・巣蜜を切って食べる【咀嚼音＆切る音】音フェチ モッパン Eating Sounds｜Onitsuka ASMR,/watch?v=BI-jmw_lc0w,8277,Onitsuka ASMR,1290,作成者:8か月前,3660,226
【咀嚼音】シュリンプカクテルを食べる音【音フェチ】Eating Sounds｜Onitsuka ASMR,/watch?v=7aH-2L7DHGk,2531,Onitsuka ASMR,1290,作成者:8か月前,3660,69
【咀嚼音】ピクルスを食べる音【音フェチ】Eating Sounds｜Onitsuka ASMR,/watch?v=0r5zyOzIgKo,1527,Onitsuka ASMR,1290,作成者:8か月前,3660,42
【咀嚼音】ビッグとんかつ & スパイシーフライドチキンテンダーを食べる音【音フェチ】Eating Sounds｜Onitsuka ASMR,/watch?v=HwuFQ2gH-tE,1366,Onitsuka ASMR,1290,作成者:9か月前,3660,37
【字幕あり】チャンネル登録者様1000人記念動画,/watch?v=7sjwHKh4dtw,359,Onitsuka ASMR,1290,9か月前,3660,10
【咀嚼音】クリスピー・クリーム・ドーナツを食べる音【音フェチ】Eating Sounds｜Onitsuka ASMR,/watch?v=ZHwMKiiFJMY,1485,Onitsuka ASMR,1290,作成者:9か月前,3660,41
【咀嚼音】天馬のモッツァレラカレーパンを食べる音【音フェチ】Eating Sounds｜Onitsuka ASMR,/watch?v=YfOEuKp2eg0,1417,Onitsuka ASMR,1290,作成者:9か月前,3660,39
【咀嚼音】ケンタッキーのフライドチキンを食べる音【音フェチ】Eating Sounds｜Onitsuka ASMR,/watch?v=D_LxTnDE25U,2305,Onitsuka ASMR,1290,作成者:9か月前,3660,63
【咀嚼音】琥珀糖を食べる音【音フェチ】Eating Sounds｜Onitsuka ASMR,/watch?v=DvQyfnjL-K8,2297,Onitsuka ASMR,1290,作成者:9か月前,3660,63
