title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
37歳プロ独身孤独デゲス赤裸々トーク【一蘭】,/watch?v=f0AcbFXi-TY,11074,Yumaゆま,65200,2日前,70535,16
コンビニスイーツ　ミルクチョコケーキなど【MUKBANG  eating sounds 咀嚼音 】,/watch?v=9RAYGsdps_E,36805,Yumaゆま,65200,5日前,70535,52
唐揚げと明太子カルボナーラパスタ【MUKBANG  eating sounds 咀嚼音 】,/watch?v=0gWXgzo2Nkc,24585,Yumaゆま,65200,5日前,70535,35
ロッテリア　4dan【MUKBANG  eating sounds 咀嚼音 】,/watch?v=n5OIs48s_eo,21537,Yumaゆま,65200,1週間前,70535,31
パブロ×ブラックサンダー＆ビアードパパのシュークリームなど【MUKBANG  eating sounds 咀嚼音 】,/watch?v=yu_Q4f0OHA8,48069,Yumaゆま,65200,1週間前,70535,68
マクドナルド　どこでもハワイ【MUKBANG  eating sounds 咀嚼音 】,/watch?v=KLbLzcU_x50,18283,Yumaゆま,65200,1週間前,70535,26
コンビニスイーツ　過去いちたくさん【MUKBANG  eating sounds 咀嚼音 】,/watch?v=KBcckP8ihK0,48319,Yumaゆま,65200,1週間前,70535,69
37歳プロ独身孤独デゲス焼肉【七輪焼肉安安】,/watch?v=rZNq-I4Dnls,20308,Yumaゆま,65200,2週間前,70535,29
37歳プロ独身のたしなみ【天下一品】,/watch?v=IELTfBJFA5A,22741,Yumaゆま,65200,2週間前,70535,32
ジョンソンヴィルを揚げて食べてみた【MUKBANG  eating sounds 咀嚼音 】,/watch?v=kGFGiNQi67U,29077,Yumaゆま,65200,2週間前,70535,41
マクドナルド　ベーコンラバーズなど【MUKBANG  eating sounds 咀嚼音 】,/watch?v=xQ4PJPy7Bmg,27972,Yumaゆま,65200,3週間前,70535,40
久々のゆま食い！板チョコアイス【MUKBANG  eating sounds 咀嚼音 】,/watch?v=Agq_rJX7HGw,55205,Yumaゆま,65200,3週間前,70535,78
大阪の天神橋筋商店街で好きなだけ食べる,/watch?v=nG4fGz0DtBs,34598,Yumaゆま,65200,3週間前,70535,49
コメダ珈琲で好きなだけ食べる,/watch?v=kqEqYrOhun0,42518,Yumaゆま,65200,4週間前,70535,60
甘党が替え玉好きなだけ食べる【河童ラーメン】,/watch?v=DxEdbs1WaBM,25538,Yumaゆま,65200,1か月前,70535,36
