title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
第２話「佐野、大いに酔う」【katalilio 「27」制作会議】,/watch?v=EVGTfA4LaL0,88,katalil,220,,851,10
キャラクターを掘り下げる【katalilio 「27」制作会議】,/watch?v=lursDXbBTho,90,katalil,220,,851,11
第1話「なんとなく集まり、なんとなく飲んでいる」katalilio おかわり生配信・新作キャスト最終オーディション,/watch?v=Fh-A9gWczsM,173,katalil,220,,851,20
カタリリオ 緊急リモート生配信,/watch?v=qAAWSRG6lE0,269,katalil,220,,851,32
【試聴音声】「ハレー彗星はひとり」百合×三角関係ボイスドラマ【百合サークルkatalilio(カタリリオ)】,/watch?v=40VxsYaoVkI,943,katalil,220,,851,111
【百合】「ランドリー」恵恋にネイル【バイノーラル　ボイスドラマ】,/watch?v=p7z-D6JTB4c,533,katalil,220,,851,63
【ASMR 耳かき】「ランドリー」深夜の張り込み【バイノーラル ボイスドラマ】,/watch?v=2pd2qPVxlbw,999,katalil,220,,851,117
【百合　囁き】「ランドリー」眠れるランドリーの真紀菜【バイノーラル ボイスドラマ】,/watch?v=my5sMZB1CpE,1595,katalil,220,,851,187
【百合】「ランドリー」天才バイオリニスト恵恋の恋煩い【バイノーラル　ボイスドラマ】,/watch?v=9h9-mZP9pyQ,840,katalil,220,,851,99
【百合　サクッ　咀嚼音】「ランドリー」イチャイチャおやつタイム【バイノーラル ボイスドラマ】,/watch?v=3xOCza6xQDA,2211,katalil,220,,851,260
【視聴音声】「ランドリー」天才バイオリニスト恵恋とＯＬ真紀菜【百合サークル　katalilio(カタリリオ)】,/watch?v=et4No_JHD2Q,1618,katalil,220,,851,190
