title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
見ちゃった！　エミューの口の中,/watch?v=6xjRYFdkt0s,84,【公式】大牟田市動物園 Omuta City Z,,,520,16
リラちゃんととたい,/watch?v=CmGRM_DDUx0,189,【公式】大牟田市動物園 Omuta City Z,,,520,36
モルモットとラタンボール,/watch?v=EG6DM5kGT34,166,【公式】大牟田市動物園 Omuta City Z,,,520,32
ライオン舎のおそうじ【飼育員の仕事を見てみよう】,/watch?v=kjoPUGDwHC8,233,【公式】大牟田市動物園 Omuta City Z,,,520,45
エコバッグマン登場！,/watch?v=pUX3c4A2CDQ,303,【公式】大牟田市動物園 Omuta City Z,,,520,58
ポンちゃんとお肉入り氷【アムールヒョウ】,/watch?v=F0IQFr3D-tM,286,【公式】大牟田市動物園 Omuta City Z,,,520,55
ライオンとドンゴロス,/watch?v=ib1ncpcqZ00,755,【公式】大牟田市動物園 Omuta City Z,,,520,145
ナマケモノ、小松菜を食べる。葉っぱから？それとも茎から？　ASMR　咀嚼音【クリちゃんねる】,/watch?v=fL8w2pnw1Xo,211,【公式】大牟田市動物園 Omuta City Z,,,520,41
レッサーパンダの足跡とってみました,/watch?v=g3ZNE41VBzs,265,【公式】大牟田市動物園 Omuta City Z,,,520,51
フサオマキザルの新しい環境エンリッチメント始めました,/watch?v=ZxIC5eRABO0,206,【公式】大牟田市動物園 Omuta City Z,,,520,40
キリンの寝室の床をふかふかにできました！,/watch?v=PsFSz7ygaAo,266,【公式】大牟田市動物園 Omuta City Z,,,520,51
モルモットになった気持ちでモルモットを眺める動画,/watch?v=aCx-aji3W40,397,【公式】大牟田市動物園 Omuta City Z,,,520,76
募金でサーモグラフィーカメラを購入しました,/watch?v=zO2hS4snD-k,276,【公式】大牟田市動物園 Omuta City Z,,,520,53
土日祝日にナマケモノのイベントが始まります！【クリちゃんねる】,/watch?v=3Se02pNKoT8,211,【公式】大牟田市動物園 Omuta City Z,,,520,41
カンガルーを暑さから守る！,/watch?v=acvV1wisw48,236,【公式】大牟田市動物園 Omuta City Z,,,520,45
クリちゃんの体重測定,/watch?v=5gRSRqGoM8Y,262,【公式】大牟田市動物園 Omuta City Z,,,520,50
なんでめしでてこんと？フサオマキザルの暑さ対策,/watch?v=u736ng1Kgw8,362,【公式】大牟田市動物園 Omuta City Z,,,520,70
「どうぶつえん ひとりじめ」をぎゅぎゅっと短くご紹介！,/watch?v=1H_kbK4-KGY,545,【公式】大牟田市動物園 Omuta City Z,,,520,105
モルモットの体重測定,/watch?v=r3fJafkRVjI,681,【公式】大牟田市動物園 Omuta City Z,,,520,131
レジ袋からエコバッグに持ち替えよう！,/watch?v=UpHAipvvJkY,273,【公式】大牟田市動物園 Omuta City Z,,,520,52
"It's Kudzu Time, Guinea Pigs! ASMR 咀嚼音",/watch?v=aiv-aqRWbE4,301,【公式】大牟田市動物園 Omuta City Z,,,520,58
アムールヒョウとポリタンク,/watch?v=Rb5_4bgL0Ro,309,【公式】大牟田市動物園 Omuta City Z,,,520,59
70頭のモルモットのあさごはん,/watch?v=UpnQ1guAG4k,1188,【公式】大牟田市動物園 Omuta City Z,,,520,228
ヤマアラシのレントゲン,/watch?v=Ji2a5W7YNXI,282,【公式】大牟田市動物園 Omuta City Z,,,520,54
