title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【私の青春はスクイーズ】って人集合！！,/watch?v=6dy0Uqch7oM,30526,あんチャンネル,58700,3か月前,106836,29
【みんな気をつけて】3倍の値段で買ってしまいました。　　　　　　　【ちょいゆる動画】,/watch?v=vaJTrV_CjJE,86218,あんチャンネル,58700,4か月前,106836,81
【中学生】左右非対称目による👁CAMMAKE縛り春メイク🌸【超絶肌荒れ中】,/watch?v=-1mCCUqbYMQ,43326,あんチャンネル,58700,4か月前,106836,41
【１時間耐久】一緒に休校中の課題終わらせよ！,/watch?v=uXgj7XU4dIo,37593,あんチャンネル,58700,4か月前,106836,35
【毎日メイク】すっぴんが酷すぎるJCの毎日メイク,/watch?v=d6KcmxhiyKU,97581,あんチャンネル,58700,5か月前,106836,91
【学生必見】簡単垢抜け透明感❄️超細かく説明した初心者向けナチュラルメイク🌸全部プチプラ！,/watch?v=CNar1LLGgns,113861,あんチャンネル,58700,7か月前,106836,107
誕生日ライブ！！,/watch?v=CF6e237dnyc,25125,あんチャンネル,58700,7か月前,106836,24
【作業用】中学生YouTuberの編集中に密着！　【無言・途中無音】,/watch?v=Stfr34xajPE,27060,あんチャンネル,58700,7か月前,106836,25
【筆箱紹介】これさえあればノート評価最高,/watch?v=wZzVHiTLhtU,99561,あんチャンネル,58700,7か月前,106836,93
【１時間耐久】一緒に勉強しよ！！,/watch?v=rdJdR3j1W4Y,35971,あんチャンネル,58700,7か月前,106836,34
クリスマスプレゼント紹介LIVE！！！,/watch?v=vGMm0oVR6yg,20525,あんチャンネル,58700,7か月前,106836,19
久しぶりのライブ配信！！,/watch?v=O8wXIRlmk5E,26029,あんチャンネル,58700,7か月前,106836,24
【中学生】ももかちゃん・のえのんちゃん・ほのぼのちゃんとのコラボ&宣材写真の撮影に1日密着！　【ベイビーあんチャンネル】【ゆる動画】,/watch?v=m1XsicZE9cI,26152,あんチャンネル,58700,7か月前,106836,24
【大量】あんのこだわりが詰まったケアグッズの収納紹介！,/watch?v=cXpWudgGoZo,77633,あんチャンネル,58700,7か月前,106836,73
【無印良品】安くてオシャレな便利雑貨大量！！　　購入品紹介,/watch?v=nc9Re51xeJk,94507,あんチャンネル,58700,7か月前,106836,88
【超大量】お年玉での購入品紹介！！学生さんにオススメなプチプラコスメやヘアケアグッズ！　ベイビーあんチャンネル,/watch?v=IY1P4HHR1zQ,79173,あんチャンネル,58700,作成者:7か月前,106836,74
【タピオカ 】御黒堂徹底レポート！　タピオカ の硬さ・大きさは？場所は？ドリンクはどんな味？　ベイビーあんチャンネル,/watch?v=F1gsaO6LgeA,42160,あんチャンネル,58700,作成者:10か月前,106836,39
【じゃがりこタッカルビ】電子レンジで簡単！じゃがりこチーズフォンデュ⭐️ ベイビーあんチャンネル,/watch?v=nCpuZE1_bFU,23470,あんチャンネル,58700,作成者:11か月前,106836,22
