title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
大食い 海老天丼 シーザーサラダ 咀嚼音 音フェチ ASMR ささやき 囁き,/watch?v=NgIvX416XTk,53,いちごちゃんねる,573,11時間前,372,14
音フェチ　宅飲み　囁き　雑談　チキン　咀嚼音,/watch?v=p-fwwYJVqp8,89,いちごちゃんねる,573,3日前,372,24
音フェチ ピザ ASMR 雑談 囁き,/watch?v=Tn8QnnUji3k,114,いちごちゃんねる,573,2週間前,372,31
大食い 音フェチ ASMR ネギトロ巻き 咀嚼音 eatingSounds 囁き,/watch?v=M8wWbhvjm2g,209,いちごちゃんねる,573,3週間前,372,56
大食い ガストの商品 気になるもの全部頼んだ ねぎトロ丼 照りマヨチキンピザ ASMR 咀嚼音 囁き eatingSounds,/watch?v=6G_bbVWVi8E,177,いちごちゃんねる,573,4週間前,372,48
音フェチ ASMR チキン南蛮 咀嚼音 囁き eatingSounds,/watch?v=6gEJItG13pg,117,いちごちゃんねる,573,4週間前,372,31
音フェチ ASMR チーズロコモコ丼咀嚼音 囁き Whisper,/watch?v=Rjm0YAG2Ms8,205,いちごちゃんねる,573,1か月前,372,55
ASMR 大食い？！ピザ 咀嚼音 照りマヨチキンピザ 囁き Whisper eatingSounds,/watch?v=zF2FuAPH3DU,196,いちごちゃんねる,573,1か月前,372,53
音フェチ スパゲッティ咀嚼音 パスタ ミートソース ボロネーゼ 囁き ASMR,/watch?v=rHrh07LsSpM,264,いちごちゃんねる,573,1か月前,372,71
ASMR 音フェチ お酒飲みながら囁き雑談 囁き おつまみ 咀嚼音,/watch?v=8CD82MD3uYA,159,いちごちゃんねる,573,1か月前,372,43
大食い ASMR たらこスパゲティパスタ２人前大盛り食べる 咀嚼音 囁き eatingSounds,/watch?v=XbW9K5LF4w4,503,いちごちゃんねる,573,1か月前,372,135
音フェチ ミルクレープ 食べてみた 咀嚼音 ASMR eatingSounds 囁き,/watch?v=M8w8lCEVOkM,234,いちごちゃんねる,573,1か月前,372,63
音フェチ 冷やし中華 咀嚼音 食べる ASMR eatingSounds whisper,/watch?v=shbbG2RdWJY,128,いちごちゃんねる,573,1か月前,372,34
音フェチ ラーメン咀嚼音 ASMR 囁き 長めの雑談 eatingSounds whisper,/watch?v=8M1yd_1xFVE,176,いちごちゃんねる,573,1か月前,372,47
音フェチ 激辛 プルダックぽっくんみょん カルボナーラ　eatingSounds 咀嚼音 ASMR 囁き,/watch?v=9lg3lKCRpFk,186,いちごちゃんねる,573,1か月前,372,50
音フェチ コロコロステーキ ASMR 咀嚼音 eatingSounds,/watch?v=Fn0d1oAvQRo,147,いちごちゃんねる,573,1か月前,372,40
音フェチ ねぎトロ丼 食べる まぐろたたき丼 ASMR eatingSounds 咀嚼音 囁き,/watch?v=RLdS7-iNFgk,266,いちごちゃんねる,573,1か月前,372,72
音フェチ 長めの雑談 リクエスト メロン 咀嚼音 囁き ASMR,/watch?v=hq78ixOwnVs,224,いちごちゃんねる,573,1か月前,372,60
音フェチ ステーキ 咀嚼音 囁き ASMR eatingSounds,/watch?v=cdNfXs2pRZ4,338,いちごちゃんねる,573,1か月前,372,91
音フェチ アメリカンドッグ 咀嚼音 ASMR 揚げ物 eatingSounds,/watch?v=-un3t_f0uaE,174,いちごちゃんねる,573,2か月前,372,47
音フェチ オムライス 咀嚼音 ASMR 囁き eatingSounds,/watch?v=-gB5BaNgloI,186,いちごちゃんねる,573,2か月前,372,50
音フェチ 朝ごはん 咀嚼音 ソーセージ トースト  eatingSounds ASMR 囁き,/watch?v=fUnLpbxEKnk,179,いちごちゃんねる,573,2か月前,372,48
音フェチ ねぎとろ巻咀嚼音 ASMR 囁き,/watch?v=6japozjySms,169,いちごちゃんねる,573,2か月前,372,45
音フェチ ピザ 咀嚼音 ピザーラ pizza 囁き eatingSounds ASMR,/watch?v=g_xbOpZTDSU,154,いちごちゃんねる,573,2か月前,372,41
音フェチ ＵＦＯ咀嚼音 焼きそば 食べる eatingSounds ASMR 囁き,/watch?v=sjMiDB4tZhk,160,いちごちゃんねる,573,2か月前,372,43
音フェチ たらこスパゲティ 咀嚼音 食べてみた eatingSounds 囁き ASMR,/watch?v=3X7R2019bN8,261,いちごちゃんねる,573,2か月前,372,70
音フェチ すき家のまぐろたたき丼 食べる 咀嚼音 eatingSounds ねぎとろ ASMR 囁き声,/watch?v=8vJBOzZl9KY,280,いちごちゃんねる,573,2か月前,372,75
音フェチ　カルボナーラ咀嚼音　ASMR  囁き eatingSounds,/watch?v=ZH6ieE3joq0,242,いちごちゃんねる,573,2か月前,372,65
音フェチ じゃがりこ 咀嚼音 囁き ASMR ポリポリ音 whisper eatingsounds,/watch?v=3Et6vZC8ZSI,755,いちごちゃんねる,573,2年前,372,203
音フェチ ASMR eatingsounds ソーセージ 咀嚼音 囁き,/watch?v=YbVgv3OkoMQ,957,いちごちゃんねる,573,2年前,372,257
音フェチ キス音 リップ音 咀嚼音 ASMR lipsounds mouthsounds 閲覧注意！,/watch?v=NNYT2gwEhuE,4225,いちごちゃんねる,573,2年前,372,1136
