title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【OLルーティン】スタバでホワイトチョコに目覚めて食欲爆発する平日夜【日常】,/watch?v=YjinQs29obo,60,さときぬ,22,6か月前,126,48
【挫折】オシャレなブイログが撮りたかったOLの夏【OLの休日】【GRWM】,/watch?v=OZZBQ_NgAVo,58,さときぬ,22,6か月前,126,46
【食べて食べる】肉食OLの休日,/watch?v=WxYLacQSE08,30,さときぬ,22,7か月前,126,24
【ASMR】もつ鍋食べる動画【咀嚼音】【eating sounds】,/watch?v=cRV7E1YdArQ,109,さときぬ,22,7か月前,126,87
【OL】しごおわで乳首ドリル【日常】,/watch?v=49rMbLGc_NM,38,さときぬ,22,7か月前,126,30
【OLの日常】社会復帰つらすぎ丸【vlog】,/watch?v=IE-MyGxERRw,22,さときぬ,22,7か月前,126,17
【ASMR】アップルパイとポテト食べる動画【咀嚼音】【eating sounds】,/watch?v=C7-A81jINuw,138,さときぬ,22,7か月前,126,110
やる気のない日はとことんやらない。それがいい。kinuvlog#4,/watch?v=AOOD0A5ipnE,21,さときぬ,22,1年前,126,17
安定の焼肉とリベンジの串カツ〜猛暑ツライよ〜kinuvlog＃３,/watch?v=OZlysMCIhew,46,さときぬ,22,1年前,126,37
IKEAのち焼肉 kinuvlog,/watch?v=gFUjNlcRe0U,32,さときぬ,22,1年前,126,25
vlog#1 カフェでフルーツ食べた日,/watch?v=7hYdc29Rr_Y,23,さときぬ,22,1年前,126,18
【ASMR】マクド食べるよ。【咀嚼音】【eatingsounds】,/watch?v=CYj1thcwKII,324,さときぬ,22,1年前,126,257
【ASMR】ポンデケージョ食べるよ【咀嚼音】【eating sounds】,/watch?v=zbbJMvk2EfA,335,さときぬ,22,1年前,126,266
【ASMR】【食事】きゅうりを食べる音。【eating sounds】【咀嚼音】,/watch?v=7IauOvx3pu4,526,さときぬ,22,1年前,126,417
