title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
"【ASMR】m&msを食べる🏳️‍🌈💙 / 【Eating Sounds】m&ms sweets / 초코 / MUKBANG, 먹방",/watch?v=8VAzce4y_jc,70245,しなこ Shinako / ASMR,23200,1日前,236516,30
"【ASMR】宇宙を食べる👽🌏🚀/ 【Eating Sounds】Galaxy Food / 우주 / MUKBANG, 먹방",/watch?v=V8JxRYlzVTA,239702,しなこ Shinako / ASMR,23200,1週間前,236516,101
"【ASMR】駄菓子を食べる💕🍪/【Eating Sounds】Japanese cheep snack ,MUKBANG,먹방",/watch?v=DtXATAEqrTU,222389,しなこ Shinako / ASMR,23200,2週間前,236516,94
"【ASMR】原宿スイーツを食べる🍼🍓/ 【Eating Sounds】Harajuku Sweets/ MUKBANG, 먹방",/watch?v=NdZUuCqTWBY,136536,しなこ Shinako / ASMR,23200,2週間前,236516,58
"【ASMR】板チョコアイスを食べる🍫😍 / 【Eating Sounds】Chocolate, 초코 , MUKBANG, 먹방",/watch?v=yDqf5NZFupY,190588,しなこ Shinako / ASMR,23200,3週間前,236516,81
"【ASMR】🌼重大発表🌼 バルーンを食べる🎈/ 【Eating Sounds】Baloon dog, 풍선, MUKBANG, 먹방",/watch?v=73tLULGZAPA,265378,しなこ Shinako / ASMR,23200,3週間前,236516,112
"【ASMR】レインボー寿司を食べる🍣🌈/ 【Eating Sounds】Rainbow sushi, MUKBANG,먹방",/watch?v=EpufirqMsHg,174426,しなこ Shinako / ASMR,23200,4週間前,236516,74
"【ASMR】お祭りを食べる👘🏮/ 【Eating Sounds】Japanese fair foods , 일본의 축제, MUKBANG, 먹방",/watch?v=RbemvP_G0LE,460552,しなこ Shinako / ASMR,23200,1か月前,236516,195
"【ASMR】パイナップル＆フラミンゴを食べる🍍🦩💕/【Eating Sounds】pineapple & flamingo ,MUKBANG,먹방",/watch?v=bLqCDblk9UM,262700,しなこ Shinako / ASMR,23200,1か月前,236516,111
"【ASMR】どうぶつの森を食べる💰🌳/【Eating Sounds】Animal Crossing sweets TikTok jelly Fruits ,MUKBANG,먹방",/watch?v=TBoXfVlIXsA,345699,しなこ Shinako / ASMR,23200,1か月前,236516,146
"【ASMR】サーモン麺と海ぶどうを食べる音🍣💕/ 【Eating Sounds】 Salmon Noodle Sea grapes MUKBANG,먹방",/watch?v=QfFutGkuXp8,308017,しなこ Shinako / ASMR,23200,1か月前,236516,130
"【ASMR】韓国マカロントゥンカロンを食べる💗☁️/【Eating Sounds】Korean macaron 뚱카롱,MUKBANG,먹방",/watch?v=zQnbNhQyrfk,334275,しなこ Shinako / ASMR,23200,2か月前,236516,141
"【ASMR】マクドナルドスイーツを食べる🍔🍟/【Eating Sounds】McDonald's Sweets ,MUKBANG,먹방",/watch?v=17B8tpMO5YI,254165,しなこ Shinako / ASMR,23200,2か月前,236516,107
"【ASMR】スポンジと洗剤を食べる🧼/【Eating Sounds】Edible sponge and detergent ,MUKBANG,먹방",/watch?v=Oo0UZXjkqXs,2257683,しなこ Shinako / ASMR,23200,2か月前,236516,955
"【ASMR】カラフルな氷を食べる🧊🍧🥺/【Eating Sounds】 COLORFUL CRUNCHY ICE ,MUKBANG,먹방",/watch?v=sO3mLIBpv34,443463,しなこ Shinako / ASMR,23200,2か月前,236516,187
【ASMR】サーティワンアイスクリームを食べる🌈🍨🥺/【Eating Sounds】Baskin-Robbins ICE CREAM 아이스크림,/watch?v=II581QFNgvQ,327609,しなこ Shinako / ASMR,23200,2か月前,236516,139
"【ASMR】フルーツのグミ飴を食べる🍓🍋/【Eating Sounds】 COLORFUL GUMMY CANDY ,MUKBANG,먹방",/watch?v=0-AAN_cG76k,383195,しなこ Shinako / ASMR,23200,3か月前,236516,162
"【ASMR】紙風船を大量に食べる🍡🌸/【Eating Sounds】Paper balloons ,MUKBANG,먹방",/watch?v=9SlXcHSCELQ,338805,しなこ Shinako / ASMR,23200,3か月前,236516,143
"【ASMR】絵文字スイーツを食べる💛🥺/【Eating Sounds】YELLOW EMOJI FOOD ,MUKBANG,먹방",/watch?v=Wu_0m5ERPn8,278008,しなこ Shinako / ASMR,23200,3か月前,236516,118
