title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【激うま】黄身のトロみが凄い揚げ出し半熟卵作ってみた【だーしのcooking】,/watch?v=1HKJ_S8b3iE,17739,だーしのch,80300,4日前,124301,14
超簡単 美肌ヨガ！腸をキレイにして便秘解消効果も！/Easy Yoga For Glowing Skin【だーしのFitness】,/watch?v=UPwvbRX8gD8,38955,だーしのch,80300,1週間前,124301,31
【お腹引き締め】毎日3分でぽっこりお腹解消できる筋トレ！/Abs workout(Underbelly)【だーしのfitness】,/watch?v=Q3AFTZyYHzM,42144,だーしのch,80300,1週間前,124301,34
ちくわに大葉とポテトサラダ詰めるだけで超美味しい料理になるらしい【創作料理】,/watch?v=nt8TWE0Qsf4,33631,だーしのch,80300,2週間前,124301,27
【無限に食べれる】超美味しいもやしおつまみ作ってみた【だーしのcooking】,/watch?v=vIoSqgy5wRc,19310,だーしのch,80300,3週間前,124301,16
超簡単なキュウリの一本漬け作ってみました！,/watch?v=LGXAUci4j_w,26009,だーしのch,80300,3週間前,124301,21
やみつききゅうり　作ってみたよ【料理レシピ】,/watch?v=LexfF-tjc48,17605,だーしのch,80300,4週間前,124301,14
【6分】誰でもできるお尻筋トレ/BOOTY WORKOUT【美尻/BUTT,/watch?v=3Dc1nIz2Ww8,185177,だーしのch,80300,1か月前,124301,149
【5分】丸まった背中をまっすぐに！簡単な猫背改善エクササイズ【だーしのfitness】,/watch?v=dQyhEo8K8_o,29515,だーしのch,80300,1か月前,124301,24
じゃがりこの咀嚼音🥖【だーしのASMR】,/watch?v=WjPugsL5iTQ,14789,だーしのch,80300,1か月前,124301,12
【ASMR】お蕎麦食べました。【だーしの】,/watch?v=-YSCegyHRUg,17450,だーしのch,80300,1か月前,124301,14
【美尻】音楽に合わせてお尻鍛えます/BUT WORKOUT【だーしのFITNESS】,/watch?v=3iqDW08d1o0,103264,だーしのch,80300,2か月前,124301,83
絶対180度開脚できるようになる簡単ヨガストレッチをご紹介！【練習法】,/watch?v=1V8xpOpUMdc,150683,だーしのch,80300,2か月前,124301,121
【ASMR】アツアツ豚汁を食べます【だーしの】,/watch?v=vj7ndqBBUEo,18534,だーしのch,80300,2か月前,124301,15
【5分】スクワットで美尻、美脚トレーニング！/Squat  But Workout 【だーしのfitness】,/watch?v=tnetqz4P1k4,204554,だーしのch,80300,2か月前,124301,165
足パカダイエットで太もも痩せ目指します/Thigh workout【だーしのfitness】,/watch?v=jV1ZHMlHsiQ,73635,だーしのch,80300,2か月前,124301,59
【かわいい】わたしの愛犬紹介します  【ペット】,/watch?v=vhkTd7sacfM,24944,だーしのch,80300,2か月前,124301,20
自粛でずっと家にいたので足の筋肉鍛えなおします！【3分で出来る足筋トレ&脚痩せ】,/watch?v=iTCZRYosoVc,26443,だーしのch,80300,3か月前,124301,21
足のむくみをとる簡単ヨガ！自粛中で運動不足の人は絶対やろう！😳【エコノミー症候群/血栓予防対策】,/watch?v=SqA3rVC2spw,21295,だーしのch,80300,3か月前,124301,17
お尻と腹筋鍛えてS字ボディ目指すよ～/abs & booty workout,/watch?v=rwbjdQqBGuU,19449,だーしのch,80300,3か月前,124301,16
3分でできる二の腕エクササイズ/3minutes Upper arm workout　【だーしのFITNESS】,/watch?v=KrvNhe1K78I,75311,だーしのch,80300,3か月前,124301,61
ファンに言われた辛辣な一言...【だーしの話】,/watch?v=KCM2FsJMX-0,82825,だーしのch,80300,3か月前,124301,67
鬼エクササイズで美尻極めます。/Hips workout【だーしのfitness】,/watch?v=6OiqGyATxW4,1381898,だーしのch,80300,3か月前,124301,1112
【食べ物ASMR】だーしのがポッキーをたべます/POCKY CHOCOLATE【咀嚼音】,/watch?v=Inhvm8f6dBE,37415,だーしのch,80300,4か月前,124301,30
バストアップエクササイズ/bast up work out【だーしのfitness】,/watch?v=59v_x1RAsx8,297306,だーしのch,80300,4か月前,124301,239
【ダイエット】痩せやすい体を作る8つのストレッチを実践！【だーしのFITNESS】,/watch?v=6R7wv3dMA0c,112901,だーしのch,80300,4か月前,124301,91
【だーしの話】男友達との色恋論外です。【私がいろんな質問に答えます】,/watch?v=zNzQWbCNSrw,137508,だーしのch,80300,4か月前,124301,111
【初投稿】だーしのってどんな人？３０の質問に答えます。,/watch?v=vwV0Cgz1arE,270137,だーしのch,80300,4か月前,124301,217
