title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ASMR】耳かき屋、開店です。膝枕で耳かき👂【囁き、音フェチ】,/watch?v=lAAzjWTBvS4,14460,となりのこいけ,9200,2日前,53324,27
【ASMR】大人の絵本朗読🧸📖ピノキオを読み聞かせ🤥-　眠くなる 睡眠用　囁き,/watch?v=dZuiAEmrR1Y,9594,となりのこいけ,9200,6日前,53324,18
"【ASMR】ボールペンや鉛筆で文字を書く音 Writing Sounds✏️【筆記音,音フェチ】",/watch?v=cIU8PuDsetQ,19059,となりのこいけ,9200,1週間前,53324,36
【ASMR】有名人たちの✨名言✨を英語でヒソヒソ囁く📖🗽whisper 睡眠用 ささやき声,/watch?v=QGS6dMY4thA,21643,となりのこいけ,9200,1週間前,53324,41
【ASMR】 本物みたいな巨峰ゼリーの咀嚼音🍇💜💚Eating Sounds 囁き 音フェチ,/watch?v=Z7VGlRRLVaE,26811,となりのこいけ,9200,2週間前,53324,50
【ASMR】漬物の咀嚼音🥒🍆🥕ぬか漬け・たくあん・きゅうりの浅漬け Eating Sounds【音フェチ】,/watch?v=qOjsSkTqUyE,18227,となりのこいけ,9200,2週間前,53324,34
【ASMR】フルーツサンドの咀嚼音🍓🍇🍊 - Eating Sounds 音フェチ 囁き　ささやき声,/watch?v=O9sjKM4BWOw,32987,となりのこいけ,9200,2週間前,53324,62
【ASMR】シャカシャカ🍵抹茶をたてる音🧹Matcha 音フェチ 囁き,/watch?v=WnQ0w1vLsuU,18098,となりのこいけ,9200,2週間前,53324,34
【ASMR】ブロックを食べる音⭐️ 🤖咀嚼音 Eating Sounds 囁き ささやき声,/watch?v=Dbf3SC5hXmg,25280,となりのこいけ,9200,3週間前,53324,47
【ASMR】海ぶどうの咀嚼音が超きもちいい🍇🌿바다포도 SEA GRAPES 音フェチ,/watch?v=OU631cARQAE,64877,となりのこいけ,9200,3週間前,53324,122
【ASMR】ぽりぽり⭐️金平糖🌟の咀嚼音 -音フェチ、囁き、ささやき声,/watch?v=Qm4bHBrLw8o,19382,となりのこいけ,9200,3週間前,53324,36
【ASMR】シャリッと気持ちいいスイカの咀嚼音🍉Watermelon Eating Sounds🍉【囁き、音フェチ】,/watch?v=cDck_Yqd-pU,28060,となりのこいけ,9200,4週間前,53324,53
【ASMR】大人に絵本を読み聞かせ🐱📖長靴を履いた猫【睡眠用、囁き】,/watch?v=Q8FFmc91voM,12168,となりのこいけ,9200,1か月前,53324,23
【ASMR】眠れない夜に…心地いい色んな風鈴の音色 - 音フェチ、囁き、睡眠用,/watch?v=-Taq9h0Xwp4,13070,となりのこいけ,9200,1か月前,53324,25
【ASMR】パリッジュワ〜な韓国トゥンカロンの咀嚼音🍰🍭Eating Sounds、囁き、音フェチ,/watch?v=cDUwNSUrCwU,21764,となりのこいけ,9200,1か月前,53324,41
小池里奈がただただお尻を鍛えるだけの動画【めざせ美尻】,/watch?v=qO9jdiDAH7U,14576,となりのこいけ,9200,1か月前,53324,27
【ASMR】アメリカのカラフルなつぶつぶお菓子の咀嚼音🌈🍬Rainbow NeRds Candy Eating Sounds,/watch?v=RTqknk3nrkU,40350,となりのこいけ,9200,1か月前,53324,76
【ASMR】パチパチ気持ちいい🍭ポッピングシャワーの咀嚼音🍦Eating Sounds、囁き、サーティワン,/watch?v=nzqpsZd5r7Q,24136,となりのこいけ,9200,1か月前,53324,45
【ASMR】サクッぷちっ快感💖ビーズスライムで気持ちよく遊ぶ音【音フェチ】,/watch?v=rvtvVmu0DL4,31172,となりのこいけ,9200,1か月前,53324,58
【100の質問】今まで会った中で1番感動した芸能人は？,/watch?v=uCF2IGDBLOA,31685,となりのこいけ,9200,1か月前,53324,59
"【ASMR】チョコミントのお菓子の咀嚼音 - MINT CHOCOLATE,민트초코",/watch?v=hfbNn2NRL4k,38435,となりのこいけ,9200,1か月前,53324,72
【ASMR】衝撃の展開…！童話『人魚姫』を囁き声で読み聞かせ【睡眠用、絵本】,/watch?v=5co52DKGooQ,16642,となりのこいけ,9200,2か月前,53324,31
【ASMR】パリッパリの板チョコアイスの咀嚼音 - 音フェチ、ささやき声,/watch?v=Y4XL73P8Jeo,37632,となりのこいけ,9200,2か月前,53324,71
【ASMR】ぞくぞくっとしちゃう…いろんな耳かきであなたを癒します【睡眠用】,/watch?v=z5Fc1cWaOS4,173023,となりのこいけ,9200,2か月前,53324,324
