title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【GRL(グレイル)】激安だけど可愛い洋風通販で買ってみた！ただし当たりハズレがあるって本当？,/watch?v=x6tdrXxpRQk,46111,ひまひまチャンネル,32400,20時間前,232541,20
【ASMR】パリッパリのグミ「グミッツェル」食べるめっちゃいい音【咀嚼音】,/watch?v=2e0rhCAuG3U,51435,ひまひまチャンネル,32400,1日前,232541,22
ひまーるのエモい夏の夜。これはエモーーーーい！,/watch?v=5-Gh9eg3w_4,99817,ひまひまチャンネル,32400,2日前,232541,43
【そっくりさん20人以上！？】ひまひまなりきり&そっくり選手権結果発表！,/watch?v=dZ_3XZtWbyw,92222,ひまひまチャンネル,32400,3日前,232541,40
【全室ルームツアー】懐かしのひまひま家に禁断の部屋が！開けてみたら...【部屋紹介】,/watch?v=BY7cMerrhp8,202396,ひまひまチャンネル,32400,4日前,232541,87
中1だって体のケア♪初の顔に鍼と歯医者で虫歯治療💦,/watch?v=K_RJMsZjFTc,172229,ひまひまチャンネル,32400,5日前,232541,74
【勉強】ひまーると一緒に50分間集中☆夏休みの宿題追い込み！【作業用動画タイマーあり】,/watch?v=luF2oj6A7HA,55249,ひまひまチャンネル,32400,6日前,232541,24
【ドッキリ】家に帰っていきなりひまひまがいたら！？同級生YouTuberアオリちゃん,/watch?v=gFBqMgVXGXc,160434,ひまひまチャンネル,32400,1週間前,232541,69
【1日ルーティン】夏休みの1日の過ごし方♪ピカいち撮影現場も！,/watch?v=tMMSmfGt1-E,172556,ひまひまチャンネル,32400,1週間前,232541,74
ももかちゃんの部屋を突撃紹介！ベッドやタンス全部開けて見せてもらった♪【ルームツアー】,/watch?v=TxEDPrcuW-I,197508,ひまひまチャンネル,32400,1週間前,232541,85
【ももかちゃん初コラボ】チワワ丸麦ちゃんVSトイプーアロマとピノ！？夏のワンコ祭り♪,/watch?v=FqAym25svtM,182965,ひまひまチャンネル,32400,1週間前,232541,79
友人Mちゃんがライブ中に乱入して突然1000ポイントあげた→突撃コラボ依頼w,/watch?v=JZOsnlV2WJc,173981,ひまひまチャンネル,32400,1週間前,232541,75
【部屋紹介】Rちゃんの部屋がグレードアップしてさらに可愛くなった♪【ルームツアー】,/watch?v=gOPJPnpaGN0,200373,ひまひまチャンネル,32400,1週間前,232541,86
今度はひまひまがガチ泣き！？その時Rちゃんは！【早泣き対決】,/watch?v=eVX9kfsSNCM,143711,ひまひまチャンネル,32400,1週間前,232541,62
【全バッグ紹介】最近のお気に入りバッグやRちゃんとおそろな等全16個！【女子中学生】,/watch?v=-F88QCy4W1I,64568,ひまひまチャンネル,32400,2週間前,232541,28
【初カラコン】ひまーる2人でカラコン入れてみた結果...,/watch?v=G0fXL6uNVeU,225342,ひまひまチャンネル,32400,2週間前,232541,97
え？500円の激安セール品も!かわいい夏服3ブランドお得に買えた♪,/watch?v=59LlBVMr5g8,70065,ひまひまチャンネル,32400,2週間前,232541,30
【受付終了しました】ひまひまなりきり&そっくりさん大募集！,/watch?v=1SMMEcdfCxg,75451,ひまひまチャンネル,32400,2週間前,232541,32
【放課後の過ごし方】久しぶりにママとショッピングモール♪,/watch?v=bMEZOlAv2xk,95620,ひまひまチャンネル,32400,2週間前,232541,41
【平日放課後】テストの結果を聞いたらイライラ...言い訳いろいろ...な過ごし方,/watch?v=hQ9_DUrLbtc,210177,ひまひまチャンネル,32400,2週間前,232541,90
【前髪の作り方】女子中学生ひまーる2人は前髪がいのち♪【マイナスイオンのヘアアイロン】,/watch?v=SsUoNom22EM,127726,ひまひまチャンネル,32400,2週間前,232541,55
ひまーるの2人って実際どっちが絵うまいの？【絵心対決！】,/watch?v=Fmkp65zufos,80132,ひまひまチャンネル,32400,3週間前,232541,34
【部屋のクローゼット整理】着なくなった1年前の服を最後に着てみた結果。。。【断捨離】,/watch?v=XvKo71j8rck,78271,ひまひまチャンネル,32400,3週間前,232541,34
【スクバの中身紹介】心配性な女子中学生が学校に持って行ってるモノ。,/watch?v=iSWP0HIpL0Y,122143,ひまひまチャンネル,32400,3週間前,232541,53
香水/瑛人 (Covered by ひまひまチャンネル)【歌詞付き】※ほぼ練習なし,/watch?v=QNr8bPOELUo,203783,ひまひまチャンネル,32400,3週間前,232541,88
【100の質問に回答】ひまーるが皆さんからの質問とリクエストに答えてみた！【質問コーナー】,/watch?v=F_q1lUp9WHk,134537,ひまひまチャンネル,32400,3週間前,232541,58
5個買って1個交換こ！めちゃ渋なプレゼント渡すドッキリをした結果【ミカヅキモモコ購入品】,/watch?v=bJxsBAMPkE8,153493,ひまひまチャンネル,32400,3週間前,232541,66
【えっちゃん×ひまーる】演技力対決！本当に〇〇しているのは！？,/watch?v=_RYE8Dm1IQ4,166044,ひまひまチャンネル,32400,3週間前,232541,71
テスト当日の朝、5時に早起きして...【平日のモーニングルーティン】,/watch?v=QKRgtE_B4V8,263732,ひまひまチャンネル,32400,4週間前,232541,113
【ひまの部屋】お気に入りドレッサーテーブルの収納の中身を詳しく紹介♪,/watch?v=v3tjvd-aip8,115653,ひまひまチャンネル,32400,4週間前,232541,50
【ひまーるからお願い】質問＆リクエスト大募集！【質問コーナーやります】,/watch?v=KzZnW6upt1g,58000,ひまひまチャンネル,32400,4週間前,232541,25
【ひまーるの恋バナ】Rちゃんとお寿司食べながら恋愛話♪,/watch?v=4yDZsXpHLno,102511,ひまひまチャンネル,32400,1か月前,232541,44
中学生YouTuberのテスト前の休日の過ごし方。(計画表作ってみたけど・・・),/watch?v=IVDZXQcIPZw,130080,ひまひまチャンネル,32400,1か月前,232541,56
物忘れが超ひどすぎたらママは怒る！？【ドッキリでモニタリング】,/watch?v=W7MJOTLwRro,220792,ひまひまチャンネル,32400,1か月前,232541,95
もう！？新筆箱買って入れ替えてしまいました。。【シモジマ文房具購入品】,/watch?v=L5f1nVzK6Qs,163127,ひまひまチャンネル,32400,1か月前,232541,70
【ちゃあちゃん家】お泊まりルーティン♪衝撃！マッチョすぎるママの弟登場！夜から朝の過ごし方♪,/watch?v=JptzLBD-Rw0,146076,ひまひまチャンネル,32400,1か月前,232541,63
初アベイル買い物でやばい発見💦これ動画で言っていいの？【夏服購入品紹介】,/watch?v=yMFCWH_UV4o,133949,ひまひまチャンネル,32400,1か月前,232541,58
【テスト勉強】ひまーると一緒に50分間勉強しよう！【作業用だけどしゃべります】,/watch?v=sQPC3AxhyN4,75013,ひまひまチャンネル,32400,1か月前,232541,32
【中学校で使う文房具】品揃えがすごい！初シモジマでいろいろ買い物♪,/watch?v=3ebzibThvQ4,120896,ひまひまチャンネル,32400,1か月前,232541,52
【平日放課後】ラインライブ初配信の準備！ドタバタで間に合う！？,/watch?v=RIRxsZL2aKM,77149,ひまひまチャンネル,32400,1か月前,232541,33
【ルーティン】忙しい土曜日は夜更かし！この時間からそれ作る！？【お泊まり】,/watch?v=b95E6R9pdto,253401,ひまひまチャンネル,32400,1か月前,232541,109
【ボツ寸前】ゆるくメイクしてみたらRちゃんが。。。【地雷メイク】,/watch?v=xnH2tl77O_g,105036,ひまひまチャンネル,32400,1か月前,232541,45
【ダイソー】中学生のひまーる2人が1000円分買った物を紹介！1つはプレゼント交換♪【DAISO】,/watch?v=CpKew3qdyXM,183951,ひまひまチャンネル,32400,1か月前,232541,79
【リアルなルーティン】平日の放課後、今日は撮影もないしまったり過ごす♪【密着】,/watch?v=abZ-_Lsmw5s,237798,ひまひまチャンネル,32400,1か月前,232541,102
【セリア/Seria】中学生ひまーる2人が1000円分の購入品紹介！1つはプレゼント交換♪,/watch?v=s477TDnUtXQ,178974,ひまひまチャンネル,32400,1か月前,232541,77
中学1年になって垢抜けたと言われる理由をお話しします。,/watch?v=C0TbFU-BXsE,282758,ひまひまチャンネル,32400,1か月前,232541,122
卒業アルバムもらってRちゃんと一緒にMちゃん家へ！3人で女子会♪【土曜日の過ごし方】,/watch?v=oS2v7xZcEKQ,282706,ひまひまチャンネル,32400,1か月前,232541,122
【部屋紹介】模様替えしたのでルームツアー♪【中学生のお部屋】,/watch?v=OdTcCL_xDUc,310250,ひまひまチャンネル,32400,1か月前,232541,133
ひまーるが大ゲンカでまさかのRちゃん号泣！その時2人のママは！？【ドッキリ】,/watch?v=GmJTCrGtwh0,1490510,ひまひまチャンネル,32400,1か月前,232541,641
【部屋の模様替え】新しいテーブルが届いたのでIKEAで買った家具で模様替え作業♪,/watch?v=0A0Mh2WODVU,249303,ひまひまチャンネル,32400,1か月前,232541,107
【ひまーる】中1女子の2人の夏服おそろコーデ5連発♪【双子コーデ】,/watch?v=NGDiM6p6Vgg,107124,ひまひまチャンネル,32400,1か月前,232541,46
【閉店セールの福袋】日本撤退のクレアーズで超お得という福袋買ってRちゃんと開封して中身検証！,/watch?v=-h5cw0QSJ5g,129682,ひまひまチャンネル,32400,1か月前,232541,56
【部屋の模様替え準備】IKEAでの大量購入品紹介♪全29点27000円分！,/watch?v=dU7FTF5t5jE,121879,ひまひまチャンネル,32400,1か月前,232541,52
【録音音声のフリ】リア友Mちゃんとちゃあちゃんに録音音声みたいに電話してダマせる？,/watch?v=kq4RYw90rww,49571,ひまひまチャンネル,32400,1か月前,232541,21
【ショッピングモールのルーティン】久々にぶらぶら買い物♪セール品ゲットやゲーセン＆タピオカ♪,/watch?v=RqiJtLK7YDM,140643,ひまひまチャンネル,32400,1か月前,232541,60
【部屋の模様替え準備】IKEAで爆買い？いろいろ買ってきたよ♪,/watch?v=p6eLeq3UnYY,166539,ひまひまチャンネル,32400,1か月前,232541,72
【ひまとママ】絵文字だけでおつかい頼んだら、何品一致するのか？【買い物検証】,/watch?v=5wX_5VUFqug,86794,ひまひまチャンネル,32400,1か月前,232541,37
皆さんへ重大発表があります。【ご報告】,/watch?v=N7yiCJ1qMFA,211391,ひまひまチャンネル,32400,1か月前,232541,91
【中学1年生】夏服の1週間コーデ♪中学生になってめっちゃ趣味変わった！【韓国通販】,/watch?v=jqBypM43YQQ,86914,ひまひまチャンネル,32400,1か月前,232541,37
久しぶりの美容院で髪を20cmバッサリ切った♪,/watch?v=Of5Mjk8QTDk,164522,ひまひまチャンネル,32400,1か月前,232541,71
【父の日】サプライズプレゼントを渡したらパパがひどすぎた、、、,/watch?v=a0YWbhdH_TA,94649,ひまひまチャンネル,32400,1か月前,232541,41
【財布の中身】ひまーる2人は財布にいくら入ってる！？免許証の写真大公開！,/watch?v=TSNU-li0CGc,171475,ひまひまチャンネル,32400,2か月前,232541,74
お小遣い奮発して買ったモノ紹介♪洋服やアクセサリー他購入品紹介【WEGO・INGNI・しまむら・ダイソー】,/watch?v=e4BUThXnSuo,128870,ひまひまチャンネル,32400,2か月前,232541,55
身長差7cmのRちゃんの服を着てみたら、、、【洋服交換】,/watch?v=OC8Q_8cC4fU,167603,ひまひまチャンネル,32400,2か月前,232541,72
