title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ASMR/咀嚼音】激辛きのこを食べる,/watch?v=6wemJ4QjKcQ,474,まいまろチャンネル,3120,1日前,2515,19
【ASMR/咀嚼音】セブンイレブンで買えるおつまみ,/watch?v=kSq-3m9Wshc,1090,まいまろチャンネル,3120,1週間前,2515,43
【ASMR/咀嚼音】ポテトチップスを食べる,/watch?v=VdeuCTTDjuM,1734,まいまろチャンネル,3120,2週間前,2515,69
【ASMR/咀嚼音】ケンタッキーを食べる,/watch?v=RnsePtfyNr4,2261,まいまろチャンネル,3120,3週間前,2515,90
【ASMR/咀嚼音】マンゴーを食べる,/watch?v=LgWH4d-czRo,1487,まいまろチャンネル,3120,3週間前,2515,59
【ASMR/咀嚼音】桃をお腹いっぱい食べる,/watch?v=eWa8ZiI6mqU,4935,まいまろチャンネル,3120,1か月前,2515,196
【宅飲み】夜中にパリパリ餃子を食す,/watch?v=x4LA0Wr8INA,5326,まいまろチャンネル,3120,3か月前,2515,212
【宅飲み】コストコで買ったチーズを食す,/watch?v=r2JggK25jDo,2915,まいまろチャンネル,3120,3か月前,2515,116
【宅飲み】コストコで買ったソーセージを食す,/watch?v=KUkN_cpIr5s,3637,まいまろチャンネル,3120,3か月前,2515,145
【宅飲み】コストコで買ったジャーキーを食す,/watch?v=z_MqL1lKwHA,1937,まいまろチャンネル,3120,4か月前,2515,77
【宅飲み】冷やして食べる唐揚げを食す,/watch?v=iaivdDXAxAY,1515,まいまろチャンネル,3120,5か月前,2515,60
【宅飲み】昔懐かしいおばあちゃんの味の漬け物を食す,/watch?v=VRJla4DshVQ,1742,まいまろチャンネル,3120,5か月前,2515,69
【宅飲み】夜中に1人で銀色のやつと天ぷらを食す,/watch?v=_9XTOsu8t08,3637,まいまろチャンネル,3120,5か月前,2515,145
