title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
🔴【シチュLIVE】いじわる好きお姉さんと添い寝 (耳かき/耳ふー/呼吸音/心音),/watch?v=vUtTYhtfJiY,45161,みやぢASMR,21100,6日前,262458,17
癒しの耳かきASMR(極近囁き声あり)　綿棒/梵天/耳ふー/囁き/心音も…？,/watch?v=KfeASxd2-3M,58072,みやぢASMR,21100,1週間前,262458,22
【試聴】僕は彼女の耳奴隷。~いじめっ子JKが僕に夢中になるまで。~』【KU100】,/watch?v=NMyAX0joqJU,176578,みやぢASMR,21100,2週間前,262458,67
【男性向け】実はあなた色に染まりたい彼女【イヤホン推奨】,/watch?v=heb-ePtsAGE,109773,みやぢASMR,21100,4週間前,262458,42
🔴【リアルすぎる耳かき】寝落ちに最適。耳奥ごりごり耳かき【ASMR】,/watch?v=4RaoNtQIjxo,246150,みやぢASMR,21100,1か月前,262458,94
【毒舌幼馴染】背中に嫉妬のオーラをひしひしと感じます。【イヤホン推奨】,/watch?v=9qHNS8BZiKA,175733,みやぢASMR,21100,1か月前,262458,67
🔴【ASMR】夏音・涼音あつめました♡(🍉、🥒の咀嚼音、夏虫の環境音、炭酸水の音、水音　etc....),/watch?v=6Av9rTWwqc0,108099,みやぢASMR,21100,1か月前,262458,41
"🔴【ASMR】""低音ボイスお姉さん×耳マッサージ""　は疲れた心身によく効く。(ear massage/ oil massage/ headspa　with whisper voice)",/watch?v=E2Ztb9XH0IU,301999,みやぢASMR,21100,1か月前,262458,115
🔴【ASMR】添い寝彼女　おやすみ前のあまあまtime♡ 【彼女シチュLIVE】,/watch?v=KWNew7S44Mg,160318,みやぢASMR,21100,2か月前,262458,61
【男性向け】上司彼女とのオフィスラブが楽しすぎる件【イヤホン推奨】,/watch?v=IygJ3LUV9Qk,130977,みやぢASMR,21100,2か月前,262458,50
【男性向け】二次元に勝ちたいギャル彼女ちゃん【イヤホン推奨】,/watch?v=4i_yoo7anhA,266430,みやぢASMR,21100,2か月前,262458,102
【男性向け】無防備彼女とだらだらいちゃいちゃできる音声【イヤホン推奨】,/watch?v=9FK14_M58Vg,454646,みやぢASMR,21100,2か月前,262458,173
【男性向け】それでも先輩…男なんですかぁ…？【バイノーラル】,/watch?v=0LxWs7xvSDI,229875,みやぢASMR,21100,2か月前,262458,88
【男性向け】ツンツン幼馴染があなたにベタ惚れだった件【バイノーラル】,/watch?v=td8nlHQxRQ8,347371,みやぢASMR,21100,2か月前,262458,132
🔴【ASMR】癒しのお耳まっさぁじ(oil massage/ear tapping/bubble head spa etc...),/watch?v=P0Cyacso5Lo,238375,みやぢASMR,21100,2か月前,262458,91
【男性向け】いじわるな年上女医カノジョ【バイノーラル】,/watch?v=i1RxXBH0jsA,175891,みやぢASMR,21100,2か月前,262458,67
🔴【２時間耐久】癒しの耳かきライブ。~接近したがり囁き声も添えて~【イヤホン推奨】,/watch?v=i02LazKMBq8,307641,みやぢASMR,21100,2か月前,262458,117
【キスの日】ギャル彼女流オタク彼氏の起こし方【男性向け】,/watch?v=lmhjm1bC6rQ,255775,みやぢASMR,21100,2か月前,262458,97
【安眠誘導】寝ながらできる 筋肉ほぐし～耳マッサージ【バイノーラル】,/watch?v=A-SGC9aPyrc,102973,みやぢASMR,21100,3か月前,262458,39
【男性向け】あなたを溺愛しているケモ耳彼女と寝起きいちゃいちゃ。【バイノーラル】,/watch?v=3pEelK9hqcI,190384,みやぢASMR,21100,3か月前,262458,73
【バイノーラル】年上彼女の小さな嫉妬心,/watch?v=fu0sqgUsb6A,224718,みやぢASMR,21100,3か月前,262458,86
🔴「だぁりんっ♡」ダーリン呼びする新妻ちゃんとあまあま添い寝らいぶ,/watch?v=w-RFK8qS2Zo,122439,みやぢASMR,21100,4か月前,262458,47
おはようを言いたかった,/watch?v=ndDc87tSaaQ,99484,みやぢASMR,21100,4か月前,262458,38
