title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【盛れる】意外と良くない？ギャルの地雷メイク😈,/watch?v=jgK58x6B1pM,5920,ゆうちゃみチャンネル,97600,2日前,90909,7
【いきなり電話】大好きなお友達たちにいきなり電話してみた🤤💓,/watch?v=aM-AzVIjvAY,8723,ゆうちゃみチャンネル,97600,6日前,90909,10
【コラボ】まなまなちゃんに清楚メイクしてもらいました〜！,/watch?v=hPWrIWN3Cq0,30254,ゆうちゃみチャンネル,97600,1週間前,90909,33
【密着】YouTube撮影がある日のとある1日,/watch?v=uZr-UCoU2S4,15480,ゆうちゃみチャンネル,97600,2週間前,90909,17
【ドッキリ】もしゆうちゃみがモデルを辞めたいと相談したら...【モニタリング】,/watch?v=NF9AwSZTMqw,13885,ゆうちゃみチャンネル,97600,3週間前,90909,15
【ダイエット】私が-10kg落とした方法を教えます！,/watch?v=FPAb-MJTVvI,126114,ゆうちゃみチャンネル,97600,3週間前,90909,139
【最新】ゆうちゃみの毎日メイク -2020年 夏-,/watch?v=ohVynMkM_KQ,19064,ゆうちゃみチャンネル,97600,4週間前,90909,21
【恋愛相談室】ギャルは一途？みんなの恋愛お悩みを3人で解決します！,/watch?v=o0JHJvvrRzQ,10919,ゆうちゃみチャンネル,97600,1か月前,90909,12
【雑談メイク】ゆずちゃみでダイエットや恋愛について話しながらメイクするで〜,/watch?v=RqQWVZeRUQE,16676,ゆうちゃみチャンネル,97600,1か月前,90909,18
【整形級】SNSで話題のTWICEがやってるぷっくり涙袋の作り方,/watch?v=FTDwv7_5VNs,8751,ゆうちゃみチャンネル,97600,1か月前,90909,10
【垢抜け】私が垢抜けるためにやった5つのことを紹介します！,/watch?v=fjRyapt_0XA,32801,ゆうちゃみチャンネル,97600,1か月前,90909,36
簡単なのに超美味しいマフィンの作り方✌︎,/watch?v=A7tVZDD5WE4,31045,ゆうちゃみチャンネル,97600,2か月前,90909,34
【重大発表】皆様へ大切なお知らせがあります。,/watch?v=8IRGybpWwB0,49956,ゆうちゃみチャンネル,97600,2か月前,90909,55
【ダイエット】1番効果あったダイエットは？中高生でもできるダイエットは？質問に答えます！,/watch?v=JJDtsOz6-_Q,22057,ゆうちゃみチャンネル,97600,2か月前,90909,24
【共感？】姉妹あるある〜電話越しの声が激似？〜,/watch?v=sJojggmjdgc,34058,ゆうちゃみチャンネル,97600,2か月前,90909,37
【料理対決】まぁみちゃんとオムライス対決！！,/watch?v=9euAGBcm2x4,30835,ゆうちゃみチャンネル,97600,3か月前,90909,34
【質問コーナー】歴代の彼氏が多いのは？ダイエット方法は？沢山答えます！,/watch?v=Y-9OEDHeOi0,70759,ゆうちゃみチャンネル,97600,3か月前,90909,78
【EGOIST】コーデのポイント盛り沢山！春のおすすめ4コーデをご紹介します！,/watch?v=LhZ9-5eg10o,20564,ゆうちゃみチャンネル,97600,3か月前,90909,23
【モーニングルーティン】大阪での朝の過ごし方はこんな感じ,/watch?v=aNG63iS05MQ,76390,ゆうちゃみチャンネル,97600,3か月前,90909,84
【Vlog】姉妹でいちご狩りに行ったとある1日,/watch?v=-2VV58W3jOo,27774,ゆうちゃみチャンネル,97600,3か月前,90909,31
【TikTok】姉妹でTikTok対決しつつ、撮り方やコツも教えちゃいます！！,/watch?v=MjtjaaJ0M_U,30511,ゆうちゃみチャンネル,97600,3か月前,90909,34
【初公開】姉妹でお気に入りのドレッサーを紹介するで〜！【コスメ収納】,/watch?v=l5XlUxqZC3I,143918,ゆうちゃみチャンネル,97600,4か月前,90909,158
