title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【メイキング】チューリングラブ - はなお x ゆきりぬver【踊ってみた & 歌ってみた】,/watch?v=gxxecVeoE58,205917,ゆきりぬ,1250000,9時間前,501492,41
はなおくんの誕生日をふたりきりで祝ってみた。,/watch?v=zIUCyT4Cloc,713583,ゆきりぬ,1250000,5日前,501492,142
買い物中に店員に一切声をかけられずに10万円分買い物できるのか？！？？,/watch?v=92x71gxrhLA,123916,ゆきりぬ,1250000,6日前,501492,25
UUUMに入社してマネージャーになります。,/watch?v=wvOew1zL54c,342286,ゆきりぬ,1250000,1週間前,501492,68
【ドッキリ】遊園地デートに相方がこっそり付いてきてたら気づくの？？？,/watch?v=nNgSBh7m4No,545868,ゆきりぬ,1250000,1週間前,501492,109
ひとりでプールに行く女。,/watch?v=N3lFkIKYZ9I,586594,ゆきりぬ,1250000,2週間前,501492,117
ストーカーされ続けているので、復讐します。,/watch?v=X0mccRssBlE,732143,ゆきりぬ,1250000,2週間前,501492,146
【下着の話】男性は見ないでください。,/watch?v=2JyVUD_OEBQ,613257,ゆきりぬ,1250000,3週間前,501492,122
アポなしでいきなりはなおくんの新居に突撃してみたら変人すぎた・・・,/watch?v=qoMn_EJ2cMY,697166,ゆきりぬ,1250000,3週間前,501492,139
【泥酔】どんなにお酒弱くても１分１滴ずつ飲んだら永遠に飲めるんじゃない？？？？？？,/watch?v=gyEcDu7-1bE,358996,ゆきりぬ,1250000,3週間前,501492,72
【ドッキリ】ゆきりぬがタバコを吸ってたらてんちむはなんて言うの？？？,/watch?v=s01jgx4joLU,504276,ゆきりぬ,1250000,4週間前,501492,101
立派なお嫁さんになりたい,/watch?v=mfOFoZHL52A,308889,ゆきりぬ,1250000,4週間前,501492,62
今まで、ありがとう。,/watch?v=wxgVr1Ax_K0,135748,ゆきりぬ,1250000,1か月前,501492,27
【爆買】IKEAで５分間だけ値段見ずに買い放題したら無理すぎたｗｗｗ,/watch?v=dQ-h3nCwhjg,155772,ゆきりぬ,1250000,1か月前,501492,31
みんなでキャンプに行ったら大変なことになりました。。,/watch?v=Su8AbTMOGqs,721274,ゆきりぬ,1250000,1か月前,501492,144
一週間Amazonのランキング1位だけ買い続けて生活してみた！！,/watch?v=2icRc6_F9SM,223145,ゆきりぬ,1250000,1か月前,501492,44
身長200cmになりました。,/watch?v=8rxs7doLm4c,346010,ゆきりぬ,1250000,1か月前,501492,69
【ドッキリ】もしもスマブラ初心者の女が日本一レベルの猛者だったらどうする？ww,/watch?v=sr0lZ56f-lM,1090780,ゆきりぬ,1250000,1か月前,501492,218
温泉旅行にいってきました,/watch?v=NmRrvLVylYk,434280,ゆきりぬ,1250000,1か月前,501492,87
ひとりでガストにいく女。,/watch?v=hR0CG5H5Qv0,171595,ゆきりぬ,1250000,1か月前,501492,34
彼氏を紹介します。,/watch?v=2jBPctOgF_Q,521556,ゆきりぬ,1250000,1か月前,501492,104
センター試験、０点取るの逆に難しい説。,/watch?v=pE2WlNj69Bc,170687,ゆきりぬ,1250000,1か月前,501492,34
はなおくんがりょうくんに何か言いたいことがあるそうです。,/watch?v=UXOyzo42STk,756108,ゆきりぬ,1250000,1か月前,501492,151
一瞬でつくれる最強ズボラ飯を作って食べる。,/watch?v=eZJMqeYPCu8,271406,ゆきりぬ,1250000,1か月前,501492,54
妹の成長を見てください。,/watch?v=-lPpEoOrBPg,391647,ゆきりぬ,1250000,1か月前,501492,78
