title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【児嶋】惑星ループ 踊ってみた【児嶋】,/watch?v=lHHOJJXgDp4,275159,児嶋だよ!,48300,1日前,785203,35
児嶋さん、約束の1時間前に来ないでください！,/watch?v=QF1L4foCW5w,304850,児嶋だよ!,48300,5日前,785203,39
【HANDCLAP】いつまでも終わらない2週間で10kg痩せる地獄のコジダンス【踊ってみた】,/watch?v=OUgtgSlF0GY,263154,児嶋だよ!,48300,1週間前,785203,34
1日10分で身体が変わる！コジヨガでほぐして自律神経を整えよう【ダイエット】,/watch?v=KFG0-778raY,103287,児嶋だよ!,48300,1週間前,785203,13
#3児嶋&狩野の楽しいデッドバイデイライト生配信♪【DbD】,/watch?v=VFmMHc_xYqA,77512,児嶋だよ!,48300,1週間前,785203,10
#2児嶋&狩野の楽しいデッドバイデイライト生配信♪【DbD】,/watch?v=QPIQkUQ0e7A,68876,児嶋だよ!,48300,1週間前,785203,9
#1児嶋&狩野の楽しいデッドバイデイライト生配信♪【DbD】,/watch?v=tlbiwALZ5qY,129541,児嶋だよ!,48300,1週間前,785203,16
英孝ちゃんが復帰の仕方について語ってくれたぞ。,/watch?v=Y7HiWCFEMf8,599838,児嶋だよ!,48300,1週間前,785203,76
アンジャッシュ児嶋のモーニングルーティン 【Morning Routine】,/watch?v=fedXs4rGAFc,373305,児嶋だよ!,48300,2週間前,785203,48
有吉を騙せなかったあの児嶋マジックをやるよ！,/watch?v=FFrMpGnW6iA,117383,児嶋だよ!,48300,2週間前,785203,15
ポンコツ芸人2人による、笑いしか生まないデッドバイデイライト実況！！【狩野英孝&児嶋】,/watch?v=lOAFGaOhANE,423242,児嶋だよ!,48300,2週間前,785203,54
おぎやはぎ小木さんだと思ったら亀だった,/watch?v=yUuorFLpWJQ,391943,児嶋だよ!,48300,2週間前,785203,50
【ASMR】サクサク児嶋のフライドチキン咀嚼音【囁き】,/watch?v=4cMbv_MdkAA,648956,児嶋だよ!,48300,3週間前,785203,83
ある夏の日のコジとその愛犬ネネのありふれた日常,/watch?v=1zW3cC2Mdg4,334453,児嶋だよ!,48300,3週間前,785203,43
【謝罪】また嘘が発覚しました。本当に申し訳ございません。。,/watch?v=EUP8P3OJHJE,503383,児嶋だよ!,48300,3週間前,785203,64
最強デカ目になれる地雷系メイクしたらガチ盛れたんだけど…🥺♡,/watch?v=WwzKHjFbawk,2330732,児嶋だよ!,48300,4週間前,785203,297
【謝罪】皆さん、すみませんでした。。。,/watch?v=M1GNjUanHyU,802469,児嶋だよ!,48300,4週間前,785203,102
プロ雀士児嶋が今まで経験したヤバイ麻雀の話5選,/watch?v=0mmLuDwvKvM,544557,児嶋だよ!,48300,1か月前,785203,69
児嶋が48歳の誕生日ごはんを食べるただただ平和な動画,/watch?v=GVAosVoe8OA,1792047,児嶋だよ!,48300,1か月前,785203,228
ちょっと自信ないけど香水 / 瑛人 (Covered by 児嶋一哉 弾き語りver.),/watch?v=ZMSEXviduck,2648715,児嶋だよ!,48300,1か月前,785203,337
児嶋のWikipediaにある噂について真実を話すから聞いてね,/watch?v=ydfc1KJodO0,827352,児嶋だよ!,48300,1か月前,785203,105
児嶋、カジサックにあの件について謝罪してきた。。,/watch?v=utpcv3qMxkY,872357,児嶋だよ!,48300,1か月前,785203,111
【100の質問】アンジャッシュのすれ違いコントは出会った頃から始まっていた,/watch?v=B5pM6aNkMdk,869885,児嶋だよ!,48300,1か月前,785203,111
児嶋、45秒で何もできない,/watch?v=txW6kKLxFsg,1244948,児嶋だよ!,48300,1か月前,785203,159
児嶋です、あの件について話します。。,/watch?v=xTgLKgGMVeA,3082126,児嶋だよ!,48300,1か月前,785203,393
