title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【待望の！】あんりゴンちゃんにメイクして貰ったら凄い顔に..【地雷メイク】【コラボ】,/watch?v=e9m7Ndi2IGs,198065,叶と姫乃,190000,1週間前,346019,57
【TikTok】絶対やらないと言っていたのに今更始めてしまった..,/watch?v=bxLCw8169-A,73077,叶と姫乃,190000,2週間前,346019,21
【GRWM】私と一緒にお出掛けしましょう❤︎,/watch?v=a0l7KGeiOJY,277500,叶と姫乃,190000,1か月前,346019,80
【激痛】首にヴァンパイアピアス開けてみた。【Vampire kiss】,/watch?v=y6OkVuwQ0Qg,280870,叶と姫乃,190000,1か月前,346019,81
【歌ってみた】ヒロイン育成計画／叶と姫乃【HoneyWorks】,/watch?v=IB7iZ6CDKC4,132754,叶と姫乃,190000,1か月前,346019,38
【ASMR】2人でマクドナルドを食べる！【咀嚼音/EATING SOUNDS/ささやき声/MCDONALDS 】,/watch?v=I4P8MrvEdJ0,103414,叶と姫乃,190000,2か月前,346019,30
地雷女子のメンヘラ病みメイク♡【毎日メイク】,/watch?v=6g4C6l3GaSY,165665,叶と姫乃,190000,2か月前,346019,48
盛れる！地雷系女子の量産型メイク♡,/watch?v=Cwod3_P7Unc,234296,叶と姫乃,190000,2か月前,346019,68
夜に駆ける / YOASOBI (cover) by叶と姫乃 【歌ってみた】,/watch?v=wB-XILEq3Vs,258038,叶と姫乃,190000,【歌ってみた】作成者:2か月前,346019,75
【軟骨ピアス】アウターコンク開けてみた♡【激痛？簡単？】,/watch?v=cyS_UNweOHk,270976,叶と姫乃,190000,3か月前,346019,78
「毒林檎とシンデレラ」歌ってみた ver.叶と姫乃,/watch?v=sF5VPaZUlbU,135916,叶と姫乃,190000,作成者:3か月前,346019,39
韓国で人気のダルゴナコーヒーとココアを作ってみたよ♡【大流行】,/watch?v=umI0VH8bH1c,102324,叶と姫乃,190000,3か月前,346019,30
話題のディズニー公式レシピ！ミッキーチュロス作ったよ♡【おうち時間】,/watch?v=e2JNhL9xZxw,116781,叶と姫乃,190000,3か月前,346019,34
【今年も流行】ホワイトライナーの引き方11選♡,/watch?v=HwqYOtYVfW0,69587,叶と姫乃,190000,3か月前,346019,20
【白ライナー】今年も流行る!!簡単白ラインメイク方法11種類♡【UZU】,/watch?v=DsOp1kECXiE,96006,叶と姫乃,190000,4か月前,346019,28
【おすすめ】お気に入り香水を紹介するよ♡,/watch?v=CCgeni1NL-U,105862,叶と姫乃,190000,4か月前,346019,31
【質問コーナー】2人はもう友達じゃない？,/watch?v=32ZQy29jZzU,224634,叶と姫乃,190000,4か月前,346019,65
【2020】最近の毎日メイク叶ver.,/watch?v=ZaFZDwCOzNU,405947,叶と姫乃,190000,4か月前,346019,117
【お家デート】ラブラブカップル!?の日常♡【ゆるゆる雑談】,/watch?v=PcJmgvMjo1Y,220239,叶と姫乃,190000,5か月前,346019,64
