title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
木下はめっちゃおこている！！！！,/watch?v=0tOXZqBO2cg,10941,木下ゆうかのゆるちゃん!/YukaKinoshita 2,24800,,59945,18
【GRWM】朝のメイク雑談ライブ！髪の毛青くなったよ[ツイキャス]【木下ゆうか】,/watch?v=zOcmAE9_5rw,3127,木下ゆうかのゆるちゃん!/YukaKinoshita 2,24800,,59945,5
【雑談】ピスタチオオレが美味すぎる…！！みんな飲んで！！[ツイキャス]【木下ゆうか】,/watch?v=ABDBMIWBKR4,2339,木下ゆうかのゆるちゃん!/YukaKinoshita 2,24800,,59945,4
【変身】撮影前のメイクの様子をお見せしちゃうよ！ヘアメイクさんって天才…✨[ツイキャス]【木下ゆうか】,/watch?v=cWpjiIGzd3o,2826,木下ゆうかのゆるちゃん!/YukaKinoshita 2,24800,,59945,5
【雑談】朝からメルと一緒にライブ配信！猫ってなんでこんなに可愛いの…😻[ツイキャス]【木下ゆうか】,/watch?v=zPhDrresqi8,1622,木下ゆうかのゆるちゃん!/YukaKinoshita 2,24800,,59945,3
【雑談】めっちゃ眠いけど時間あったからとりあえず生配信。[ツイキャス]【木下ゆうか】,/watch?v=zYheIEleuQQ,2326,木下ゆうかのゆるちゃん!/YukaKinoshita 2,24800,,59945,4
【質問コーナー】この派手なTシャツは一体…？夏バテしないの？[ツイキャス]【木下ゆうか】,/watch?v=o-v02Y3sZQw,1850,木下ゆうかのゆるちゃん!/YukaKinoshita 2,24800,,59945,3
【雑談】ポテチつまみながらおしゃべり&質問に答えてくよ！[ツイキャス]【木下ゆうか】,/watch?v=1jJUEM2kQXM,3169,木下ゆうかのゆるちゃん!/YukaKinoshita 2,24800,,59945,5
【雑談】撮影前の朝ごはんライブ！りんごを食べながら[ツイキャス]【木下ゆうか】,/watch?v=mGOxbhMj0l0,2101,木下ゆうかのゆるちゃん!/YukaKinoshita 2,24800,,59945,4
【Mukbang】テレビ出演は？早食いしないの？ハイテンション超ロング質問コーナー[チーズお好み焼き]【木下ゆうか】,/watch?v=jwmbiqOWsQQ,3305,木下ゆうかのゆるちゃん!/YukaKinoshita 2,24800,,59945,6
【雑談】悲惨なキッチンをこっそりお見せします[YT LIVE]【木下ゆうか】,/watch?v=XQBBDXhu6zY,6106,木下ゆうかのゆるちゃん!/YukaKinoshita 2,24800,,59945,10
美味しいご飯、屋台飯食レポ、可愛い動物、ショッピング、お土産紹介…タイ最高!!![vlog][10kg][17000kcal]【木下ゆうか】,/watch?v=si_OcVtKhB0,4122,木下ゆうかのゆるちゃん!/YukaKinoshita 2,24800,,59945,7
【雑談】深夜の生配信質問コーナー [ツイキャス]【木下ゆうか】,/watch?v=-23eD5mFlBA,5179,木下ゆうかのゆるちゃん!/YukaKinoshita 2,24800,,59945,9
【Mukbang】チキンにキンパ！韓国料理最高！！[ツイキャス]【木下ゆうか】,/watch?v=ifzff97hkqI,4486,木下ゆうかのゆるちゃん!/YukaKinoshita 2,24800,,59945,7
【雑談】撮影終わり！眠いけどおしゃべりしよう！！[ツイキャス]【木下ゆうか】,/watch?v=yQxjCWszaRo,3930,木下ゆうかのゆるちゃん!/YukaKinoshita 2,24800,,59945,7
【生配信】メイク、雑談、メルにロン…盛りだくさんライブ！[YT LIVE]【木下ゆうか】,/watch?v=8aGprtUk7dE,4387,木下ゆうかのゆるちゃん!/YukaKinoshita 2,24800,,59945,7
