title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
山岡家[咀嚼音 飯テロ 外食 動画]プレミアム塩とんこつ中盛ラーメンを食べる食べるオヤジJapan,/watch?v=Zck5EljEDAQ,4183,満腹三太夫Sandayu ASMR E,11100,,5543,75
大衆食堂[咀嚼音 飯テロ 外食 動画]焼肉定食とカキフライを食べるオヤジJapan,/watch?v=eWhCa8q6LTk,3773,満腹三太夫Sandayu ASMR E,11100,,5543,68
コンビニ飯[ 咀嚼音 飯テロ 外食 動画]冷やしニンニク醤油ラーメンおにぎりを食べるオヤジ動画Japan,/watch?v=LCi3BSotsls,4514,満腹三太夫Sandayu ASMR E,11100,,5543,81
ラーメン屋[咀嚼音 飯テロ 外食 動画]冷やしワンタンとレバニラ炒め定食を食べるオヤジJapan裏メニュー,/watch?v=vVDfEWQiQaw,3767,満腹三太夫Sandayu ASMR E,11100,,5543,68
モスバーガー[咀嚼音 飯テロ 外食 動画]バーガー4種モスチキン唐揚げを食べるオヤジ動画Japan紙シャカ音注意,/watch?v=7htAdI6ViMg,5062,満腹三太夫Sandayu ASMR E,11100,,5543,91
[ASMR Eating Sounds 咀嚼音 飯テロ 外食 動画]Manpuku's Chronicle Vol.17満腹三太夫クロニクル過去動画のダイジェスト集,/watch?v=n1obT6Y6k-o,2964,満腹三太夫Sandayu ASMR E,11100,,5543,53
町中華食堂[咀嚼音 飯テロ 外食 動画]勝手にニラ丼と塩ワンタンを食べるオヤジJapan,/watch?v=OUrzJkP2h_4,4300,満腹三太夫Sandayu ASMR E,11100,,5543,78
山岡家 咀嚼音 飯テロ 外食 動画 醤油バターネギチャーシューラーメンを食べる食べるオヤジJapan,/watch?v=LEVESV15wg0,5787,満腹三太夫Sandayu ASMR E,11100,,5543,104
[ASMR Eating Sounds 咀嚼音 飯テロ 外食 動画]カツ丼とラーメンを大衆食堂で食べるオヤジJapan,/watch?v=8sxjzJ__UCs,5226,満腹三太夫Sandayu ASMR E,11100,,5543,94
丸亀製麺[咀嚼音 飯テロ 動画]持ち帰りうどんと牛丼、天ぷらを食べるオヤジ動画Japan,/watch?v=OsKc839bEEQ,6070,満腹三太夫Sandayu ASMR E,11100,,5543,110
[ASMR Eating Sounds 咀嚼音 飯テロ 動画]骨付き唐揚げチキンおにぎりサラダを食べるオヤジ動画Japan Fried Chicken,/watch?v=BbetI3KYoIg,7312,満腹三太夫Sandayu ASMR E,11100,,5543,132
[咀嚼音 飯テロ 動画]娘用の愛妻弁当Vol.15とエースコックわかめラーメンを食べるオヤジ飯動画Japan,/watch?v=HVJXxoUmuRk,5606,満腹三太夫Sandayu ASMR E,11100,,5543,101
[咀嚼音 飯テロ 外食 動画]冷やしワンタンと焼きそば定食をラーメン屋で食べるオヤジJapan裏メニュー,/watch?v=qRLeptu14M0,4686,満腹三太夫Sandayu ASMR E,11100,,5543,85
[咀嚼音 飯テロ 外食 動画]豚カツ屋で海老フライミックス定食を食べるオヤジJapan,/watch?v=gluQ6mcIUjY,5531,満腹三太夫Sandayu ASMR E,11100,,5543,100
[咀嚼音 飯テロ 動画]唐揚げと焼肉幕の内弁当日清カップヌードルを食べるオヤジ動画Japan,/watch?v=D2bbl6gW3VY,5583,満腹三太夫Sandayu ASMR E,11100,,5543,101
カマトロ中トロ[咀嚼音 飯テロ 動画]SUSHI握り寿司刺身日清どん兵衛鴨出汁蕎麦を食べるオヤジ動画Japan,/watch?v=oly0xqr9pdg,6608,満腹三太夫Sandayu ASMR E,11100,,5543,119
KFCケンタッキー[ASMR Eating Sounds 咀嚼音 飯テロ 動画]レッドホットチキンを食べるオヤジ動画Japan唐揚げ,/watch?v=laEn7dGCJDI,8119,満腹三太夫Sandayu ASMR E,11100,,5543,146
パンチョ[ASMR Eating Sounds 咀嚼音 飯テロ 動画]大盛りナポリタンと唐揚げを食べるオヤジ動画Japan,/watch?v=NS1NUhrbhTM,4537,満腹三太夫Sandayu ASMR E,11100,,5543,82
[咀嚼音 飯テロ 外食 動画]桜海老かきあげ天丼とおろし蕎麦大盛りを蕎麦屋で食べるオヤジJapan,/watch?v=gkbywCo320A,4913,満腹三太夫Sandayu ASMR E,11100,,5543,89
[ASMR Eating Sounds 咀嚼音 飯テロ 外食 動画]豚カツ定食カタ焼きそばを大衆食堂で食べるオヤジJapan,/watch?v=WekC5MWsIEw,5529,満腹三太夫Sandayu ASMR E,11100,,5543,100
[ASMR Eating Sounds 咀嚼音 飯テロ 動画]唐揚げのり弁野菜炒め日清カップヌードル欧風チーズカレーを食べるオヤジJapan,/watch?v=Xmj-hdMlRio,5898,満腹三太夫Sandayu ASMR E,11100,,5543,106
すき家[咀嚼音 飯テロ 外食 動画]うな牛ニンニクの芽牛丼を食べるオヤジ動画Japan土用の丑の日が来る前に・・・,/watch?v=AynRVmtNz3E,5336,満腹三太夫Sandayu ASMR E,11100,,5543,96
[咀嚼音 飯テロ 外食 動画]冷やしワンタンとカツ丼をラーメン屋で食べるオヤジJapan裏メニュー,/watch?v=vnO66EpKcBk,4613,満腹三太夫Sandayu ASMR E,11100,,5543,83
山岡家[咀嚼音 飯テロ 外食 動画]ネギ味噌叉焼ラーメンを食べる食べるオヤジJapan,/watch?v=OpjCrnUSQ3M,6355,満腹三太夫Sandayu ASMR E,11100,,5543,115
[ASMR Eating Sounds 咀嚼音 飯テロ 外食 動画]エビ天丼(上)大盛りを蕎麦屋で食べるオヤジJapan,/watch?v=bArxsgTmTTw,4643,満腹三太夫Sandayu ASMR E,11100,,5543,84
ゆで太郎[ASMR Eating Sounds 咀嚼音 飯テロ 外食 動画]一押し！マシマシ肉野菜そばを食べるオヤジ動画Japan,/watch?v=D3AUuwjDQGk,4955,満腹三太夫Sandayu ASMR E,11100,,5543,89
[ASMR Eating Sounds 咀嚼音 飯テロ 外食 動画]鶏唐揚げ定食レバニラを町中華食堂で食べるオヤジJapan,/watch?v=CeovzxEAgUk,6664,満腹三太夫Sandayu ASMR E,11100,,5543,120
[咀嚼音 飯テロ 外食 動画]メニューに無い冷やしワンタンと炒飯大盛りをラーメン屋で食べるオヤジJapan裏メニュー,/watch?v=dsZvhjVndtM,4889,満腹三太夫Sandayu ASMR E,11100,,5543,88
[ASMR Eating Sounds 咀嚼音 飯テロ 外食 動画]ワンタン肉野菜炒め定食をラーメン屋で食べるオヤジJapan,/watch?v=MIPazPqLBeg,4725,満腹三太夫Sandayu ASMR E,11100,,5543,85
[ASMR Eating Sounds 咀嚼音 飯テロ 外食 動画]カツカレーとラーメンを大衆食堂で食べるオヤジJapan,/watch?v=i8-6a4F4e-g,6647,満腹三太夫Sandayu ASMR E,11100,,5543,120
[ASMR Eating Sounds 咀嚼音 飯テロ 動画]Manpuku's Chronicle Vol.16満腹三太夫クロニクル過去動画のダイジェスト集,/watch?v=KlSGKgJaugQ,3270,満腹三太夫Sandayu ASMR E,11100,,5543,59
[ASMR Eating Sounds 咀嚼音 飯テロ 動画]カマトロ大トロ握り寿司日清どん兵衛鴨出汁蕎麦を食べるオヤジ動画Japan,/watch?v=aNyUgGrJODg,9475,満腹三太夫Sandayu ASMR E,11100,,5543,171
山岡家[咀嚼音 飯テロ 外食 動画]醤油ネギチャーシューラーメンを食べる食べるオヤジJapan,/watch?v=c-m1plYMors,7044,満腹三太夫Sandayu ASMR E,11100,,5543,127
[ASMR Eating Sounds 咀嚼音 飯テロ 外食 動画]カツ丼弁当おろし蕎麦と五目蕎麦を蕎麦屋で食べるオヤジJapan,/watch?v=0mr41eJwGUs,6020,満腹三太夫Sandayu ASMR E,11100,,5543,109
[ASMR Eating Sounds 咀嚼音 飯テロ 外食 動画]鰻うな重と唐揚げ冷やし中華を和食料理屋で食べるオッサンJapan土用の丑の日が来る前に・・・,/watch?v=WXIlnZYwiag,6585,満腹三太夫Sandayu ASMR E,11100,,5543,119
[ASMR Eating Sounds 咀嚼音 飯テロ 外食 動画]Manpuku's Chronicle Vol.15満腹三太夫クロニクル過去動画のダイジェスト集,/watch?v=dzb3j-w4srM,3807,満腹三太夫Sandayu ASMR E,11100,,5543,69
[ASMR Eating Sounds 咀嚼音 飯テロ 外食 動画]海老フライ・ヒレカツ定食を大衆食堂で食べるオヤジJapan,/watch?v=eyDK5pfbaGE,6285,満腹三太夫Sandayu ASMR E,11100,,5543,113
[ASMR Eating Sounds 咀嚼音 飯テロ 外食 動画]モスバーガー4種モスチキン唐揚げを食べるオヤジ動画Japan紙シャカ音注意,/watch?v=t1ogdsXxE10,6306,満腹三太夫Sandayu ASMR E,11100,,5543,114
[ASMR Eating Sounds 咀嚼音 飯テロ 外食 動画]Manpuku's Chronicle Vol.14満腹三太夫クロニクル過去動画のダイジェスト集,/watch?v=ZUCn8-k_YzE,3359,満腹三太夫Sandayu ASMR E,11100,,5543,61
[ASMR Eating Sounds 咀嚼音 飯テロ 外食 動画]塩ワンタンとネギ丼を町中華食堂で食べるオヤジJapan,/watch?v=k7rs7w8KqR4,6056,満腹三太夫Sandayu ASMR E,11100,,5543,109
[ASMR Eating Sounds 咀嚼音 飯テロ 外食 動画]カツ煮定食と野菜炒めを大衆食堂で食べるオヤジJapan,/watch?v=W-zehUMTYoE,6016,満腹三太夫Sandayu ASMR E,11100,,5543,109
