title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
夏のマスク生活〜暑すぎて無理〜少しでも快適に過ごしたい！,/watch?v=Ktec37Oaz2c,753,19,5030,9時間前,3414,22
【鳴き声注意】久々のシャンプーにずーと鳴き続けるニャンズ,/watch?v=lRBQUkQ5Bc4,914,19,5030,3日前,3414,27
おはようございます！朝ごはんです〜夏休みの宿題と可愛いモバイルバッテリー入れ,/watch?v=SzyqmPD9UDc,1776,19,5030,5日前,3414,52
今日のつぶやん〜お腹ぎょろぎょろ〜,/watch?v=kKQjF931J-M,1020,19,5030,1週間前,3414,30
おはようございます！朝ごはんです〜マイナンバーカード　住宅エコポイント最後の商品紹介,/watch?v=29gOSgXoOec,2110,19,5030,2週間前,3414,62
ニトリ　Nクールとかいろいろ買ったよ！,/watch?v=4Ofn45Y2fm4,2974,19,5030,2週間前,3414,87
おはようございます！朝ごはんです〜アマビエ江戸風鈴とスイカのお洋服,/watch?v=8I0k6BO8jLc,2073,19,5030,3週間前,3414,61
おはようございます！朝ごはんです〜手書きの絵をもらったよ！,/watch?v=dL_EJXCKF3U,1930,19,5030,4週間前,3414,57
おはようございます！朝ごはんです〜最近のバッグの中身,/watch?v=NA_35GL8IXM,2909,19,5030,1か月前,3414,85
今日はみーたん49日　懐かしいみーたんのファイトを観てね！,/watch?v=rvgsWAcGz_Y,1131,19,5030,1か月前,3414,33
ベトナム料理　バン　チュンをもらったよ！,/watch?v=wJzcmBGaWl4,1402,19,5030,1か月前,3414,41
IKEA  NOT  TEVALEN  やっと組み立てるよ！,/watch?v=oW7y2mZAHko,1913,19,5030,1か月前,3414,56
お疲れ様でした〜山形のだしとピリ辛ジャージャー麺,/watch?v=iZpOLBKib5Y,2106,19,5030,1か月前,3414,62
みーつぶラジ！ニトリ　◯◯ち事件〜,/watch?v=Urx9Egv-trE,1323,19,5030,1か月前,3414,39
さくらんぼのクラフティを作ろう！子猫の妄想〜,/watch?v=wauhnEFJqe0,1883,19,5030,1か月前,3414,55
こんなに大量　至福の仕分け　ジャムを作ろう！！！,/watch?v=WXejctWEM0I,1760,19,5030,1か月前,3414,52
動画投稿まる８年　これからもよろしく〜,/watch?v=w5JjSjgqFak,2282,19,5030,1か月前,3414,67
夕飯作ってだらだら食べる〜,/watch?v=RJTQxdOsmHI,3155,19,5030,1か月前,3414,92
アーモンドを買いにCOSTCOへ〜それだけじゃ済まないよね！みーたんの命日,/watch?v=uiC3_ry2NHw,2891,19,5030,1か月前,3414,85
幼なじみさんからのキラッキラッの贈り物！,/watch?v=d3hzVgZhgwU,1175,19,5030,1か月前,3414,34
Kitsure キッチンワゴンを買ってみた〜　スッキリ！！！,/watch?v=k02oxU9W60Y,2480,19,5030,1か月前,3414,73
にゃんこ好きのプレゼント　紹介するね！,/watch?v=h6__Nvz5lFk,1782,19,5030,1か月前,3414,52
まともに切らせてくれるのはやっぱりこましゃん！,/watch?v=d-CtsmRLS00,1191,19,5030,2か月前,3414,35
みーつぶラジ！ちょいちょいやるよ〜,/watch?v=WiOITdmu3d4,1359,19,5030,2か月前,3414,40
パリパリきゅうりと住宅エコポイント６弾,/watch?v=jbKAAGmRLOk,2813,19,5030,2か月前,3414,82
幼なじみさんからの贈り物　また会えたね！,/watch?v=cIHOEbDPJYs,2908,19,5030,2か月前,3414,85
温かい言葉に元気をもらいました！久しぶりにコストコに,/watch?v=VfWuhVEeUGA,5060,19,5030,2か月前,3414,148
その後のニャンズと私の生活,/watch?v=V8CD-QbQ9X4,2891,19,5030,2か月前,3414,85
みーたん　今まで本当にありがとう〜,/watch?v=wUYjWhF1HG0,5924,19,5030,2か月前,3414,174
自分へのご褒美？！住宅エコポイント　第５弾,/watch?v=_MUwHlbliDo,2188,19,5030,2か月前,3414,64
今日は私にとって特別な日,/watch?v=Q10PeWAOUtY,2453,19,5030,3か月前,3414,72
第１回　つぶやんの「あなただったのね〜」コーナー,/watch?v=vmRSaJxmEf0,1872,19,5030,3か月前,3414,55
おはようございます！朝ごはんです〜住宅エコポイント第２〜４弾,/watch?v=JzDDLPYsPIM,3014,19,5030,3か月前,3414,88
今日は母の日　夏らしい暖簾を作ろう〜,/watch?v=iBoqo1oMnEE,2644,19,5030,3か月前,3414,77
この時期気になる商品を買ってみた！,/watch?v=Sb3yg8y_G30,2204,19,5030,3か月前,3414,65
おはようございます！朝ごはんです〜手作りパンをもらってhappy!,/watch?v=VjQSNLlvK50,2568,19,5030,3か月前,3414,75
バター足りなくてディズニーチュロスをアレンジチュロスに！,/watch?v=BklM03k1LdE,2181,19,5030,3か月前,3414,64
