title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
Fortnite・フォートナイトのデュオ実況。キルできた特集です。プレイしてくださった多くの方々に感謝を申し上げます。,/watch?v=ApGiF0592DQ,6,Art K,,,46,13
Fortnite・フォートナイトのデュオ実況。実況してから初のビクロイ。,/watch?v=fvY5OMRTdtI,1,Art K,,,46,2
Fortnite・フォートナイトのデュオ実況。初心者がボスをたおせるのか？笑える、面白実況です。キャティコーナーの金庫を開けろ！,/watch?v=5VK9Uk9ABT4,5,Art K,,,46,11
秋、動画で送る秋の挨拶カード。紅葉に秋の味覚のイラストアニメーションのグリーティングカード。あいさつ文なしです。フリー素材ではありませんURLをコピーしてご利用してくださいませ。,/watch?v=hoACQ8iFn-o,42,Art K,,,46,91
秋、動画で送る秋の挨拶カード。紅葉に秋の味覚のイラストアニメーションのグリーティングカード。フリー素材ではありませんURLをコピーしてご利用してくださいませ。,/watch?v=XEP_rnXQFMs,20,Art K,,,46,43
Fortnite・フォートナイトのデュオ実況。やられたら、やり返す！マローダーに反撃だ！やられた動画は　https://youtu.be/wuS3vfpzi8M　この冒頭にあります。,/watch?v=IrKMJCibvek,9,Art K,,,46,20
おなかとゲームやコントローラーのカチカチ音・マイクと洋服がすれるガサガサ音※不快に感じる方のご視聴はご遠慮くださいませ。,/watch?v=FBx05zElAlc,26,Art K,,,46,57
秋の挨拶グリーティングカードにもご利用いただけると嬉しいです。初秋の花のイラスト。アニメーション動画です。メッセージ無しです。フリー素材ではありません,/watch?v=pcTR8PD-qCY,45,Art K,,,46,98
Fortnite・フォートナイトのキル特集。見納めなのでキルされた特集です。,/watch?v=wuS3vfpzi8M,6,Art K,,,46,13
Fortnite・フォートナイトのデュオ実況。心臓の悪い方はご視聴をご遠慮ください。笑える場面もあり。,/watch?v=8-4rbMEA8Ig,6,Art K,,,46,13
Fortnite・フォートナイトのデュオ実況。笑える、面白実況ですが今回は残酷な最低場面があります。ご視聴注意です。不快に感じる方もいらっしゃるかと思います。銃撃戦を2ゲームアップしました。,/watch?v=dpyYBWOuL7g,5,Art K,,,46,11
ASMR・紙の音。フラワーペーパーで花を作ったり触る音です。,/watch?v=YKkpfWmdoRg,11,Art K,,,46,24
Fortnite・フォートナイトのデュオ実況。笑える、面白実況です。女性プレイヤーのおバカすぎる一人芝居を笑ってください。,/watch?v=56GjP55nEB8,4,Art K,,,46,9
Fortnite・フォートナイトのデュオ実況。笑えるけど最低のプレイも！？,/watch?v=RN9OXXhBGFA,4,Art K,,,46,9
年賀状・富士山や七福神、鶴に門松や羽子板。お正月の縁起物満載の年始の挨拶入りグリーティングカード。あいさつ文なし。フリー素材ではありません、URLをコピーしてご利用してくださいませ。,/watch?v=bhKwuYJbWdk,7,Art K,,,46,15
年賀状・富士山や七福神、鶴に門松や羽子板。お正月の縁起物満載の年始の挨拶入りグリーティングカード。あいさつ文入り。フリー素材ではありません、URLをコピーしてご利用してくださいませ。,/watch?v=riUuianHTvs,10,Art K,,,46,22
ASMR・リップグロスの開閉音、コスメの音。くちゅくちゅ耳触りの良い音です。初めと終わりの挨拶以外声なしです。,/watch?v=Wakbo3-Cfcg,38,Art K,,,46,83
Fortnite・フォートナイトのデュオ実況。笑える、面白実況です。自動車に乗って！,/watch?v=5Yf39j0C4PI,9,Art K,,,46,20
ASMR・マジックで塗り絵をする音です。色々、生活音も混入してしまっています。お聞き苦しいことがありましたらごめんなさい。,/watch?v=Zbo9qyXrLx4,6,Art K,,,46,13
Fortnite・フォートナイトのデュオ実況。笑える、面白実況です。ストームから逃げての二人で5キル。いよいよビクロイ？,/watch?v=EUrAUIgTKhk,35,Art K,,,46,76
ASMR・まるでシャーベットジェリーと言う100円ショップで購入したスライムをプチプチの上で触る音です。ぞわぞわ最上級です。,/watch?v=mXr_U86wbOs,9,Art K,,,46,20
Fortnite・フォートナイト初めてのデュオ実況で大騒ぎ。スタート前からの話も面白い・笑ってください。,/watch?v=yrwO6BwqqbY,9,Art K,,,46,20
おなかの音がメインです・不快に感じる方は申し訳ないのですがご視聴をお控えください。今日はモーニングルーティンサプリを飲む音、メイクやヘアメイクの音です。,/watch?v=Y3KgwT6ai0A,87,Art K,,,46,189
フォートナイトの初めての実況動画について。反省やお詫び,/watch?v=aJJTlhqsD_8,10,Art K,,,46,22
フォートナイト・初実況目指せビクロイ！Fortnite録画していると思うと、めちゃくちゃ、緊張しました。後半かくかくしています。話が面白いのでノーカットですが画面は遠目にみてください。,/watch?v=TsiabpDUYTo,14,Art K,,,46,30
ASMR・ビーズをさわる音や紙に入れてブラシでかき混ぜる音。手で触る音。グラスに入れる音。ぞわぞわ、ぞくぞくする音。始まりと終わりにご挨拶のささやき声が入っています。,/watch?v=JdJlkJ1vHew,10,Art K,,,46,22
フォートナイト・実況配信予告です。映像はまだありません。初心者、面白デュオです。武器の名前も場所も何もわからず擬音で話し、必死に真剣にやっているのに面白い。,/watch?v=Ip9dQ9xv8kM,8,Art K,,,46,17
ASMR・ひたすらえんぴつを触る音です。箱に入れる音や転がす音。テーブルをする手の音がぞわぞわします。,/watch?v=gzR-khLZOfY,9,Art K,,,46,20
ASMR・壁に飾るフラッグとコットンボールライトの開封音。ライトが点灯するまでの準備音。コットンボールを触る音です。ぞわぞわ、鳥肌が止まらない音。,/watch?v=u8YnaYVuejs,12,Art K,,,46,26
クリスマスカードです、グリーティングカードとしてご利用いただけると嬉しいです。クリスマスの英文メッセージ入り。フリー素材ではありません、URLをコピーしてご利用くださいませ。,/watch?v=UVnm6QbmJIY,25,Art K,,,46,54
おなかの音が賑やかでしたので急遽録音しました。※不快に感じる方はご視聴をご遠慮ください※背景はフォートナイトの画面を使わせていただきました。っというのも、ソロで初ビクロイ！,/watch?v=-ecxZ5LT4Rc,89,Art K,,,46,193
ASMRの咀嚼音です、録っているつもりの間抜けな姿で笑ってください。咀嚼音やおなかの音が苦手な方はご視聴をご遠慮ください。ごめんなさい。,/watch?v=pThRiOfJlRk,43,Art K,,,46,93
※ご視聴注意※以前アップした宅配で届いたサプリの開封音と触る音の音源だけをDR-07Xに差し替えました。撮影をストップしている間もノーカットで公開。おなかの音も混入しています。,/watch?v=vUPHXDaRet8,12,Art K,,,46,26
ASMR・ぬり絵を塗る音、鉛筆の箱の音、蓋の音、紙の音ささやき挨拶。おなかの音は1回くらい？入ってしまっています。苦手な方はご視聴ご注意ください。でも、聞いて頂けたら、嬉しいです。,/watch?v=HVKUMLEulFY,63,Art K,,,46,137
おなかの音メイン、ナイトルーティン、メークを落とすウォーターピーリングの音、シャンプーの音です※ご視聴注意※おなかがぐるぐる、キュルキュルする音です。不快に感じる方はご視聴を中止してくださいませ。,/watch?v=lqepNgorbX8,140,Art K,,,46,304
グリーティングカード。ハートやチョコレートにキャンディのイラストアニメーション。ハートが一杯のカードです。フリー素材ではありません、URLをコピーしてご利用してくださいませ。,/watch?v=I4WvduUC4P0,4,Art K,,,46,9
バレンタインデーのグリーティングカード。ハートとチョコレートにキャンディのイラストアニメーションカード。英文でバレンタインデーにちなんだ文字が入っています。フリー素材ではありません、URLをコピー,/watch?v=Diu3EuCnw_k,7,Art K,,,46,15
ASMR・宅配で届いたサプリ、開封音と触る音です。ビニール手袋で触っています。ささやき声がオープニングとエンディングに入っています。Iphoneで動画も音も録っています。ささやき声のみDR-07Xです,/watch?v=JMafl_hFCMU,33,Art K,,,46,72
ASMR・やっとおなかの音が入らない？ASMRのささやき声を録れた？と思います。内容は、いいわけです。よかったら聞いてみてください。,/watch?v=Bgq61O6MX6g,48,Art K,,,46,104
泡の音＆おなかの音※ご視聴注意※おなかが前代未聞の大爆音！です。頂いた固形石鹸の開封音と泡を立てる音です。いくつかアップしてきた中で、一番大きなおなかの音が入っています。録音を後で聞いて驚きました,/watch?v=n4dBaOnjmCk,224,Art K,,,46,487
ASMR。咀嚼音とおなかの音。※ご視聴ご注意※苦手な方はご視聴をお控えくださいませ。ハイエイトチョコレートを開封、食べる音です。途中ドリンクを飲む音におなかの音だけ大きく録音したものがあります。,/watch?v=BQOIdPhwDzI,73,Art K,,,46,159
サプリについてのささやき雑談におなかの音※ご視聴注意※不快に感じる方はご視聴を中止してくださいませ。背景動画は以前お邪魔した和歌山アドベンチャーワールドの可愛い動画や写真です。,/watch?v=j_EyMmkuHMY,53,Art K,,,46,115
グリーティングカード、アニメーションカードです、お祝い用のcongratulationsの文字が踊ります。くす玉が割れると可愛いひよこたちがフラッグガーランドを飾ります。フリー素材ではありません,/watch?v=oeMA4NGN-5I,13,Art K,,,46,28
モーニングルーティンでのおなかの音がメインです。※ご視聴注意※不快に感じる方はご視聴を中止してくださいませ。今週のきゅーるさんですｗ。今回は紅茶を飲む音も入っています。背景は写真素材を使用。,/watch?v=j10WiuYVoH8,108,Art K,,,46,235
