title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
『ささやき添い寝彼氏』,/watch?v=J9t3X33yjqI,20,Aurora Crystal,9,2年前,25,80
左右から寝息が聴こえる音声,/watch?v=CB2SxXe-62I,7,Aurora Crystal,9,2年前,25,28
ハミガキの音とオフトンでごろごろ,/watch?v=KV5qe3hX3pE,11,Aurora Crystal,9,2年前,25,44
【バイノーラル】安眠音声【添い寝】,/watch?v=_tbCX1Sd4NY,9,Aurora Crystal,9,2年前,25,36
【涼の】ささやき雑談#32【日常】,/watch?v=2e7j5Ruv93s,9,Aurora Crystal,9,2年前,25,36
【立体音響】呼吸音と心音【睡眠導入】,/watch?v=2pFqAgn9mgU,53,Aurora Crystal,9,2年前,25,212
【バイノーラル】ちょっとSな彼氏の耳かき音声【女性向け】,/watch?v=WiRoNBZbiqg,119,Aurora Crystal,9,2年前,25,476
【ショタ】少年執事と添い寝【ささやき】,/watch?v=wPCzCrRcrwU,146,Aurora Crystal,9,2年前,25,584
【寝息部分のみ】少年執事と添い寝【1時間】,/watch?v=cGeVVOarL-4,6,Aurora Crystal,9,2年前,25,24
【独占欲】メンヘラ彼氏と通話【情緒不安定】,/watch?v=sEu5E-4TGG0,109,Aurora Crystal,9,2年前,25,436
【添い寝】お姉ちゃんを甘やかす弟【女性向け】,/watch?v=xjWroetN-Og,68,Aurora Crystal,9,2年前,25,272
【立体音響】Liveアーカイブ#01【雑談配信】,/watch?v=atqJv8aBJZw,0,Aurora Crystal,9,2年前,25,0
【涼の】ささやき雑談#033【戯言】‐Whispering japanese boy‐,/watch?v=v1YuYNWbD9s,9,Aurora Crystal,9,2年前,25,36
【いちゃいちゃ】初めての添い寝で.【ちゅっちゅ】,/watch?v=qB1t7IUX3CU,130,Aurora Crystal,9,2年前,25,520
【立体音響】Liveアーカイブ#02【雑談配信】,/watch?v=ch1MDZVxv6c,2,Aurora Crystal,9,2年前,25,8
【低い声で】妹が可愛すぎて.【お兄さん】,/watch?v=CbiOC75xWXE,36,Aurora Crystal,9,2年前,25,144
【BL】お兄ちゃんのことが大好きすぎる弟【添い寝】,/watch?v=W8UA74K9quQ,144,Aurora Crystal,9,2年前,25,576
【呼吸音】りらっくすばいのーらる【環境音】【Breath sound】【Lip noise】【No talking】,/watch?v=0y8esf6Ph3U,3,Aurora Crystal,9,2年前,25,12
【ASMR】ささやきながらマシュマロを食べる【咀嚼音】,/watch?v=dVX1TMU31RI,21,Aurora Crystal,9,2年前,25,84
【立体音響】Liveアーカイブ#03【雑談配信】,/watch?v=p_5-mWbpgwo,0,Aurora Crystal,9,2年前,25,0
【立体音響】Liveアーカイブ#04【雑談配信】,/watch?v=H3N1PV1Fivw,0,Aurora Crystal,9,2年前,25,0
【立体音響】Liveアーカイブ#06【雑談配信】,/watch?v=OQI9UnQEhQU,0,Aurora Crystal,9,2年前,25,0
【立体音響】Liveアーカイブ#05【雑談配信】,/watch?v=jdervlNZnoo,0,Aurora Crystal,9,2年前,25,0
【立体音響】夏の公園で【お散歩】,/watch?v=nNBe68e7stc,2,Aurora Crystal,9,2年前,25,8
【立体音響】Liveアーカイブ#07【雑談配信】,/watch?v=fMkbIvb_-iU,0,Aurora Crystal,9,2年前,25,0
