title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ASMR CLOUD BREAD | SOFT SQUISHY EATING SOUNDS 먹방,/watch?v=zcVxx3LtNH8,141923,Crunchy ASMR,1010000,1週間前,708695,20
ASMR CHOCOLATE COOKIES | Eating Sounds *No Talking* 먹방,/watch?v=kVDctygIAZ8,38164,Crunchy ASMR,1010000,1週間前,708695,5
"ASMR AUSTRALIAN BURGER KING & MCDONALDS | BIG MAC, BIG JACK, FRIES, ONION RINGS | MUKBANG",/watch?v=1S_9dLLvTm8,47903,Crunchy ASMR,1010000,1週間前,708695,7
ASMR FRUIT FLOWERS FOREST WATERMELON CAKE | Eating Sounds 먹방,/watch?v=jHF1QMsekkI,60725,Crunchy ASMR,1010000,3週間前,708695,9
"ASMR MALAYSIAN FOOD FEAST | Curry, Fried, Chicken Roti, Rendang | Eating Sounds Mukbang 먹방",/watch?v=DAezhS0PFDw,74042,Crunchy ASMR,1010000,4週間前,708695,10
"ASMR CORALINE FOOD | Edible Buttons, Beetles, Cake | Eating Sounds Mukbang 먹방",/watch?v=nqe4MUVl2YQ,205029,Crunchy ASMR,1010000,2か月前,708695,29
"ASMR RAINBOW DESSERTS | POPPING BOBA, JELLY, CANDY MUKBANG | NO TALKING EATING SOUNDS 먹방",/watch?v=B7oEIh7aelg,147513,Crunchy ASMR,1010000,2か月前,708695,21
"EATING LUSH SOAP, BATH BOMB, TOOTHPASTE | ASMR | EDIBLE PRANK | SOAP, BATH BOMB",/watch?v=ZI6c4MREUsI,264604,Crunchy ASMR,1010000,2か月前,708695,37
"ASMR CANDIED HONEYCOMB, MOCHI, ALOE VERA, MACARONS, TANGHULU | CRUNCHY EATING SOUNDS 먹방",/watch?v=dHHkcPeVOCY,264290,Crunchy ASMR,1010000,2か月前,708695,37
"ASMR RICK AND MORTY, CANDY, GUMMY, DONUTS, LIL BITS * EATING SOUNDS* mukbang 먹방",/watch?v=oI_07MwPrqo,81729,Crunchy ASMR,1010000,2か月前,708695,12
ASMR IN-N-OUT BURGER & ANIMAL STYLE FRIES DIY *BIG BITES* Eating Sounds 먹방,/watch?v=nvbDVoRjACQ,124035,Crunchy ASMR,1010000,2か月前,708695,18
"ASMR EDIBLE BUBBLES, CANDY, BOBA, JELLY, ICE, BUBBLE GUM | Eating Sounds 먹방",/watch?v=135iAo7O9ik,252386,Crunchy ASMR,1010000,2か月前,708695,36
ASMR Most Popular Food For ASMR | Glow in Dark | Eating Sounds 먹방,/watch?v=joKmJcRRERI,161578,Crunchy ASMR,1010000,3か月前,708695,23
"ASMR AMETHYST CANDY, GLITTER HONEYCOMB, JELLY CRYSTAL, CANDIED MOCHI | No Talking 먹방",/watch?v=B9Wsx60Dvps,695652,Crunchy ASMR,1010000,3か月前,708695,98
ASMR TIKTOK PANCAKE CEREAL | Eating Sounds | MUKBANG 먹방,/watch?v=O2TGHwA_bLQ,120333,Crunchy ASMR,1010000,3か月前,708695,17
