title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ASMR 購入品開封,/watch?v=yIo2CMul0aM,169,Duck ASMR,532,1年前,1452,12
［日本語 ASMR］手作り水系スクイ―ズをつくる～ささやき声～,/watch?v=Wd56FoHf4vo,197,Duck ASMR,532,2年前,1452,14
再up[日本語ASMR]さける粘土スライム～ふしぎなジェルとやわらか粘土を混ぜて～,/watch?v=Fg6PKQTRu_g,333,Duck ASMR,532,2年前,1452,23
［日本語ASMR］やわらか粘土№2～アイシャドウを混ぜる音フェチ～,/watch?v=buFN7Zam8Qs,102,Duck ASMR,532,2年前,1452,7
［日本語ASMR］やわらか紙粘土～口紅を混ぜる～,/watch?v=ujG7QUgOjsU,153,Duck ASMR,532,2年前,1452,11
［ASMR・睡眠用］塩の音～Salt Sound～日本語ASMR～,/watch?v=1_7I6DLEcQc,283,Duck ASMR,532,2年前,1452,19
［ASMR］文字を書く、ぬりえの音～声なし音フェチ～,/watch?v=p371vnKuiYI,497,Duck ASMR,532,2年前,1452,34
［日本語ASMR］メイクポーチの音～小声ver～☆Sound of makeup tool☆,/watch?v=uS-e83FiOHg,435,Duck ASMR,532,2年前,1452,30
［ASMR］水の音，ネイルタッピング,/watch?v=_0T4hhPigak,302,Duck ASMR,532,2年前,1452,21
［ASMR］くだらない雑談をしながら駄菓子をつくる～概要で内容を確認してから見てください～,/watch?v=gcYWZd3mh_E,193,Duck ASMR,532,2年前,1452,13
［ASMR］キラキラスパンコールスライム,/watch?v=o6Q2YIFm_G8,175,Duck ASMR,532,2年前,1452,12
[ASMR]冷却シートの音～箱のネイルタッピング～,/watch?v=Kn9P6ktwluU,318,Duck ASMR,532,2年前,1452,22
［ASMR］耳かきの音～ear cleaning～,/watch?v=vnub7nhpGfg,538,Duck ASMR,532,2年前,1452,37
［ASMR］つぶつぶすらいむの音～ささやき声～,/watch?v=u3Avn8AltIM,3366,Duck ASMR,532,2年前,1452,232
[ASMR]色々なスクイーズ～ささやき声～,/watch?v=ngjIL6SkjXs,323,Duck ASMR,532,3年前,1452,22
［ASMR］韓国コスメ開封～ささやき声～,/watch?v=BUZQx5W2uDc,1207,Duck ASMR,532,3年前,1452,83
［ASMR］金平糖の開封～囁き声～,/watch?v=E9Qj_HR7DoM,728,Duck ASMR,532,3年前,1452,50
[ASMR]ハンドクリームと石鹸,/watch?v=-kS-p2L5lBY,349,Duck ASMR,532,3年前,1452,24
［ASMR］お菓子の紹介、雑談、音フェチ,/watch?v=NpHCaGzjv90,4372,Duck ASMR,532,4年前,1452,301
[ASMR]蓋の開閉音,/watch?v=r8_fBhdEapg,3506,Duck ASMR,532,4年前,1452,241
[ASMR]ハンドケア,/watch?v=7G0RqAj-UqU,1423,Duck ASMR,532,4年前,1452,98
[ASMR]夏の必需品,/watch?v=eKfHboKm3IU,2158,Duck ASMR,532,4年前,1452,149
[ASMR]紅茶の箱,/watch?v=UNXd3bXdHIY,676,Duck ASMR,532,4年前,1452,47
[ASMR]限定フェイスパックの紹介,/watch?v=t799bxZQOLk,1006,Duck ASMR,532,5年前,1452,69
[ASMR]紙をめくる音,/watch?v=I3uXVmPkCGQ,3645,Duck ASMR,532,5年前,1452,251
[ASMR]化粧水を振る音 音フェチ,/watch?v=wvjoxksjVYY,1329,Duck ASMR,532,5年前,1452,92
[ASMR]お菓子の開封～囁き声～,/watch?v=e-LvaI-SrhI,1885,Duck ASMR,532,5年前,1452,130
[ASMR]蓋の開閉音と水の音,/watch?v=qQrIDWEFbmk,4370,Duck ASMR,532,5年前,1452,301
[ASMR]箱の開閉音とネイルタッピング,/watch?v=_-7wz_BQDro,3557,Duck ASMR,532,5年前,1452,245
[ASMR]ペンの分解と組み立て,/watch?v=y1ekTKnliP8,2408,Duck ASMR,532,5年前,1452,166
[ASMR]綿棒の音 耳かきの音,/watch?v=RlpbZNC1YY8,2728,Duck ASMR,532,5年前,1452,188
[ASMR]まけんグミを食べる音,/watch?v=hTuhSgVBQqI,986,Duck ASMR,532,5年前,1452,68
[ASMR]炭酸の音～囁き声～音フェチ,/watch?v=bwk4z6kEXkw,2441,Duck ASMR,532,5年前,1452,168
[ASMR]食器の開封～囁き声～音フェチ,/watch?v=pPEoy5Z-K8A,2256,Duck ASMR,532,5年前,1452,155
［ASMR］塩の音～囁き声～ Sound of the salt,/watch?v=6MTmtRc39wg,2407,Duck ASMR,532,6年前,1452,166
