title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
"Food Sample Cim sum All 5types[無言,大人買い,CapsuleToy]",/watch?v=YZtWSMvuNXE,3446,EggHobb,,,2484,139
"CapsuleToy Oden All 6types[無言,大人買い]ガチャポン あったかおでん 食品サンプルシリーズ 全６種",/watch?v=CpZHxxP0z1o,1133,EggHobb,,,2484,46
"THE tempura mascot All 6types[CapsuleToy][無言,大人買い]",/watch?v=7cOoB933-tA,65,EggHobb,,,2484,3
"Dim Sum All 6types [無言,大人買い,スクイーズ紹介]",/watch?v=jbU1jEcSINU,125,EggHobb,,,2484,5
"CapsuleToy Sushi All 5 types[無言,大人買い]",/watch?v=dbX_SWUronU,128,EggHobb,,,2484,5
"Capsule Toy imuraya tanoshii oyatsu Collection [大人買い,無言]",/watch?v=33ATRX4vUxc,135,EggHobb,,,2484,5
"Orange All 8types CapsuleToy[無言,大人買い]",/watch?v=JbTGWWWSSpc,152,EggHobb,,,2484,6
"Fruits Squishy Squeeze All 10types [無言,大人買い,スクイーズ紹介]",/watch?v=D6j9_InNZfs,47,EggHobb,,,2484,2
"[J.Dream]Bakery Mascot Squishy Sqeeze All 4 types[無言,大人買い,スクイーズ紹介]",/watch?v=FO0nbUn_6pE,73,EggHobb,,,2484,3
"Broad Beans CapsuleToy All 7 types[無言,大人買い]",/watch?v=bGNP0WyOBUw,63,EggHobb,,,2484,3
"Taiyaki Squeeze 5 types [スクイーズ紹介,無言,大人買い]",/watch?v=mcMTbHzWhsw,94,EggHobb,,,2484,4
"Paprika All 4types CapsuleToy [無言,大人買い]",/watch?v=4tnCMCUbnC4,72,EggHobb,,,2484,3
"Doughnut Squisy Squeeze[CapsuleToy][無言,大人買い,スクイーズ紹介]",/watch?v=Xaz1u9cEuRs,266,EggHobb,,,2484,11
[Stop Motion Animetion]CapsuleToy Macron Squeeze スクイーズ紹介,/watch?v=vSefllH0LMo,704,EggHobb,,,2484,28
"[Stop motion animation]Sample mascot All five types,CapsuleToy 食品サンプルマスコット 全５種 ガチャポン",/watch?v=rmACJrkF71k,537,EggHobb,,,2484,22
"[J.Dream]CapsuleToy Fluffy Bakery Festival Squishy Squeeze 5Types[無言,大人買い,スクイーズ紹介]",/watch?v=zMFxILCxjQs,119,EggHobb,,,2484,5
"A mascot of Bakery Squeeze that seems to be eaten and can not be eaten[スクイーズ紹介,無言,大人買い]",/watch?v=FoavxqKJk8E,32,EggHobb,,,2484,1
"[CapsuleToy]Shuwashuwa Drink Mascot All 6types[無言,大人買い]",/watch?v=a_h4rWi_38Q,54,EggHobb,,,2484,2
Mini Onigiri Squeeze All 5 types[CapsuleToy],/watch?v=yB4HJ-n3xjE,132,EggHobb,,,2484,5
"[J.Dream]Patisserie All 5 Types ぷちっとパティスリー 全5種[無言,大人買い,スクイーズ紹介]",/watch?v=xbsXhWy8zAA,125,EggHobb,,,2484,5
"[J.DREAM]Bread cream Squishy squeeze 5 types[スクイーズ紹介,無言,大人買い]",/watch?v=WY0skBc2B4M,86,EggHobb,,,2484,3
"[Stop Motion Cooking]Fake Macron[音フェチ,ASMR]",/watch?v=b_ud57OwOKM,264,EggHobb,,,2484,11
"[Stop Motion Cooking]Deep fried shogi pieces[音フェチ,ASMR]",/watch?v=C71G1I6wiHg,403,EggHobb,,,2484,16
"[Stop Motion Cooking]Dice and Block Kimchi[音フェチ,ASMR]",/watch?v=nsvP9X_-ofo,329,EggHobb,,,2484,13
"[Stop Motion Cooking]Fake Miniature croissants[音フェチ,ASMR]",/watch?v=wySOuTnZPVY,145,EggHobb,,,2484,6
"[Stop Motion Cooking]Made from iron buckwheat noodles[音フェチ,ASMR]",/watch?v=KV4-EDu4Yjw,364,EggHobb,,,2484,15
"[Stop Motion Cooking]ODEN[音フェチ,ASMR]",/watch?v=DAhL1HfcY9Q,204,EggHobb,,,2484,8
"[Stop Motion Cooking]watermelon？[ASMR,音フェチ]",/watch?v=d8PPTAVwpwM,416,EggHobb,,,2484,17
"[Stop Motion Cooking]Cut the avocado???[ASMR,音フェチ]",/watch?v=j3vTaNKScUU,73476,EggHobb,,,2484,2958
"[Stop Motion Cooking]Egg [ASMR,音フェチ]",/watch?v=6omo6shDMQA,248,EggHobb,,,2484,10
"[Stop Motion Cooking]Rubik's Cube Cut [ASMR,音フェチ]",/watch?v=unegXwVzFYk,193,EggHobb,,,2484,8
"[Stop Motion Cooking]Dice of ice [ASMR,音フェチ]",/watch?v=sDHTvB7-ce4,121,EggHobb,,,2484,5
"[Stop Motion Cooking]Infinite Proliferation Coin [ASMR,音フェチ]",/watch?v=CdwpkaYjLew,62,EggHobb,,,2484,2
"[Stop Motion Cooking]Infinite chocolate[ASMR,音フェチ]",/watch?v=wVYEKtepBrU,2007,EggHobb,,,2484,81
"[Stop Motion Cooking]Button cookie[ASMR,音フェチ]",/watch?v=mU1dAnZLBZY,140,EggHobb,,,2484,6
"[Stop Motion Cooking]Japan YEN Coins Breakfast [ASMR,音フェチ]",/watch?v=dOiwo8NEaNE,37106,EggHobb,,,2484,1494
"[Stop Motion Cooking]Banana Cut[ASMR,音フェチ]",/watch?v=f6m24J95QRQ,128,EggHobb,,,2484,5
"[Stop Motion Cooking]Apple Cut[ASMR,音フェチ]",/watch?v=nk8TRSKKr3g,109,EggHobb,,,2484,4
"[Stop Motion Cooking]Red Dice [ASMR,音フェチ]",/watch?v=0EZV4u54YuA,227,EggHobb,,,2484,9
"[Stop Motion Cooking]Gudetama[ASMR,音フェチ]",/watch?v=syo0zvtFcQQ,177,EggHobb,,,2484,7
"[Stop Motion Cooking]Dice Steak[ASMR,音フェチ]",/watch?v=OiI7NQ4MZxY,92,EggHobb,,,2484,4
"[Stop Motion Cooking]Hand washing before cooking[ASMR,音フェチ]",/watch?v=NAGriu70kGc,126,EggHobb,,,2484,5
"[Stop Motion Cooking]Blue Ball[ASMR,音フェチ]",/watch?v=mrZ3OrzTsbk,216,EggHobb,,,2484,9
"[Stop Motion Cooking]FakeApple and FakeOrange Tea[音フェチ,ASMR]",/watch?v=7OuIrQzmQLo,76,EggHobb,,,2484,3
"[Stop Motion Cooking]Marble[ASMR,音フェチ]",/watch?v=3ausz40HsaM,296,EggHobb,,,2484,12
"[Stop Motion Cooking]Pin's""SASHIMI""【音フェチ,ASMR】",/watch?v=S6tezmLlc4A,731,EggHobb,,,2484,29
"[Stop Motion Cooking]Star full-course meal [音フェチ,ASMR]",/watch?v=Zz2DieAYvjk,87,EggHobb,,,2484,4
"[Stop Motion Cooking]Cotton candy Tea[ASMR,音フェチ]",/watch?v=uwx2nRFMTk8,193,EggHobb,,,2484,8
[Stop Motion Cooking]クリボーのスライス焼き,/watch?v=aN0PyliKd0M,114,EggHobb,,,2484,5
[Stop Motion Cooking]Block Salad,/watch?v=BmE4p7UMPqM,563,EggHobb,,,2484,23
"[Stop Motion Cooking]Leaf steak【音フェチ,ASMR】",/watch?v=WXbIHZZ3G_k,492,EggHobb,,,2484,20
