title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
[ASMR]工芸茶[お茶][リラックス]No talking,/watch?v=IYppAzUgo-A,276,Ich,134,,1496,18
[ASMR]チキンのトマト煮込みパスタとシーチキンとコーンのサラダ[咀嚼音][夜食]Eating sounds/No talking,/watch?v=NM4P5hyoTFg,1538,Ich,134,,1496,103
[ASMR]梅酒とえだまめとたくあん[咀嚼音][お酒]Eating sounds/No talking,/watch?v=OW00ISzHO1I,468,Ich,134,,1496,31
[ASMR]ビールとちくわとポテチ[咀嚼音][お酒]Eating sounds/No talking,/watch?v=wDhB6GQ7bTU,653,Ich,134,,1496,44
[ASMR]カルボナーラ[咀嚼音][夜食]Eating sounds/No talking,/watch?v=xvEC_fukLQU,2833,Ich,134,,1496,189
[ASMR]焼きそば＆たこ焼き[咀嚼音][夜食]Eating sounds/No talking,/watch?v=NBiQbl0sVfY,1280,Ich,134,,1496,86
[ASMR]やきそば２[咀嚼音][夜食]Eating sounds/No talking,/watch?v=4Yw4T6zEzcg,315,Ich,134,,1496,21
[ASMR]いもけんぴ[咀嚼音][おやつ][紙の音]Eating sounds/No talking,/watch?v=g7fBzcDS860,651,Ich,134,,1496,44
[ASMR]チャーハンと野菜スティック[咀嚼音][夜食]Eating sounds/No talking,/watch?v=CZfR0AedVSw,240,Ich,134,,1496,16
[ASMR]トーストとミルクティー[咀嚼音][朝食]Eating sounds/No talking,/watch?v=qxdeEYWLoVg,593,Ich,134,,1496,40
[ASMR]ハンドマッサージ＆ネイルケア[音フェチ]No talking,/watch?v=IZ7YgoXsj1I,823,Ich,134,,1496,55
[ASMR]ラーメン[咀嚼音][夜食]Eating sounds/No talking,/watch?v=MC9Nk-3h-Zs,11375,Ich,134,,1496,760
[ASMR]プリン・アーモンドチョコ・玄米茶[咀嚼音][おやつ]Eating sounds/No talking,/watch?v=lyqDQN5DsnM,358,Ich,134,,1496,24
[ASMR]たこ焼き[咀嚼音][夜食]Eating sounds/No talking,/watch?v=oa2r0iBFg2M,1022,Ich,134,,1496,68
[ASMR]やきそば[咀嚼音][夜食]Eating sounds/No talking,/watch?v=6I51tbFPxNk,605,Ich,134,,1496,40
[ASMR]たくあん[咀嚼音][夜食]Eating sounds/No talking,/watch?v=QZ-vMGzdEgE,910,Ich,134,,1496,61
