title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【可愛い犬達の遊び】小さいボール争奪戦！ 虎視眈々と狙う犬,/watch?v=AashVnHvBk0,2,K et K,5,4日前,10,20
【癒し動画】ごはん待ちの２匹が可愛くて仕方ない…♡,/watch?v=zKtdM9fP8Og,5,K et K,5,1週間前,10,50
【かわいい悪戯】ちょっとした旦那の嫌がらせが可愛い♡,/watch?v=GBGz7fc7bC4,3,K et K,5,2週間前,10,30
【ASMR】犬の咀嚼音 干し魚を一気食いするサクサク音♬,/watch?v=HDOIrOpGFNc,50,K et K,5,3週間前,10,500
【おもしろ動画】おやつを取りたいのに、まさかの鼻息で…！！,/watch?v=dqCHGrrsz6s,2,K et K,5,3週間前,10,20
【癒し動画】嫉妬かな…？小雪を呼んだら、カイトが…（笑）,/watch?v=awoHAiDuwas,0,K et K,5,3週間前,10,0
ショック…！ 連休初日にとうとう脱走に成功した犬,/watch?v=XxjmAqT6Yus,4,K et K,5,4週間前,10,40
暑すぎる！！犬も水のガブ飲みが止まらない！,/watch?v=PuehAyIkLN4,0,K et K,5,1か月前,10,0
かわいい靴泥棒♡ なんでかカイトは旦那の靴が好き。,/watch?v=D7h9CnhMEss,0,K et K,5,1か月前,10,0
元気いっぱい！ 北海道犬のワンプロは見ていて飽きません。,/watch?v=W7F3dZwT1G0,9,K et K,5,1か月前,10,90
【衝撃！】愛犬が、芝生をカリカリし続けたので…,/watch?v=Uh3w5EOgvms,5,K et K,5,1か月前,10,50
飲み物じゃありません！滅多にあたらない極太アキレスを…,/watch?v=7txjY1sEBIM,1,K et K,5,1か月前,10,10
可愛すぎ♡ 大好物の鹿肉ジャーキーを待てないカイト君,/watch?v=SjVa9tBRTLY,7,K et K,5,1か月前,10,70
【ショック】もう笑えない… 脱走防止の柵を開ける犬。,/watch?v=qv8oYMlS8lU,9,K et K,5,1か月前,10,90
かわいい♡ 鹿のアキレス食べたいひと～♪,/watch?v=qI4-w8pn678,6,K et K,5,1か月前,10,60
恐るべし子犬の身体能力！ 脱走犯カイトがとうとう…,/watch?v=Xfv-wO-V3sQ,3,K et K,5,1か月前,10,30
【嫉妬する犬】ちょっと子犬にばかりかまっていたら…,/watch?v=IllHTpu30NI,15,K et K,5,1か月前,10,150
【子犬の執念】笑っちゃいけないのに、ラストで笑ってしまう脱獄犬,/watch?v=QSbfbDwPW1Y,5,K et K,5,1か月前,10,50
【癒し動画】北海道犬のこいぬが「へそ天」で眠る姿が可愛すぎる♡,/watch?v=4qi2puJpkKE,21,K et K,5,1か月前,10,210
ちょっと笑える『僕の邪魔しないで！』 カワイイんだけど…。笑。,/watch?v=dyK5IDHPomI,1,K et K,5,1か月前,10,10
必死…！ 手で押さえて鹿角が食べたいけど、エリカラが邪魔で…！,/watch?v=55QFvQNhvPc,3,K et K,5,1か月前,10,30
脱走したい子犬の知恵がすごい・・・！,/watch?v=H3NkRB96GYE,9,K et K,5,1か月前,10,90
脱走したい『こいぬ』がとった行動がかわいくて笑える・・・！,/watch?v=7VP_XwHV2-E,7,K et K,5,1か月前,10,70
【癒し動画】かわいい…！ 呼んだら振り返る…♡ 見返り美人な小雪さん,/watch?v=NUDh3-qnHbg,0,K et K,5,1か月前,10,0
ちょっと笑える早業？！ 『犬のエリカラ』が・・・？！,/watch?v=hmKbbkOvYGs,3,K et K,5,1か月前,10,30
【癒し動画】か、かわいい…　どうしよう、この犬…　How cute you are...,/watch?v=cYR0yylAlXk,27,K et K,5,1か月前,10,270
かわいい♡ みてるだけで癒される 小雪の毛繕いがまるで猫♪,/watch?v=RFAnvyfC3kA,6,K et K,5,1か月前,10,60
チビの頃は可愛かった！今はもう…笑うしかない　~Quickle KAITO~,/watch?v=OMUINMd2GNc,5,K et K,5,1か月前,10,50
【かわいい】鹿角の噛み方講座　~ How to chew your deer antler?? ~,/watch?v=Y5pwR_vqnvY,2,K et K,5,2か月前,10,20
いつもの朝が来た。～The usual morning came...～,/watch?v=sQwseZEtWBw,6,K et K,5,2か月前,10,60
可愛すぎるお手て！欲しい人！で『はーい』する子犬,/watch?v=fndrDw9Maas,17,K et K,5,2か月前,10,170
可愛いお返事犬『カイト』はこうして成長しました,/watch?v=b-pFOFH64gI,16,K et K,5,2か月前,10,160
こいぬと遊ぼう♪ 犬だけど『猫じゃらし』がお気に入り♡,/watch?v=xNv0cgGtxZg,7,K et K,5,2か月前,10,70
可愛すぎて笑える！『こいぬ』が覚えた降参ポーズ,/watch?v=M-nABzFyuXE,23,K et K,5,2か月前,10,230
北海道犬の小雪が突然やってきた子犬に『甘噛み講座』開始！,/watch?v=WdsAXqNJU1E,60,K et K,5,2か月前,10,600
かわいい誤算♡ こいぬは服が脱ぎたいだけだったのに…！特技がひとつ増えました♪,/watch?v=D4HHIg3jw94,11,K et K,5,2か月前,10,110
癒される… 仲良くおもちゃをシェアする2匹♡,/watch?v=EFhZRP14Y1o,9,K et K,5,2か月前,10,90
