title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【音フェチ】耳かきとリンゴ【ASMR】,/watch?v=9N6ZLwceF-Q,274,KOMACHI NEW,1570,1日前,643,43
【音フェチ】箱の文字をシャーペンで【ASMR】,/watch?v=whxMS0uqL7c,302,KOMACHI NEW,1570,2日前,643,47
【盛岡駅】秋田・東北新幹線の発着や連結・分割シーン 2020/8/16,/watch?v=UZTVEQU9-A4,326,KOMACHI NEW,1570,3日前,643,51
【秋田新幹線】臨時列車 こまち54号 盛岡へ 2020/8/16,/watch?v=IO8LNDHnHMs,212,KOMACHI NEW,1570,4日前,643,33
【音フェチ】色々な製品の蓋の開閉音【ASMR】,/watch?v=rIkVsN6FWYc,575,KOMACHI NEW,1570,1週間前,643,89
【音フェチ】シャーペンで箱の文字をなぞる【ASMR】,/watch?v=HiwylFbWySs,1822,KOMACHI NEW,1570,1週間前,643,283
【音フェチ】ボールペンでマイクに触れる【ASMR】,/watch?v=odFfH5tBpBA,609,KOMACHI NEW,1570,1週間前,643,95
【秋田駅】秋田新幹線を眺めに行ってきた 2020/8/10,/watch?v=E8QlW1ySUPE,184,KOMACHI NEW,1570,1週間前,643,29
【音フェチ】打鍵音　キーボードを叩く音【ASMR】,/watch?v=i7a7fxMaei8,482,KOMACHI NEW,1570,1週間前,643,75
【音フェチ】タオルを引っ掻く音【ASMR】,/watch?v=0JNovAWH30M,455,KOMACHI NEW,1570,2週間前,643,71
【音フェチ】リモコンを引っ掻く音【ASMR】,/watch?v=yQgSUD9sH7M,494,KOMACHI NEW,1570,2週間前,643,77
【音フェチ】耳かきで箱の文字をなぞる音【ASMR】,/watch?v=0kp4Znq1CzQ,1261,KOMACHI NEW,1570,2週間前,643,196
【車窓】東北新幹線はやぶさ・こまち21号 仙台→盛岡 2020/7/27,/watch?v=crqTom0kkn4,293,KOMACHI NEW,1570,2週間前,643,46
【仙台駅】東北新幹線の発着シーン 2020/7/27,/watch?v=y-mMFG2lWXk,648,KOMACHI NEW,1570,2週間前,643,101
【車窓】東北新幹線やまびこ131号 福島→仙台 2020/7/27,/watch?v=uaoxTQv-uX8,223,KOMACHI NEW,1570,3週間前,643,35
福島駅　東北新幹線の高速通過×3本 2020/7/27,/watch?v=2qk-lwPpuYk,318,KOMACHI NEW,1570,3週間前,643,49
【夜・福島駅】山形・東北新幹線の発着・連結・通過集 2020/7/26,/watch?v=oOQ4d2ZaTxo,531,KOMACHI NEW,1570,3週間前,643,83
【郡山駅】山形・東北新幹線の発着や通過シーン 2020/7/26,/watch?v=Csx-dwD76kY,547,KOMACHI NEW,1570,3週間前,643,85
