title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【大食い企画】マック全種類食べてみた!!,/watch?v=KiV6eKfbi7I,440,KYAMきゃむ,4050,13時間前,1055,42
超神秘的な場所に行ってきた!!口コミでチャンネル登録100万人いくまで帰れません!!【18日目】,/watch?v=pjWchrdK7vc,1046,KYAMきゃむ,4050,1日前,1055,99
涙が止まらない...別れそして。。。口コミでチャンネル登録100万人いくまで帰れません!!【17日目】,/watch?v=hCrmC-zPN5M,1538,KYAMきゃむ,4050,2日前,1055,146
【モテネイル】KYAMの指先がめちゃくちゃ可愛くなりました!!,/watch?v=cUi1BrX29Sw,1764,KYAMきゃむ,4050,4日前,1055,167
鹿児島の司会者・タレント四位笙子さんと白熊早食い対決!!負けたら自腹!?,/watch?v=IzuLNuldOjg,683,KYAMきゃむ,4050,5日前,1055,65
あのナニコレ？劇団さんと三番勝負!!衝撃のラスト！！,/watch?v=SGcykHoLiJw,578,KYAMきゃむ,4050,6日前,1055,55
KYAM TOKYO DRIFT FREESTYLE 🔥,/watch?v=DZp8ejvZwdo,1897,KYAMきゃむ,4050,1週間前,1055,180
KYAMが全身に絵具を塗り出しました...口コミでチャンネル登録100万人いくまで帰れません!!【16日目】,/watch?v=drIMy4aj0Ec,2177,KYAMきゃむ,4050,1週間前,1055,206
驚きと感動の鹿児島最終日!!口コミでチャンネル登録100万人いくまで帰れません!!【15日目】,/watch?v=CB2eGncavaI,565,KYAMきゃむ,4050,1週間前,1055,54
【検証】初心者がドラマーに教えてもらったら1時間でどれだけ叩けるようになるか,/watch?v=HTsB1XG7_es,381,KYAMきゃむ,4050,1週間前,1055,36
桜島で温泉行ったらヤバすぎた!!口コミでチャンネル登録100万人いくまで帰れません!!【14日目】,/watch?v=Xl6GxeB8qoQ,2226,KYAMきゃむ,4050,1週間前,1055,211
目隠しゴチ対決!!自分の舌を信じろ!!,/watch?v=J1QUW2L6OQo,433,KYAMきゃむ,4050,1週間前,1055,41
本物のワニ食べてみた!!口コミでチャンネル登録100万人いくまで帰れません!!【#13日目】,/watch?v=Fw7ruQxLYGA,593,KYAMきゃむ,4050,2週間前,1055,56
『防護服が全てを救う!?in熊本』口コミでチャンネル登録100万人いくまで帰れません!!【#12日目】,/watch?v=1Crxo9XCioU,659,KYAMきゃむ,4050,2週間前,1055,62
KYAM忍者になって暴走!?口コミでチャンネル登録100万人いくまで帰れません!!【#11日目】,/watch?v=wD617ji7Hxc,418,KYAMきゃむ,4050,2週間前,1055,40
『何度も家に入ってくる奴』,/watch?v=sB5JJPGfwmM,484,KYAMきゃむ,4050,2週間前,1055,46
【検証】米一粒なら無限に食べれるんじゃないか説!!,/watch?v=iRv0979BPZI,546,KYAMきゃむ,4050,2週間前,1055,52
遂にKYAMが...【#10日目】,/watch?v=IhsN_chkes4,1097,KYAMきゃむ,4050,3週間前,1055,104
噂のYouTuberコメスケさんと3番勝負!!KYAM大勝利なるか!?,/watch?v=mw2qpIhSuas,656,KYAMきゃむ,4050,3週間前,1055,62
チームKYAMのなちゅ合流!!2人の力で一気に増やせるのか!?口コミでチャンネル登録100万人いくまで帰れません!!【#9日目】,/watch?v=dY9HPMEICsQ,877,KYAMきゃむ,4050,3週間前,1055,83
サッカー元日本代表遂に登場!?in大分県!!口コミでチャンネル登録100万人いくまで帰れません!!【#8日目】,/watch?v=Bp6qu8KEzN4,696,KYAMきゃむ,4050,3週間前,1055,66
イケイケギャルとファッションコーデ対決!!負けたら服代全額自腹!!勝つのは!?,/watch?v=z3GhAbRyFz4,796,KYAMきゃむ,4050,3週間前,1055,75
宮崎県突入!!サッカー元日本代表とコラボ確定!?口コミでチャンネル登録100万人いくまで帰れません!!【#6日目】,/watch?v=nwdfHxHCVgc,640,KYAMきゃむ,4050,3週間前,1055,61
遂にTV局が取材に!?結果TV出演か!!口コミでチャンネル登録100万人いくまで帰れません!!【#5日目】,/watch?v=mlNTAgjKkI0,922,KYAMきゃむ,4050,3週間前,1055,87
大流行したぶーしゃかLoopの発案者！拳斗くんに突撃インタビューしたら・・・,/watch?v=gB5UT91lDE8,1625,KYAMきゃむ,4050,4週間前,1055,154
初ヒッチハイク!!完全スルーの中奇跡は起きるのか!?口コミでチャンネル登録100万人いくまで帰れません!!【#4日目】,/watch?v=sbVniMAlex0,1312,KYAMきゃむ,4050,4週間前,1055,124
1日数百円？？生活できるか不明!!口コミでチャンネル登録100万人いくまで帰れません!!【#3日目】,/watch?v=mgacMIJaIbs,957,KYAMきゃむ,4050,4週間前,1055,91
緊急事態！？泊まる宿がない!!口コミでチャンネル登録100万人いくまで帰れません!!【#2日目】,/watch?v=r9c2rrAV1vY,1122,KYAMきゃむ,4050,1か月前,1055,106
口コミでチャンネル登録100万人いくまで帰れません！？増えた数×５円で生活！？【#1日目】,/watch?v=ylU-rSbJYb0,1979,KYAMきゃむ,4050,1か月前,1055,188
【罰ゲーム】18禁カレーを一気に食べたら、全員地獄行きに！？,/watch?v=8GKKaR7i6TA,987,KYAMきゃむ,4050,1か月前,1055,94
【ドッキリ】女4人でチーズダッカルビを食べたら、まさかの女の騙し合いに!?,/watch?v=EGynPGln0WU,627,KYAMきゃむ,4050,1か月前,1055,59
【ドッキリ】撮影中に胸が大きくなったら気づく？？,/watch?v=wa-U5fVzpYs,1194,KYAMきゃむ,4050,1か月前,1055,113
20代運動不足女子がプロ格闘家のトレーニングクリアするまで帰れまセン！,/watch?v=-biavCaX7rA,1065,KYAMきゃむ,4050,1か月前,1055,101
【ギネス記録】桜木花道で「まばたき我慢選手権」に挑戦！！,/watch?v=takInaa4eEA,329,KYAMきゃむ,4050,1か月前,1055,31
【占い】性格と恋愛傾向が丸わかり！ソウルナンバーをやってみたら、ミラクル続出！？,/watch?v=0cOVzbLGjf4,436,KYAMきゃむ,4050,1か月前,1055,41
【ドッキリ】目の前でおかしなこと起こり続けたらが、突っ込むのか！？,/watch?v=yWqfRl9ajp8,464,KYAMきゃむ,4050,1か月前,1055,44
【ASMR】ケンタッキーのサクサクチキンを食べてみた【咀嚼音】,/watch?v=eMUFlzXh1hA,390,KYAMきゃむ,4050,1か月前,1055,37
【ドッキリ】いきなり後ろから人が出てくるの1番怖い説,/watch?v=Ka-WnZFTVcA,486,KYAMきゃむ,4050,1か月前,1055,46
【ドッキリ】21歳社長に人が入れ替わるドッキリをかけたらまさかの展開に！？ｗｗｗ,/watch?v=geFiO2fx0DA,861,KYAMきゃむ,4050,1か月前,1055,82
香水／瑛人【covered by (きゃむ女版エガちゃん)】,/watch?v=ycnIEzU8guQ,693,KYAMきゃむ,4050,1か月前,1055,66
【１０分で本気で練習して歌ってみた】夜に駆ける/YOASOBI【THE FIRST TAKE】,/watch?v=VEK2NWNcZCY,374,KYAMきゃむ,4050,1か月前,1055,35
【ギネス記録】股間のチャック上げ下げに挑戦したら、出てしまった…,/watch?v=Qhx6c-dlCng,2009,KYAMきゃむ,4050,1か月前,1055,190
【歌ってみた】紅蓮華 / LiSA【鬼滅の刃】,/watch?v=Usj4PsiH-6o,838,KYAMきゃむ,4050,1か月前,1055,79
【tinder】男性のプロフィールを辛口チェック中に、まさかのカップル成立!?,/watch?v=WCPbQz88-yw,1220,KYAMきゃむ,4050,1か月前,1055,116
【挑戦】口コミでチャンネル登録100万人いくまで帰れませんの旅スタート！,/watch?v=SCfrXl5xaVI,5652,KYAMきゃむ,4050,1か月前,1055,536
【ハニートラップ】女の子がうめちゃんをホテルに誘ったら驚きの結果に！？【疑惑の福岡出張】,/watch?v=ltm5jgBhTJU,1274,KYAMきゃむ,4050,1か月前,1055,121
【大食い】駄菓子屋で１万円分食べきれるまで帰れま10!!!!!をしたら感動の結末に！？夢を叶えます。,/watch?v=45Rs5J0V23c,578,KYAMきゃむ,4050,1か月前,1055,55
【ASMR】スライムをこねる音が最高すぎる件について,/watch?v=upEWVg4YS6s,205,KYAMきゃむ,4050,1か月前,1055,19
【ASMR】女４人で１番「イイ音」出せるか勝負したらまさかの事態に！？,/watch?v=k5P9J9VNrNo,1053,KYAMきゃむ,4050,1か月前,1055,100
【ドッキリ】いつもこき使われているので、KYAMに目隠ししてデスソースを飲ましてみた！,/watch?v=7u7DqdBsFOU,358,KYAMきゃむ,4050,1か月前,1055,34
【女子必見】どの自撮りアプリが１番盛れる？？2020年最新版!!,/watch?v=XclMyjy2CSs,1266,KYAMきゃむ,4050,1か月前,1055,120
【初コラボ!!】リアクション最強の梅ちゃんとフリスク早食い対決をしたら奇跡が！？,/watch?v=onEPNN7kxeY,1801,KYAMきゃむ,4050,1か月前,1055,171
【腹痛注意】変な食べ物を組み合わせてみたら、激マズな食べ物が完成した。,/watch?v=5DUpPDfo1W4,261,KYAMきゃむ,4050,1か月前,1055,25
【小学生にドッキリ!!】100万円とスイッチ、どちらを選ぶか。感動的な結末に。,/watch?v=z8ESGUB_jiA,421,KYAMきゃむ,4050,1か月前,1055,40
【女版江頭2:50】えがシャチホコを目指したら、伝説のポーズが誕生した。,/watch?v=i8sTeXPepGY,739,KYAMきゃむ,4050,2か月前,1055,70
【不倫】女子4人から、伝えたいことがあります。,/watch?v=SHotdpb3rFM,1432,KYAMきゃむ,4050,2か月前,1055,136
新罰ゲーム！目出しマスクで顔面大爆発やってみたらヤバすぎた！【エガちゃんシリーズ】,/watch?v=Fi5feCYvmS4,413,KYAMきゃむ,4050,2か月前,1055,39
玉ねぎ早食いの世界記録に女版エガちゃんが挑戦したら衝撃の結果に！,/watch?v=qi201tkFebI,773,KYAMきゃむ,4050,2か月前,1055,73
【エガちゃん超え!?】コーラノーハンド一気。伝説にチャレンジ!!【神動画誕生】,/watch?v=1w_Uj0F7MW8,1250,KYAMきゃむ,4050,2か月前,1055,118
【挑戦】女版江頭2:50、YouTubeに参上！コンプラなんて〇〇〇〇〇!!!,/watch?v=-t9XRq33FRI,3064,KYAMきゃむ,4050,2か月前,1055,290
【ドッキリ】給与で700万円あげてみたら、まさかの結末に！？,/watch?v=i7_vCxlQ4CE,1936,KYAMきゃむ,4050,2か月前,1055,184
【tiktokで話題】女4人でネチョネチョ飴作ったら、驚きの結果に!?!?!?,/watch?v=lMCDAELVJW0,1364,KYAMきゃむ,4050,2か月前,1055,129
【地雷メイク】地雷系女子に初挑戦!!予想以上に似合い過ぎてた!?,/watch?v=5w4zUh88xYY,588,KYAMきゃむ,4050,2か月前,1055,56
【斎藤さん】女4人でコロナについて聞いたらや◯ざが出てきたwww,/watch?v=uG88-4rIbEU,5528,KYAMきゃむ,4050,2か月前,1055,524
【ASMR】初めてのパリパリ板チョコアイス。,/watch?v=G5X0K-AahCk,644,KYAMきゃむ,4050,2か月前,1055,61
【検証】ヤクルト30本、ペットボトルに移したら一気飲みできる説。,/watch?v=8eUjBJ0xpos,4012,KYAMきゃむ,4050,2か月前,1055,380
【大正生まれ】山に乗り込んで野苺ジャムを作ってみた。with 98歳Youtuber,/watch?v=Ag8vmEy7tQE,276,KYAMきゃむ,4050,2か月前,1055,26
【料理動画】17ライバーがたけのこを美味しく調理する動画。,/watch?v=1nkzcEgAhuo,180,KYAMきゃむ,4050,2か月前,1055,17
【対コロナウイルス】免疫力を高める料理『キムチ炒飯』を作って、美味しく食べる動画。,/watch?v=IYXLQ4PUJfk,132,KYAMきゃむ,4050,3か月前,1055,13
【ゲロ不可避】17ライバーがバナナスプライトをチャレンジしてみた！！,/watch?v=ic-tpDtzeU0,2489,KYAMきゃむ,4050,3か月前,1055,236
大量ゲット！？ほのぼのタケノコ掘り!!,/watch?v=mptpkT5SDuw,262,KYAMきゃむ,4050,3か月前,1055,25
大漁なるか!?KYAM(きゃむ)初めてのほのぼの穴釣り動画!,/watch?v=AoiHv1FjouM,944,KYAMきゃむ,4050,4か月前,1055,89
