title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【チョコバナナパンケーキ 】グルテンフリーの米粉パンケーキをいただきます。 | KuraEats,/watch?v=xcB8cPrjHHw,56,KuraE,23,,88,64
【チーズインハンバーグ】ハンバーグレストランの元アルバイトが作りました。 | KuraEats,/watch?v=7s4ADdm12zI,34,KuraE,23,,88,39
ASMR EggSandwich タマゴサンド EATING SOUNDS 咀嚼音 モッパン NoTalking | KuraEats,/watch?v=rhw1mh-ztsU,194,KuraE,23,,88,220
ASMR SpicyNoodle 辛ラーメン EATING SOUNDS 咀嚼音 モッパン NoTalking | KuraEats,/watch?v=MYBc710HPLU,41,KuraE,23,,88,47
ASMR Honey Toast ハニートースト EATING SOUNDS 咀嚼音 モッパン NoTalking | KuraEats,/watch?v=3o2tWEs1aLI,159,KuraE,23,,88,181
ASMR PIZZA ピザ 咀嚼音 EATING SOUNDS | KuraEats,/watch?v=xEsEVnZ7cLE,47,KuraE,23,,88,53
ASMR Gyoza 餃子 咀嚼音 EATING SOUNDS | KuraEats,/watch?v=p2nqZdwq1zQ,44,KuraE,23,,88,50
ASMR Japanese McDonald's マクドナルド 咀嚼音 EATING SOUNDS | KuraEats,/watch?v=_YZ2UK_MGTc,785,KuraE,23,,88,892
ケトルチップス 大人気ハニーディジョン味を実食！ | KuraEats,/watch?v=dhX9c32HWq0,16,KuraE,23,,88,18
ASMR Chicken nuggets チキンナゲット 咀嚼音 EATING SOUNDS | KuraEats,/watch?v=UhmtVCM15HE,11,KuraE,23,,88,12
卵を贅沢に5個使って卵焼きを作りました！卵好きにはたまらない。 | KuraEats,/watch?v=XhYTMv52qfw,26,KuraE,23,,88,30
ASMR KETTLE chips ケトルチップス  EATING SOUNDS 咀嚼音 モッパン NoTalking | KuraEats,/watch?v=JbeFn_zNbv0,20,KuraE,23,,88,23
スーパーのシュークリームを焼いたら絶品スイーツに生まれ変わりました！Cream puff | KuraEats,/watch?v=uyAAXkE3KF8,27,KuraE,23,,88,31
ASMR French toast フレンチトースト EATING SOUNDS 咀嚼音 モッパン NoTalking | KuraEats,/watch?v=_FvhNIq3Qug,58,KuraE,23,,88,66
チーズタッカルビ？ダッカルビ？を作ってみたら美味しかった。 | KuraEats,/watch?v=Qiqc-Tc4D2Q,30,KuraE,23,,88,34
ASMR BIG FRIED CHICKEN フライドチキン 咀嚼音 EATING SOUNDS | KuraEats,/watch?v=HdkAo_0QA2o,31,KuraE,23,,88,35
ネギ塩唐揚げ丼を作ってみた。| KuraEats,/watch?v=dfdw6eQAj0M,33,KuraE,23,,88,38
ASMR みたらし団子＆こしあん団子 咀嚼音 DANGO EATING SOUNDS | KuraEats,/watch?v=7D-1FO91kdw,103,KuraE,23,,88,117
鶏もも肉とねぎの焼き鳥丼が美味しすぎる | KuraEats,/watch?v=LdZfxWYqnmE,36,KuraE,23,,88,41
ハンバーグレストランの元アルバイトが作ったチーズハンバーグ。美味しすぎる。 | KuraEats,/watch?v=YYNDL1cqmEo,66,KuraE,23,,88,75
ASMR カツサンド KATSU-SAND EATING SOUNDS 咀嚼音 モッパン NoTalking | KuraEats,/watch?v=WU93EmA55N4,47,KuraE,23,,88,53
ASMR ChocolatePancakes チョコバナナパンケーキ EATING SOUNDS 咀嚼音 モッパン NoTalking | KuraEats,/watch?v=EplZ51nBcD4,119,KuraE,23,,88,135
お好み焼き 咀嚼音 ASMR Okonomiyaki EATING SOUNDS  MUKBANG NoTalking | KuraEats,/watch?v=CB0hp-x1w7A,44,KuraE,23,,88,50
ASMR Bacon&Egg ScrambledEgg ベーコンエッグ スクランブルエッグ 咀嚼音 EATING SOUNDS MUKBANG NoTalking | KuraEats,/watch?v=Xl4lb08BZtE,25,KuraE,23,,88,28
ASMR 大福 咀嚼音 DAIFUKU EATING SOUNDS MUKBANG NoTalking | KuraEats,/watch?v=44wL9adB-yM,54,KuraE,23,,88,61
ASMR 親子丼 咀嚼音 Oyoko-don EATING SOUNDS MUKBANG NoTalking | KuraEats,/watch?v=NcnalcWQgIw,48,KuraE,23,,88,55
ASMR RICE OMELET デミグラスオムライス 咀嚼音 EATING SOUNDS MUKBANG NoTalking | KuraEats,/watch?v=S55yaAhgndw,46,KuraE,23,,88,52
ASMR TERIYAKI CHICKEN 照り焼きチキン 咀嚼音 EATING SOUNDS MUKBANG NoTalking | KuraEats,/watch?v=QTCWA6mx6X4,40,KuraE,23,,88,45
ASMR  ミルクレープ CREPE CAKE 咀嚼音 EATING SOUNDS mille crepe MUKBANG NoTalking | KuraEats,/watch?v=jcap1zFE_1Q,97,KuraE,23,,88,110
ASMR ポップコーン 塩味 咀嚼音 Salt Popcorn EATING SOUNDS  MUKBANG NoTalking | KuraEats,/watch?v=3AyquDtdS-4,27,KuraE,23,,88,31
ASMR TKG 卵かけご飯 咀嚼音 Raw Egg on Rice EATING SOUNDS  MUKBANG NoTalking | KuraEats,/watch?v=R1JEpJlv9-w,192,KuraE,23,,88,218
ASMR よもぎ餅 咀嚼音 MUGWORT RICE CAKE EATING SOUNDS | KuraEats,/watch?v=SoW9HUVZeuA,114,KuraE,23,,88,130
ASMR POTATO CROQUETTE EATING SOUNDS コロッケ 咀嚼音 MUKBANG NoTalking | KuraEats,/watch?v=xQdNUxhMK5o,38,KuraE,23,,88,43
ASMR メープルパンケーキ 咀嚼音 MAPLE PANCAKE EATING SOUNDS  MUKBANG NoTalking | KuraEats,/watch?v=ab9PTPD-pM4,163,KuraE,23,,88,185
ASMR FRIED CHICKEN 唐揚げ 咀嚼音 EATING SOUNDS | KuraEats,/watch?v=CKGFcUNiD8I,251,KuraE,23,,88,285
ASMR 炒飯 咀嚼音 FRIED RICE EATING SOUNDS チャーハン 炒飯 咀嚼音| KuraEats,/watch?v=vrkQ0F97FfY,58,KuraE,23,,88,66
