title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ASMR inaudible 👄👀,/watch?v=FZ_AtqZEjPc,128358,Lila A,76300,,148600,86
ASMR mouth sounds 👄,/watch?v=PPZvrOtoADs,272859,Lila A,76300,,148600,184
ASMR novia celosa Roleplay /asmr en español,/watch?v=H2zIrVv3cSw,129828,Lila A,76300,,148600,87
Fails de ASMR XD (lee la descripcion 👇),/watch?v=CtOsnXD37OI,69486,Lila A,76300,,148600,47
ASMR Para dormir profundamente/ Meditación guiada,/watch?v=iPX6xPdUIGc,120926,Lila A,76300,,148600,81
ASMR en español / Roleplay tú bien y mal te aconsejan en ruptura amorosa,/watch?v=k9IJv7h_UTM,80693,Lila A,76300,,148600,54
ASMR en español / ROLEPLAY limpieza facial,/watch?v=lWfs-iOsXjA,119439,Lila A,76300,,148600,80
ASMR I help you sleep / te ayudo a dormir,/watch?v=sJpHnnfDVzc,114425,Lila A,76300,,148600,77
ASMR en español / contestando preguntas,/watch?v=qshP6qSHkuU,114351,Lila A,76300,,148600,77
ASMR en español / tú novia te cuida Roleplay,/watch?v=uoX4O3Dc48c,213549,Lila A,76300,,148600,144
ASMR con nubes 😱/ Cloudees ❤️ /lila asmr,/watch?v=2tQ1vOySBVU,61941,Lila A,76300,,148600,42
ASMR en español / lipstick application👄💄,/watch?v=VOueZaA0zT0,107114,Lila A,76300,,148600,72
ASMR en español para dormir / te ayudo a sentir ASMR,/watch?v=tln_I-jPZ5I,114903,Lila A,76300,,148600,77
ASMR en español /peinando mi cabello 👩🏻‍🦱,/watch?v=ZB8XsYz9700,90927,Lila A,76300,,148600,61
ASMR morra de los plumones •Roleplay•,/watch?v=w4SdlLdb8l0,171594,Lila A,76300,,148600,115
ASMR respondiendo sus preguntas ~,/watch?v=JH6MwHkkwJs,166894,Lila A,76300,,148600,112
ASMR Barbería /manicura Roleplay•,/watch?v=fCsTYuUTs6s,141998,Lila A,76300,,148600,96
ASMR tú mejor amiga te consiente •,/watch?v=gDVvN410xnk,152382,Lila A,76300,,148600,103
ASMR proyecto abigail (hilo),/watch?v=79zcFrPoHRs,107756,Lila A,76300,,148600,73
ASMR duerme en 10 minutos,/watch?v=KD5eQAM3ge8,190998,Lila A,76300,,148600,129
ASMR inaudible / lectura inaudible ❤️,/watch?v=_e-fqI_SgsY,188577,Lila A,76300,,148600,127
ASMR examen nervios craneales,/watch?v=Z_SqyDROwt4,289298,Lila A,76300,,148600,195
ASMR #storytime me engaño con su ex,/watch?v=uTm433E68SU,166444,Lila A,76300,,148600,112
ASMR sonidos relajantes •lila asmr•,/watch?v=vfG0gWyqWmY,87258,Lila A,76300,,148600,59
ASMR tú novia te cuida,/watch?v=06TNFfuBobE,180407,Lila A,76300,,148600,121
ASMR Maquillaje •roleplay•,/watch?v=cJTbYPQfQ2I,64688,Lila A,76300,,148600,44
ASMR peluquería •roleplay •,/watch?v=UiSiwtvhuwY,114841,Lila A,76300,,148600,77
ASMR abducción extraterrestre 👽❤️,/watch?v=yz7AyxemLkM,59363,Lila A,76300,,148600,40
ASMR DUERME❤️ •lila asmr•,/watch?v=XNtkMtXwXog,164048,Lila A,76300,,148600,110
ASMR SPA (con antipática ) roleplay •lila asmr •,/watch?v=boLbv3DN8uU,66829,Lila A,76300,,148600,45
ASMR Chica se te declara •roleplay• lila asmr,/watch?v=PgZ6PWiUNqQ,331738,Lila A,76300,,148600,223
ASMR NOVIA CELOSA (roleplay) •lila asmr•,/watch?v=Q7sLqmrX-4k,371286,Lila A,76300,,148600,250
