title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【闇】酔っ払いがアイシースライム作ってみた【BGM有り】,/watch?v=FMIaXaG7j-U,37491,MAO ASMR/まおすけ,16100,1週間前,20728,181
【開封】スライム購入品紹介【BGMあり】MILKY WAY slime shop,/watch?v=1923gPRi0x4,8309,MAO ASMR/まおすけ,16100,1週間前,20728,40
【検証】半年前のスライムを救いたいんだけど…【BGMあり】,/watch?v=lM7lsQLAa0U,27318,MAO ASMR/まおすけ,16100,2週間前,20728,132
【ASMR】2色のクリアスライムを混ぜる 2 Color Slime Mixing 史莱姆 슬라임/No talking ASMR【音フェチ】,/watch?v=xJAVBIOZ_tM,39638,MAO ASMR/まおすけ,16100,2週間前,20728,191
【闇】酔っ払いが夏をイメージしたスライムを作ってみた【BGM有り】,/watch?v=4x3ynvupDO4,65879,MAO ASMR/まおすけ,16100,3週間前,20728,318
【開封】スライム購入品紹介【BGMあり】,/watch?v=Jn4X48m3S4o,18573,MAO ASMR/まおすけ,16100,1か月前,20728,90
【検証】1年前に作ったスライムを触ってみた、、、/No talking ASMR【音フェチ】,/watch?v=C1NIx22MCRc,84932,MAO ASMR/まおすけ,16100,1か月前,20728,410
【闇】酔っ払いが逆順番スライムを作ってみた結果🍺【BGMあり】,/watch?v=x6ljcJRyQJY,32897,MAO ASMR/まおすけ,16100,1か月前,20728,159
【検証】酔っ払いが作ったスライムを１ヶ月放置してみた Slime Sounds/No talking ASMR【音フェチ】,/watch?v=sUcR_ovOBIk,127809,MAO ASMR/まおすけ,16100,1か月前,20728,617
【コラボ】スライムトレードしてみた🐰🥕 (BGM有・音フェチ) スライム交換/Best friend slime swap review/開箱🎁交换史萊姆/선물교환🎁슬라임 교환,/watch?v=zX0YnUtDVn4,27837,MAO ASMR/まおすけ,16100,1か月前,20728,134
【闇】酔っ払いがスライム作ってみた【BGMあり】,/watch?v=8Qd_MS1_wrQ,54524,MAO ASMR/まおすけ,16100,2か月前,20728,263
【ゆる】のんびりスライムを作る DIY Slime 史莱姆 슬라임/No talking ASMR【音フェチ】,/watch?v=1RCVj9LejnM,24738,MAO ASMR/まおすけ,16100,2か月前,20728,119
