title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ASMR-囁き声】Satisfying Slime CompilationRelaxing Slime video スライムの音 スライムクッキング,/watch?v=IeswsavPgzk,53,Mayte MJ,60,5か月前,588,9
【ASMR】Glove rubbing the clothes doctor NeNe🧤手袋、洋服を擦る音❤️ 장갑의 소리 양복을 긁는 소리,/watch?v=rnMQuA61Sdc,26,Mayte MJ,60,5か月前,588,4
【咀嚼音】マクドナルドのチキンナゲット[먹는 소리] 맥도날드  치킨 너겟【Eating sound】McDonald  Chicken nugget【吃的声音】麦当劳鸡肉块,/watch?v=pukPFcVylwU,27,Mayte MJ,60,5か月前,588,5
【音フェチ】大流行!じゃがアリゴのたらもバター美味すぎた！！jagaaigo가가이 고,/watch?v=HvxuddOvnMo,9,Mayte MJ,60,5か月前,588,2
【ASMR】カブトムシ aiko 歌ってみた singing cover,/watch?v=T5nZ8rSEq94,38,Mayte MJ,60,5か月前,588,6
【ASMR】Banana Tapping frozen Relax sound｜冷凍バナナをむく・食べる・タッピング音🍌냉동 바나나를 벗긴 · 먹는 두드리는 소리,/watch?v=5J8bsxXltGg,280,Mayte MJ,60,5か月前,588,48
[咀嚼音]食ぱんに、はちみつ。相性がたまらなくいいんです【Eating Sounds】Honey bread,/watch?v=WehdPfWwuMk,118,Mayte MJ,60,5か月前,588,20
【ASMR】ネイルタッピング木の箱【手フェチ】コトコト Nail tapping  wooden box  Kotokoto 네일 도청  나무 상자  헌데,/watch?v=aZv5anGLhng,60,Mayte MJ,60,5か月前,588,10
【ASMR】玉ねぎを切ってみたら....,/watch?v=ayQMUqpR5AU,0,Mayte MJ,60,5か月前,588,0
【ASMR】Relaxing gloves Special twins ゴム手袋( tight latex glovescrinkly sounds ),/watch?v=AB1TmU7dySc,1018,Mayte MJ,60,5か月前,588,173
【咀嚼音】チョコレートロールケーキ[Eating sound] chocolate roll cake [먹는 소리] 초콜릿 롤 케이크,/watch?v=R6h6BtR9oT0,5,Mayte MJ,60,5か月前,588,1
"《JAV》Hot asian girl Yuri Murakami Japanese AV model , Красотка в бикини.",/watch?v=-UL-Wx4lEI0,1309,Mayte MJ,60,5か月前,588,223
【ASMR】こちょこちょくすぐる❤︎シーツの中で囁くロールプレ風❤︎ Tickling in the sheets ❤︎간질간질❤︎Three language version,/watch?v=MaOWw6lx2Xg,555,Mayte MJ,60,5か月前,588,94
【咀嚼音】cream puff  sweets[Eating sound] シュークリームスイーツ [먹는 소리] 슈크림  스위트,/watch?v=CsLlcZwjspk,15,Mayte MJ,60,5か月前,588,3
《JAV》Anri Sugihara She Has a Perfect Body,/watch?v=8H1O9KPLl6U,2894,Mayte MJ,60,5か月前,588,492
【音フェチ】リクエスト動画　みたらしだんごを食べるbunpring eating sound소리를 삼킨다.,/watch?v=K3trOpmwlME,30,Mayte MJ,60,5か月前,588,5
"《JAV》Yui Hatano，Play Japanese Card Game，Японское порно вк, Japan Model",/watch?v=7GOPeAtJ0Mk,103,Mayte MJ,60,5か月前,588,18
【MUKBANG／ASMR】朝ごはん 아침 식사 세트Toast・Vegetables・cheese・coffee,/watch?v=Ju3LrRHz3fI,6,Mayte MJ,60,5か月前,588,1
【咀嚼音】ショウガつまみをひたすらたべるGinger snack eating sound생강 간식 먹는 소리,/watch?v=jRgGvv5yLlA,3,Mayte MJ,60,5か月前,588,1
【ASMR】Fastest & Slow Tappingtyping (No talking),/watch?v=fETScOgUfZU,9,Mayte MJ,60,5か月前,588,2
【咀嚼音】Korea  Real Brownie  Chocolate【Eating Sounds】韓国リアルブラウニーチョコレート 한국  리얼 브라우니  초콜릿,/watch?v=FC7JFjIvzpc,6,Mayte MJ,60,5か月前,588,1
【咀嚼音】 KFC | CHICKEN |후라이드 치킨/ FRIED CHICKEN | 감자 튀김/FRIED POTATO| FRIES | EATING SOUNDS,/watch?v=mDWWA2aDQEw,22,Mayte MJ,60,5か月前,588,4
【咀嚼音】肉コロッケ。 고로케/Croquette  [Eating Sounds],/watch?v=MWot3b6tf5A,7,Mayte MJ,60,5か月前,588,1
【LIVE】りん🧡初めてのライブ配信ですっ,/watch?v=ECijW0ZlRDY,8,Mayte MJ,60,5か月前,588,1
