title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
"ASMR EATING ONLY PINK FOODS FOR A DAY (DONUT, CHOCOLATE, ICE CREAM & PINK MILK) | McBang ASMR",/watch?v=eOSMofF8mPg,67846,McBang ASMR,280000,作成者:6日前,396414,17
ASMR EATING FROZEN CHOCOLATE BANANA DESSERT ICE CREAM | Real Eating Sounds | McBang ASMR,/watch?v=9OGNJzGw6Tw,72302,McBang ASMR,280000,作成者:1週間前,396414,18
ASMR Eating EXTRA CHEESE SAUCE on CRISPY CHICKEN varieties from McDonalds 맥도날드 | McBang ASMR,/watch?v=75IZ5blr6_w,105746,McBang ASMR,280000,作成者:3週間前,396414,27
ASMR Eating EXTRA CHEESE SAUCE on BURGERS from McDonalds 맥도날드 불고기 버거 먹방 | McBang ASMR,/watch?v=tJDDRFvbDuA,394449,McBang ASMR,280000,作成者:3週間前,396414,100
ドーナツとコーヒー(ソフトイーティングサウンド)ドーナツ食べる挑戦とアイスコーヒー | McBang ASMR,/watch?v=1VWxIvX0DRw,146660,McBang ASMR,280000,作成者:1か月前,396414,37
ASMR 自家製ピザとチョコレートアイスクリームムクバン(サラミピザのレシピ)を食べる音 | McBang ASMR,/watch?v=qP6QipfglJk,75891,McBang ASMR,280000,作成者:1か月前,396414,19
ASMR グルメチョコレートアイスクリーム大食い NUTELLA Mukbang 초콜릿 아이스크림 누텔라 먹방  | McBang ASMR,/watch?v=4H_c_JWSYpA,169485,McBang ASMR,280000,作成者:1か月前,396414,43
アスムル スパゲッティ ボロネーゼ レシピ ムッバン (パスタとミートソース) |マクバン ASMR,/watch?v=ErGlH6-GgkE,145323,McBang ASMR,280000,1か月前,396414,37
ASMR EASY LAZY PASTA Recipe Anyone Can Make At Home (Relaxing Eating Sounds) MUKBANG | McBang ASMR,/watch?v=xoPCW70LAsM,43838,McBang ASMR,280000,作成者:1か月前,396414,11
So Satisfying ASMR video compilation (No Music) RELAXING satisfying chocolate desserts | McBang ASMR,/watch?v=U2k8JuPdmZI,45633,McBang ASMR,280000,作成者:2か月前,396414,12
"ASMR CANDY ICE CREAM BARS (SNICKERS, OREO, MAGNUM, KINDER, YOGURT MOUSSE) 리얼사운드 먹방 | McBang ASMR",/watch?v=XinZRmGFPrc,416508,McBang ASMR,280000,作成者:2か月前,396414,105
"ASMR CANDY ICE CREAM BARS PARTY (SNICKERS, MAGNUM, OREO, KITKAT) 리얼사운드 먹방 | McBang ASMR",/watch?v=FiMBj0zDesw,103959,McBang ASMR,280000,作成者:2か月前,396414,26
"Hot Knife Cutting Stuff - Bread, Ham, Butter and Cheese Sandwich (Made With Fire) | McBang ASMR",/watch?v=bo7QdjwNrR0,56907,McBang ASMR,280000,作成者:3か月前,396414,14
"ASMR ICE CREAM, RAINBOW CAKE, TANGHULU | Dessert Mix (Close Up Food) | McBang ASMR",/watch?v=mWdkBpsVQRQ,41496,McBang ASMR,280000,作成者:3か月前,396414,10
"ASMR OREO PARTY, ICE CREAM, CAKE, ICE CREAM BITES, SANDWICH, CONE & CHOCOLATE YOGURT | Mcbang ASMR",/watch?v=08j4mggVXZY,216826,McBang ASMR,280000,3か月前,396414,55
"ASMR MAGNUM CHOCOLATE ICE CREAM DESSERT, BIG JUICY APPLE & PRINGLES | McBang ASMR",/watch?v=dLsMfgfHD2E,68963,McBang ASMR,280000,作成者:3か月前,396414,17
"ASMR CANDY ICE CREAM BARS PARTY (Snickers, Magnum, Oreo) Eating Sounds, Mukbang | McBang ASMR",/watch?v=zzGhfRxO9Fk,67273,McBang ASMR,280000,作成者:3か月前,396414,17
