title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
Sunbathing Ghost Tri Pitbull 💕 Nyla,/watch?v=EL3TebVemuA,89,NBF EJAY,5700,16時間前,57902,0
Living With Pitbulls NBF,/watch?v=1OTE1Ml8XKY,160,NBF EJAY,5700,23時間前,57902,0
Pitbull Raw Diet (NBF) Ft. LiyahMarieTv,/watch?v=AsCmtdtAZQo,190,NBF EJAY,5700,3日前,57902,0
Hiking With Pitbulls Off Leash (Atlanta) Ft. LiyahMarieTv,/watch?v=XNEru0iPUY8,199,NBF EJAY,5700,3日前,57902,0
Pitbull Bites Owner (Feeding Raw),/watch?v=8sNYTwLHM_A,1002,NBF EJAY,5700,5日前,57902,2
NBF EJay - Bolors (Official Music Video),/watch?v=fbY8LbQYaxk,248,NBF EJAY,5700,6日前,57902,0
"$50,000 Pitbull Off Leash **DDK Hulk Grandson** NBF",/watch?v=cNxaMZsPZ7Q,697,NBF EJAY,5700,1週間前,57902,1
Pitbulls Off Leash In Atlanta,/watch?v=P4_z6cHKlpg,1577,NBF EJAY,5700,1週間前,57902,3
Pitbulls Attack Pitbull (NBF KENNEL),/watch?v=IDa2MvBKZNI,1438,NBF EJAY,5700,1週間前,57902,2
Living With Pitbulls Off Leash,/watch?v=FIyF9EGc6hQ,1820,NBF EJAY,5700,1週間前,57902,3
Pitbull Attacks Toddler,/watch?v=mcwo9Fybmaw,1606,NBF EJAY,5700,1週間前,57902,3
Pitbulls Vs. Bikers (Off Leash Dogs),/watch?v=RZtyjNvL5w8,1267,NBF EJAY,5700,2週間前,57902,2
Pitbull Puppy Full of Worms,/watch?v=8W4cQODTkbY,2481,NBF EJAY,5700,2週間前,57902,4
Atlanta Zoo Family Day w/ NBA Players,/watch?v=kaxHtL0mDzQ,179,NBF EJAY,5700,2週間前,57902,0
Pitbull Attacks 💕 Nyla,/watch?v=_zZx9oBoepQ,691,NBF EJAY,5700,2週間前,57902,1
Pitbull Breaks Free Attacks (Hidden Camera) NBF,/watch?v=JQxPjyMjK7k,1328,NBF EJAY,5700,2週間前,57902,2
Pitbulls Off Leash In The Woods,/watch?v=X1wmre6YsAk,3058,NBF EJAY,5700,2週間前,57902,5
Pitbull Attacks Baby ( Off Leash Dogs ) NBF KENNEL,/watch?v=zAA79fWyXn8,5300,NBF EJAY,5700,2週間前,57902,9
Ghost Tri Pitbull Off Leash,/watch?v=xzNe9pdg8Rk,1285,NBF EJAY,5700,2週間前,57902,2
Pitbulls Off Leash In Suburban Neighborhood,/watch?v=rIczQhBE6eQ,3554,NBF EJAY,5700,2週間前,57902,6
Pitbulls Attack Owner ( Off Leash Dogs ),/watch?v=LFdLHDw5BBk,11147,NBF EJAY,5700,2週間前,57902,19
Ghost Tri Pitbull ( Meet Nyla ),/watch?v=A3KCuWikFHs,2320,NBF EJAY,5700,3週間前,57902,4
Lilac Pitbull ( Meet Chloe ),/watch?v=vLsP9WzO_w0,972,NBF EJAY,5700,3週間前,57902,2
Blue Merle Pit Bull ( Meet Roxie ),/watch?v=oNI1E20rzKI,1327,NBF EJAY,5700,3週間前,57902,2
Lilac Tri Pitbull ( Meet Zeus ),/watch?v=bohRLuTDBn4,1144,NBF EJAY,5700,3週間前,57902,2
Giant Pitbull ( Meet Navi ),/watch?v=vLYHs0vVE-0,2904,NBF EJAY,5700,3週間前,57902,5
Pitbulls Destroy Raw Whole Chickens ( Pack Feeding ) NBF KENNEL,/watch?v=Y5aOV3GyRF8,2866,NBF EJAY,5700,3週間前,57902,5
Mountain Lion in Atlanta Attacks Pitbull,/watch?v=5FIMx4CDmgo,2004,NBF EJAY,5700,3週間前,57902,3
Pitbull Attacks Little Girl,/watch?v=2VAaQwaNn3U,1231,NBF EJAY,5700,3週間前,57902,2
I Just Wanted To Go Shopping And This Happened!!,/watch?v=otWqRm3GSUE,303,NBF EJAY,5700,3週間前,57902,1
Pack Feeding Pitbulls Off Leash ( NBF KENNEL ) Food Aggressive Pit,/watch?v=v3pHKAszB_w,1504,NBF EJAY,5700,3週間前,57902,3
Pitbull Eats Dog Alive *Crate Assembly (NBF KENNEL),/watch?v=ogoWZbVw9mY,1133,NBF EJAY,5700,3週間前,57902,2
Pitbull Food Aggressive (Gone Wrong) NBF Kennel *Introduction,/watch?v=zyUgKYZxCGs,2358,NBF EJAY,5700,3週間前,57902,4
First Day with Zeus (Pitbull Eats Raw)? Houston Texas,/watch?v=qKzPx7QXUng,599,NBF EJAY,5700,4週間前,57902,1
HOW I WASH MY 3 DOGS ( Pitbulls ) 💦💦💦,/watch?v=C0625Elw3tk,762,NBF EJAY,5700,1か月前,57902,1
24 HOUR TRANSFORMATION [ MUST WATCH ] RIP KEEM 💔 Heal Cut,/watch?v=lip9wzPE7_w,280,NBF EJAY,5700,1か月前,57902,0
Pitbulls Off Leash At Virginia Beach (NBF KENNEL) **Road Trip,/watch?v=xtNAvWWAUzA,402,NBF EJAY,5700,1か月前,57902,1
Pit Bulls Off Leash (NBF KENNEL),/watch?v=rFZFkG9WcCQ,973,NBF EJAY,5700,1か月前,57902,2
Pitbull Walks Puppy Off Leash ( NBF KENNEL ),/watch?v=8Gx3uFvEPY0,277,NBF EJAY,5700,1か月前,57902,0
2AM Conversations Featuring E’Liyah ( 6 Year Old ) NBF 💕,/watch?v=KL1BpYhox-c,65,NBF EJAY,5700,1か月前,57902,0
Feeding Pitbull Raw Chicken 💕,/watch?v=9qZIQdyMHN0,238,NBF EJAY,5700,2か月前,57902,0
Purchased A New Pitbull And This Happened 🤦🏽‍♂️ NBF KENNEL * Florida Trip,/watch?v=mDDPpT7z2v0,255,NBF EJAY,5700,2か月前,57902,0
2600 Mile Journey From Seattle To Atlanta ( Beautiful Scenery ) NBF,/watch?v=5TYwikefo_k,93,NBF EJAY,5700,2か月前,57902,0
Introducing Pitbull Puppy To Raw Food (NBF KENNEL) Nyla,/watch?v=ewWIRIrh8NE,621,NBF EJAY,5700,2か月前,57902,1
Introducing Puppy Too Fast ( NBF KENNEL ) Pitbull Attack,/watch?v=p5GOFtUUMOY,486,NBF EJAY,5700,2か月前,57902,1
Washing A Giant Pitbull NBF Kennel,/watch?v=2TzrQDni5Tw,415,NBF EJAY,5700,2か月前,57902,1
How To Feed Your Pitbull (RAW DIET) NBF KENNEL,/watch?v=TKwCSpISbhk,707,NBF EJAY,5700,3か月前,57902,1
German Shepherd Attacks Pitbull [Graphic Scar] NBF KENNEL,/watch?v=Ci7P9uVHkYQ,2512405,NBF EJAY,5700,3か月前,57902,4339
Polo G - Wishing For A Hero (Official Audio) ft. BJ The Chicago Kid NBF *Reaction,/watch?v=Flas-jxF5AI,669,NBF EJAY,5700,3か月前,57902,1
Pitbull swims wrong way,/watch?v=5XGnUb8YvHQ,378,NBF EJAY,5700,3か月前,57902,1
Moneybagg Yo - Me vs Me (Official Music Video) *NBF REACTION**,/watch?v=pDgRnxQyJGk,136,NBF EJAY,5700,3か月前,57902,0
Pitbull Off Leash ( Seattle ),/watch?v=sBZVfmWmlCE,1073,NBF EJAY,5700,3か月前,57902,2
Drake - Losses Official Video (Live Reaction) Nbf EJay,/watch?v=twMezndGvxY,608,NBF EJAY,5700,3か月前,57902,1
RATE ME 1-10 MALL VLOG ( SEATTLE ),/watch?v=iVnrOWI9l7o,470,NBF EJAY,5700,5か月前,57902,1
PIT BULL EATS Whole Chicken (RAW FED BULLY) MUKBANG NBF KENNEL,/watch?v=tsvoA4LqEpE,23249,NBF EJAY,5700,9か月前,57902,40
Pitbull Puppy Vs Adult German Rottweiler (dominance) NBF KENNEL,/watch?v=GlMG6PtmQMk,685886,NBF EJAY,5700,1年前,57902,1185
NBF EJay - Nobody Watching [Official Music Video],/watch?v=MukPsxRQY3Y,10002,NBF EJAY,5700,2年前,57902,17
