title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
音フェチ 咀嚼音 ASMR ポテトチップス,/watch?v=SIy4ug6AWLM,75,NM Project from JAPAN ASMR,24,5か月前,63,119
咀嚼音 音フェチ napolitain pasta,/watch?v=A5zPLKJIgx0,27,NM Project from JAPAN ASMR,24,5か月前,63,43
音フェチ Cream Pasta ASMR モッパン  咀嚼音,/watch?v=hPjdho84zyE,103,NM Project from JAPAN ASMR,24,6か月前,63,163
音フェチ strawberry&tomato 咀嚼音 モッパン,/watch?v=jIveylpQ_jY,24,NM Project from JAPAN ASMR,24,6か月前,63,38
音フェチsteak ステーキ 咀嚼音 モッパン,/watch?v=p3CQDl0KlAw,178,NM Project from JAPAN ASMR,24,6か月前,63,283
音フェチ刺身 モッパン 咀嚼音 sashimi,/watch?v=seDOtG1JYfo,136,NM Project from JAPAN ASMR,24,6か月前,63,216
音フェチ野菜とソーセージ 咀嚼音 音フェチ,/watch?v=bgIyFrWtmws,45,NM Project from JAPAN ASMR,24,6か月前,63,71
asme steak 音フェチ 咀嚼音,/watch?v=vx2wcjqxEvw,38,NM Project from JAPAN ASMR,24,9か月前,63,60
音フェチおでん 咀嚼音,/watch?v=FEDliyjSMI0,46,NM Project from JAPAN ASMR,24,10か月前,63,73
音フェチSUKIYAKI 咀嚼音 モッパン,/watch?v=MFx8fTaBmLA,55,NM Project from JAPAN ASMR,24,10か月前,63,87
音フェチ海鮮丼 seafood boil  咀嚼音,/watch?v=mKlHJ156I54,143,NM Project from JAPAN ASMR,24,10か月前,63,227
音フェチ煎餅 咀嚼音  japanese snack,/watch?v=RO0QObc2bgQ,65,NM Project from JAPAN ASMR,24,11か月前,63,103
ASMR Salted plum ＆ pork steak ＆ carrot ＆ Mekabu,/watch?v=ict55WtUryo,19,NM Project from JAPAN ASMR,24,11か月前,63,30
ASMR SASHIMI & SQUID FLY & CHINESE FLY 咀嚼音 モッパン 刺身,/watch?v=KkQD2Mik9Wk,124,NM Project from JAPAN ASMR,24,11か月前,63,197
ASMR SALAD モッパン 音フェチ 咀嚼音,/watch?v=nKz3ldnuSdY,48,NM Project from JAPAN ASMR,24,11か月前,63,76
ASMR fried chicken 唐揚 咀嚼音 音フェチ,/watch?v=HvMKr3GLcCU,201,NM Project from JAPAN ASMR,24,1年前,63,319
ASMR yakisoba Fire Noodles 音フェチ 咀嚼音 Здоровый фетиш,/watch?v=Sly3wsC_CGs,56,NM Project from JAPAN ASMR,24,1年前,63,89
ASMR Shrimp snack ขนมกุ้ง 새우 스낵 Закуска из креветок,/watch?v=bI-KWo2qKlM,20,NM Project from JAPAN ASMR,24,1年前,63,32
ASMR SUSHI 音フェチ 咀嚼音,/watch?v=nXlsaxOGULM,84,NM Project from JAPAN ASMR,24,1年前,63,133
ASMRBerry Spicy Dumplings  音フェチ 咀嚼音 サクサク餃子,/watch?v=rgMZloqJK_c,36,NM Project from JAPAN ASMR,24,1年前,63,57
ASMR chicken 닭 튀김 жареная курочка 炸鸡 ไก่ทอด,/watch?v=UXRbOyomvJ4,26,NM Project from JAPAN ASMR,24,1年前,63,41
ASMR 耳かき Earpick 귀이개 หู колос 音フェチ,/watch?v=J6KUoUmiURI,30,NM Project from JAPAN ASMR,24,1年前,63,48
ASMR Japanese dinner,/watch?v=KVxcpcrKvJo,36,NM Project from JAPAN ASMR,24,1年前,63,57
"ASMR Japanese money 돈 Деньги เงิน ""나는 돈이 싫어🖕""",/watch?v=NzNfNmAz8pU,34,NM Project from JAPAN ASMR,24,1年前,63,54
ASMR edamame&watermelon 완두콩Q&수박 бобы&арбуз,/watch?v=7pxNv_TKmXM,10,NM Project from JAPAN ASMR,24,1年前,63,16
ASMR salmon&Squid and rice&Boyle squid 音フェチ연어와 오징어Лосось и кальмар,/watch?v=BZu-jOy8cE8,42,NM Project from JAPAN ASMR,24,1年前,63,67
ASMR Domino's Pizza From Japan,/watch?v=g0rFZQMauVg,26,NM Project from JAPAN ASMR,24,1年前,63,41
ASMR McDonald cheese burger set,/watch?v=fUMdAkeHsV8,38,NM Project from JAPAN ASMR,24,1年前,63,60
