title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【どっちが賢い？】犬vs猿の「おやつ我慢」対決がハプニング連発で可愛すぎる！,/watch?v=OSNDzHSna7g,35909,Pookies【カイ・みぃ・もや・ルート】,28300,15時間前,218055,16
【奇跡】赤ちゃん猿ルートくん、新天地でお母さんができました。,/watch?v=NXYzxpxwoGc,92507,Pookies【カイ・みぃ・もや・ルート】,28300,3日前,218055,42
我が家のお猿さんの「トイレトレーニング」についてお話しします。,/watch?v=F_J_ljF6okw,111046,Pookies【カイ・みぃ・もや・ルート】,28300,5日前,218055,51
血は繋がっていないのに…うちのお猿さん同士の「兄弟愛」がすごい！,/watch?v=DIEoPFi2B6w,115554,Pookies【カイ・みぃ・もや・ルート】,28300,1週間前,218055,53
【ついに】新入りの赤ちゃん猿がみんなを信頼して「家族」になった瞬間。,/watch?v=DVlH08N3u2A,189907,Pookies【カイ・みぃ・もや・ルート】,28300,1週間前,218055,87
はじめてケーキを食べて、美味しさに感動する子猿のルートくん。,/watch?v=KyUh3df5pwE,90830,Pookies【カイ・みぃ・もや・ルート】,28300,1週間前,218055,42
【猿 vs 人間】「だるまさんがころんだ」対決がめっちゃ白熱した！！,/watch?v=E5A57xLqaG0,74068,Pookies【カイ・みぃ・もや・ルート】,28300,2週間前,218055,34
お猿さんに「生肉」をあげたら大変なことになりました。,/watch?v=tXkTUP3zfeM,76666,Pookies【カイ・みぃ・もや・ルート】,28300,2週間前,218055,35
赤ちゃん猿が初舞台でパニックに！慌てるトレーナー…どうなる！？,/watch?v=pBrnAZwxt-0,113537,Pookies【カイ・みぃ・もや・ルート】,28300,2週間前,218055,52
赤ちゃん猿のうちからワンちゃんとふれあうとこうなります…！！,/watch?v=Inqg-iw1iJY,133287,Pookies【カイ・みぃ・もや・ルート】,28300,3週間前,218055,61
【感動】お猿のカイくん、新入りの赤ちゃん猿を仲間と認めて毛づくろいした…！,/watch?v=DkYl7rnP_H8,147998,Pookies【カイ・みぃ・もや・ルート】,28300,3週間前,218055,68
プロの調教師が「飴と鞭」で猿をトレーニングしたら大惨事に…！！,/watch?v=bQFnUaB2i1o,74404,Pookies【カイ・みぃ・もや・ルート】,28300,3週間前,218055,34
赤ちゃん猿ルートくん、はじめてクマに会ったら「エサ」と間違われた…！？,/watch?v=TiLmPk7pnn0,142604,Pookies【カイ・みぃ・もや・ルート】,28300,4週間前,218055,65
うちのお猿さんが賢くなりすぎて、財布からお金を盗むようになりました💦。,/watch?v=0cRq55B0dtY,87489,Pookies【カイ・みぃ・もや・ルート】,28300,1か月前,218055,40
プロのタレント犬とは？どんなに遊んでいても「指パッチン」ひとつでピシッとします！,/watch?v=kZtOy7Kjr-U,92326,Pookies【カイ・みぃ・もや・ルート】,28300,1か月前,218055,42
新入りの「赤ちゃん猿」ばかり可愛がったら、お猿のカイくんは嫉妬する？,/watch?v=VxtBWrfQRxA,203509,Pookies【カイ・みぃ・もや・ルート】,28300,1か月前,218055,93
赤ちゃん猿ルートくん「はじめての木登り」！喜ぶと思ったら…！？,/watch?v=nGXysMPUmBw,129283,Pookies【カイ・みぃ・もや・ルート】,28300,1か月前,218055,59
【もはや人間の子供】お猿さんにキックボードを買ってあげたら乗り方が天才すぎた！！,/watch?v=2F7nR3yhItE,120879,Pookies【カイ・みぃ・もや・ルート】,28300,1か月前,218055,55
はじめてワンちゃんと触れ合った「赤ちゃん猿」の反応がかわいい！！,/watch?v=ruNMtp_yFcA,219114,Pookies【カイ・みぃ・もや・ルート】,28300,1か月前,218055,100
