title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
Boya BY-C10☆Unboxing ASMR,/watch?v=NpXWK1uMl9w,1256,RiveTub,123,,3858,33
Halloween (short ver.)☆Eating ASMR,/watch?v=ZrRw6-TpXgM,1128,RiveTub,123,,3858,29
Microwave Playset☆Unboxing,/watch?v=zwMd5z4TBkA,1394,RiveTub,123,,3858,36
Norman Fucking Rockwell!☆Unboxing,/watch?v=7Y3rhcIk8_8,2220,RiveTub,123,,3858,58
U-Grip Pro☆Unboxing,/watch?v=VWwMQxS0wFM,1515,RiveTub,123,,3858,39
花見と飯と煙草☆Eating ASMR,/watch?v=pf-kZ7ZOKC4,1589,RiveTub,123,,3858,41
Power Spinner☆Japanese ASMR,/watch?v=AxRgIRVAO3Y,1884,RiveTub,123,,3858,49
ASMR Japanese Mature☆Face Care,/watch?v=1dfV81g8sM0,2387,RiveTub,123,,3858,62
Trump & Wiener☆Eating ASMR,/watch?v=8RMQpokp-sk,2230,RiveTub,123,,3858,58
Shumai & Rice☆Eating ASMR,/watch?v=pfjY5laONrI,1576,RiveTub,123,,3858,41
Sirui T-005KX+C-10S☆Unboxing,/watch?v=xGIeRIdmVWw,1829,RiveTub,123,,3858,47
トライバルなボディピアスを開封,/watch?v=0LSJQCmDxkY,2910,RiveTub,123,,3858,75
ヒンジ付きボディピアスとココペリを開封,/watch?v=UeBPxToSVPk,1969,RiveTub,123,,3858,51
Bico Necklace☆Unboxing,/watch?v=6ComKdf9N3A,1870,RiveTub,123,,3858,48
Rose Garden 2018 May,/watch?v=8IR_-EZPH54,1583,RiveTub,123,,3858,41
Candy Apple Red Zippo☆Unboxing,/watch?v=SAmpdbG1wgc,3799,RiveTub,123,,3858,98
カメさん,/watch?v=yyG6pgPmzzI,1421,RiveTub,123,,3858,37
アオサギ 2018 Mar.,/watch?v=Vwb5HwzOs8A,1496,RiveTub,123,,3858,39
Beanie Boos☆Unboxing,/watch?v=YBjk7r16dNc,2340,RiveTub,123,,3858,61
音フェチ☆コーヒータイム,/watch?v=SweA6PkoQCE,1710,RiveTub,123,,3858,44
音フェチ☆マッサージ器の振動音 3,/watch?v=ilfwyOFKSXY,79549,RiveTub,123,,3858,2062
音フェチ☆タコ焼きを焼く音,/watch?v=eg1v90rNLkg,1755,RiveTub,123,,3858,45
Lust for Life☆Unboxing,/watch?v=nCJIRxedpjU,2907,RiveTub,123,,3858,75
