title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【咀嚼音】ピーマンの肉詰め MUKBANG Eating Sounds【ASMR】,/watch?v=dhxR-zQuMII,41017,Ryoma ASMR,58800,2週間前,73762,56
【咀嚼音】ソーセージとチーズスパム MUKBANG Eating Sounds【ASMR】,/watch?v=hbKzBvvNjlg,60549,Ryoma ASMR,58800,2週間前,73762,82
【咀嚼音】チーズバーガーとオニオンリング MUKBANG Eating Sounds【ASMR】,/watch?v=_a_P6cav2p4,35212,Ryoma ASMR,58800,3週間前,73762,48
【咀嚼音】チーズトッポギ CHEESY TTEOKBOKKI MUKBANG Eating Sounds【ASMR】,/watch?v=6FXGRicJ_GQ,41849,Ryoma ASMR,58800,3週間前,73762,57
【咀嚼音】チーズとんかつ CHEESE PORK CUTLET MUKBANG Eating Sounds【ASMR】,/watch?v=MSqUlJr161I,57012,Ryoma ASMR,58800,1か月前,73762,77
【咀嚼音】エビユッケ丼 RAW SHRIMP MUKBANG Eating Sounds【ASMR】,/watch?v=QIxCHBR8On4,49254,Ryoma ASMR,58800,1か月前,73762,67
【咀嚼音】チキン生クリームとカルボブルダック Chicken + Carbo Fire Noodles Eating Sounds【ASMR】,/watch?v=2jkQlR62QuQ,65164,Ryoma ASMR,58800,1か月前,73762,88
"【咀嚼音】スパゲッティとハッシュブラウン HASH BROWNS, SPAGHETTI Eating Sounds【ASMR】",/watch?v=nSItmnFVb1I,98670,Ryoma ASMR,58800,1か月前,73762,134
"【咀嚼音】サーモン麺 海ぶどう SALMON NOODLES, SEA GRAPES Eating Sounds【ASMR】",/watch?v=JgMUBJDwtas,102051,Ryoma ASMR,58800,1か月前,73762,138
【咀嚼音】漬物（焼きとうもろこし）pickles【Eating Sounds】,/watch?v=wRe1PJeUliQ,27380,Ryoma ASMR,58800,1か月前,73762,37
【咀嚼音】チョコミント パーティー CHOCOLATE MUKBANG【ASMR】,/watch?v=t9Kxi0F3d1w,46315,Ryoma ASMR,58800,1か月前,73762,63
【咀嚼音】ガパオライスを作って食べる Eating Sounds【ASMR】,/watch?v=8086W9XOeP0,36607,Ryoma ASMR,58800,1か月前,73762,50
【咀嚼音】蟹のパスタを食べる Eating Sounds【ASMR】,/watch?v=GKGmmQ_dMPM,54337,Ryoma ASMR,58800,2か月前,73762,74
【咀嚼音】巨大1kgステーキを食べる Eating Sounds【ASMR】,/watch?v=hZWWjmAZ2Js,119188,Ryoma ASMR,58800,2か月前,73762,162
【咀嚼音】キーマカレーを作って食べる【Eating Sounds】,/watch?v=9NCpC6L7AOo,47370,Ryoma ASMR,58800,2か月前,73762,64
【咀嚼音】生エビとプリプリ海老団子揚げ【Eating Sounds】,/watch?v=77Qok4AEejA,153623,Ryoma ASMR,58800,3か月前,73762,208
【咀嚼音】ぺぺたまを作って食べる Eating Sounds【ASMR】,/watch?v=ZWaInUjfVRA,98529,Ryoma ASMR,58800,3か月前,73762,134
【咀嚼音】オレオチーズケーキ Oreo Cheesecake Eating Sounds【ASMR】,/watch?v=-0azWIduBp0,73678,Ryoma ASMR,58800,3か月前,73762,100
【咀嚼音】グミッツェル Eating Sounds【ASMR】,/watch?v=VW-FsmqHpEI,117296,Ryoma ASMR,58800,3か月前,73762,159
【咀嚼音】冷やし中華とエビマヨ Eating Sounds【ASMR】,/watch?v=ub3TEvpa_Sg,38115,Ryoma ASMR,58800,3か月前,73762,52
【咀嚼音】タマゴサンドとレタスサンド【Eating Sounds】,/watch?v=p3W5HUn_FKY,159884,Ryoma ASMR,58800,3か月前,73762,217
【咀嚼音】チーズバーグディッシュ Eating Sounds【ASMR】,/watch?v=kDz1p7rHmM8,77430,Ryoma ASMR,58800,3か月前,73762,105
【咀嚼音】ソーセージ ナポリタンとエビフライ【Eating Sounds】,/watch?v=rR-lQv12QBQ,96041,Ryoma ASMR,58800,4か月前,73762,130
【咀嚼音】パリパリ餃子と軟骨唐揚げ【Eating Sounds】,/watch?v=Dd37fgq3EIU,66884,Ryoma ASMR,58800,4か月前,73762,91
【咀嚼音】天ぷらと蕎麦 Eating Sounds【ASMR】,/watch?v=HJG1kLqCJso,112589,Ryoma ASMR,58800,4か月前,73762,153
【咀嚼音】明太子クリームパスタ Eating Sounds【ASMR】,/watch?v=k0pdswxkROo,145573,Ryoma ASMR,58800,4か月前,73762,197
【咀嚼音】ホットケーキ Breakfast Pancakes【Eating Sounds】,/watch?v=mU7KDDIvkrM,67894,Ryoma ASMR,58800,4か月前,73762,92
【咀嚼音】フライドチキン・ドーナツ Chicken & Donuts Eating Sounds,/watch?v=TcIEj7FTg-A,50128,Ryoma ASMR,58800,4か月前,73762,68
【咀嚼音】漬物（トルネードきゅうり）pickles【Eating Sounds】,/watch?v=11JhYRoXBuI,309144,Ryoma ASMR,58800,4か月前,73762,419
【咀嚼音】豚カツと牛カツ Eating Sounds【ASMR】,/watch?v=XQ4O7Bq5f24,256394,Ryoma ASMR,58800,4か月前,73762,348
【咀嚼音】プルダック炒め麺とチキン Eating Sounds【ASMR】,/watch?v=eMFjfLgSruE,100836,Ryoma ASMR,58800,5か月前,73762,137
【咀嚼音】サムギョプサルを食べる Eating Sounds【ASMR】,/watch?v=C1tzMwnq3-k,83859,Ryoma ASMR,58800,5か月前,73762,114
【咀嚼音】巨大な唐揚げ Chicken Eating Sounds【ASMR】,/watch?v=T_mTaNl3--I,181497,Ryoma ASMR,58800,5か月前,73762,246
【咀嚼音】マクドナルドの新商品【Eating Sounds】,/watch?v=Hal4TtBSfPk,165288,Ryoma ASMR,58800,5か月前,73762,224
【咀嚼音】ジョンソンヴィルのソーセージでホットドッグ【ASMR】,/watch?v=ZNbLSfQ9kuQ,36441,Ryoma ASMR,58800,5か月前,73762,49
【咀嚼音】ヤンニョムチキン Chicken Eating Sounds【ASMR】,/watch?v=LSWMcywKbMk,29563,Ryoma ASMR,58800,5か月前,73762,40
【咀嚼音】チーズスティックを食べる【Eating Sounds】,/watch?v=dI2F1H4_LIM,209093,Ryoma ASMR,58800,5か月前,73762,283
【咀嚼音】チャパグリ Chapaguri Eating Sounds【ASMR】,/watch?v=ugDPevd1HjM,24328,Ryoma ASMR,58800,5か月前,73762,33
【咀嚼音】おにぎり 卵焼き ウインナー【Eating Sounds】,/watch?v=jKuDcv663dA,104180,Ryoma ASMR,58800,5か月前,73762,141
【咀嚼音】マシュマロ marshmallow Eating Sounds【ASMR】,/watch?v=JO6qsRFVhW0,61083,Ryoma ASMR,58800,5か月前,73762,83
【咀嚼音】漬物を食べる（きゅうり、たくあん）pickles【Eating Sounds】,/watch?v=C6ReZh6tYos,184252,Ryoma ASMR,58800,5か月前,73762,250
【咀嚼音】ジョンソンヴィルのソーセージでハットグ【Eating Sounds】,/watch?v=N10u0jS7My0,68681,Ryoma ASMR,58800,5か月前,73762,93
【咀嚼音】りくろーおじさん じゃないチーズケーキ【Eating Sounds】,/watch?v=ZphVQvpmzY8,21459,Ryoma ASMR,58800,5か月前,73762,29
【咀嚼音】フライドチキンを食べる Fried Chicken【Eating Sounds】,/watch?v=dUolKnkpmFw,116792,Ryoma ASMR,58800,6か月前,73762,158
【咀嚼音】カルボナーラを食べる Carbonara【 Eating Sounds】,/watch?v=NiLhgRuHg0s,44374,Ryoma ASMR,58800,6か月前,73762,60
【咀嚼音】マクドナルドの新商品とナゲットたくさん食べる【ASMR】,/watch?v=GJVmLf68uSI,44715,Ryoma ASMR,58800,6か月前,73762,61
【咀嚼音】和牛のステーキを食べる【ASMR】,/watch?v=yzWRz-6JCiE,22504,Ryoma ASMR,58800,6か月前,73762,31
【咀嚼音】ジョンソンヴィルのソーセージを食べる【ASMR】,/watch?v=sF63Be5Mjog,467515,Ryoma ASMR,58800,6か月前,73762,634
【咀嚼音】板チョコアイスinシュークリームを食べる【ASMR】,/watch?v=O08brPM6rCA,13825,Ryoma ASMR,58800,6か月前,73762,19
【咀嚼音】えのきのプルダック炒めを食べる Spicy Enoki Mushrooms【ASMR】,/watch?v=I_kCS3VKsYQ,27731,Ryoma ASMR,58800,6か月前,73762,38
【咀嚼音】モスバーガーの新メニューを食べる【ASMR】,/watch?v=Dkv7iQ3tP1o,45020,Ryoma ASMR,58800,6か月前,73762,61
【咀嚼音】豚の角煮を食べる【ASMR】,/watch?v=qqaeRZYvtOA,182339,Ryoma ASMR,58800,6か月前,73762,247
【咀嚼音】ミルクレープといちごを食べる【ASMR】,/watch?v=9h_16JAqGU0,19138,Ryoma ASMR,58800,6か月前,73762,26
【咀嚼音】まるごとバナナといちごを食べる【ASMR】,/watch?v=bBUdk7jZ9BA,13754,Ryoma ASMR,58800,6か月前,73762,19
【咀嚼音】ガーリックシュリンプを食べる【ASMR】,/watch?v=snz9Z11MsoA,42249,Ryoma ASMR,58800,6か月前,73762,57
【咀嚼音】唐揚げと山盛りご飯を食べる 【ASMR】,/watch?v=Pa5WuVdJzfQ,331044,Ryoma ASMR,58800,6か月前,73762,449
【咀嚼音】板チョコアイスを食べる (ザクザクホワイト)【ASMR】,/watch?v=hK9WwqyX8n0,99017,Ryoma ASMR,58800,6か月前,73762,134
【咀嚼音】マクドナルドの新商品を食べる (大人のクリームパイなど)【ASMR】,/watch?v=ZCSy21-rxtk,39127,Ryoma ASMR,58800,6か月前,73762,53
【咀嚼音】チーズドッグと担々麺を食べる｜モッパン/ASMR/mukbang,/watch?v=9ucgahfbfL8,24815,Ryoma ASMR,58800,7か月前,73762,34
【咀嚼音】ソーセージと目玉焼きを食べる｜モッパン/ASMR/mukbang,/watch?v=le7YBaRpUaE,60091,Ryoma ASMR,58800,7か月前,73762,81
お寿司50貫爆食モッパン！【咀嚼音 ASMR】,/watch?v=T6t3flgMH6k,25863,Ryoma ASMR,58800,7か月前,73762,35
オムライス、エビフライ、ハンバーグ、ナポリタン、爆食モッパン！【咀嚼音 ASMR】,/watch?v=yDrz0sz9pHE,40213,Ryoma ASMR,58800,7か月前,73762,55
【咀嚼音】チーズプルダックポックンミョン3袋爆食したら美味しい｜モッパン/Eating Sounds/ASMR/mukbang,/watch?v=8W62u0Mn8yg,44130,Ryoma ASMR,58800,7か月前,73762,60
コストコのティラミスとストロベリーホイップを爆食したら美味しい｜咀嚼音/ASMR/モッパン/mukbang,/watch?v=V4tr1GrwrAg,18049,Ryoma ASMR,58800,7か月前,73762,24
【咀嚼音】クリスマスにケンタッキーとコストコのお寿司を爆食したら美味しい｜モッパン/Eating Sounds/ASMR/mukbang,/watch?v=OOZefgXLaB4,23372,Ryoma ASMR,58800,7か月前,73762,32
唐揚げ、生姜焼き、サーモンとかたくさん作って爆食したら美味しい｜咀嚼音/ASMR/モッパン/mukbang,/watch?v=FWzlhdRCpoE,17059,Ryoma ASMR,58800,7か月前,73762,23
【咀嚼音】マクドナルドの新商品をたくさん買ってきて爆食したら美味しい｜モッパン/Eating Sounds/ASMR/mukbang,/watch?v=EN_WSmt3sTI,19674,Ryoma ASMR,58800,8か月前,73762,27
サムギョプサル、トッポギとか韓国料理をたくさん作って爆食したら美味しい｜咀嚼音/ASMR/モッパン/mukbang,/watch?v=vTnhPlbikQc,18077,Ryoma ASMR,58800,8か月前,73762,25
"ASMR BURGER KING 1 POUND BEEF, ANIMAL STYLE FRIES, CHICKEN NUGGETS MUKBANG (EATING SOUNDS)",/watch?v=0gHXy9H6Tn0,35981,Ryoma ASMR,58800,8か月前,73762,49
"ASMR GIANT SALMON SASHIMI NIGIRI, WAGYU SUSHI, SHRIMP FETTUCCINE ALFREDO MUKBANG (EATING SOUNDS)",/watch?v=_Y8bM8M15Lg,28656,Ryoma ASMR,58800,8か月前,73762,39
"ASMR MALTESERS, CHOCOLATE ICE CREAM, OREO, DONUTS MUKBANG (EATING SOUNDS)",/watch?v=HBKL_cC-_Y4,26214,Ryoma ASMR,58800,8か月前,73762,36
ASMR SHRIMP COCKTAILS & GIANT FRIED SHRIMP MUKBANG (EATING SOUNDS),/watch?v=GokOAOmjRAs,12280,Ryoma ASMR,58800,9か月前,73762,17
ASMR BURGER KING AVOCADO WHOPPER & ANIMAL STYLE FRIES MUKBANG (No Talking),/watch?v=ubNZxcFK8IQ,23183,Ryoma ASMR,58800,9か月前,73762,31
ASMR MOCHI & DANGO MUKBANG (No Talking),/watch?v=7iOdDUfj20w,73837,Ryoma ASMR,58800,9か月前,73762,100
ASMR MCDONALD'S TRIPLE CHICKEN SANDWICH & MOZZARELLA FRIES MUKBANG (No Talking) EATING SOUNDS,/watch?v=YDGNhEY0tkY,15446,Ryoma ASMR,58800,9か月前,73762,21
ASMR SALMON SUSHI & TONKATSU MUKBANG (No Talking) EATING SOUNDS | Ryoma ASMR,/watch?v=T6dhWP6yw9o,28078,Ryoma ASMR,58800,作成者:10か月前,73762,38
